Value;Count;Percentage
P02788;1384;12.368185880250223
P01876;499;4.459338695263628
P0DOX5;451;4.030384271671135
P01833;449;4.012511170688114
P01834;410;3.6639857015192137
P07498;347;3.1009830205540663
P01877;299;2.6720285969615727
P0DOX7;298;2.6630920464700623
P0DOX2;295;2.636282394995532
P0DOY2;271;2.421805183199285
P0DOX8;237;2.1179624664879357
P47710;231;2.064343163538874
P47710-2;231;2.064343163538874
P00760;226;2.0196604110813228
P05814;226;2.0196604110813228
P01860;223;1.992850759606792
P0DOY3;219;1.9571045576407506
P01859;198;1.769436997319035
P04264;158;1.4119749776586237
P01861;155;1.3851653261840928
A0A075;146;1.3047363717605005
P19835;143;1.2779267202859697
P47710-3;127;1.1349419124218052
P10909-2;125;1.1170688114387846
P10909;125;1.1170688114387846
P10909-5;125;1.1170688114387846
P10909-6;125;1.1170688114387846
P10909-4;125;1.1170688114387846
A0A0B4;109;0.9740840035746202
A5A6M6;108;0.96514745308311
P01871-2;101;0.902591599642538
P01871;101;0.902591599642538
P01591;87;0.7774798927613941
P47989;84;0.7506702412868633
P35908;80;0.7149240393208222
P13645;78;0.6970509383378015
P02768;70;0.6255585344057194
P19835-2;67;0.5987488829311886
A0A0C4;66;0.5898123324396782
Q13410;52;0.4647006255585344
Q08431;50;0.44682752457551383
A0A0A0;50;0.44682752457551383
Q08431-4;49;0.43789097408400357
P36222;48;0.42895442359249336
P35527;48;0.42895442359249336
P0DOX6;44;0.3932082216264522
A0A087;43;0.3842716711349419
P01615;43;0.3842716711349419
P01614;43;0.3842716711349419
P01619;41;0.36639857015192134
Q08380;41;0.36639857015192134
P06310;37;0.33065236818588023
P61626;33;0.2949061662198391
P0C0L5;32;0.28596961572832885
P0C0L4-2;32;0.28596961572832885
P0C0L4;32;0.28596961572832885
P01780;31;0.2770330652368186
Q08431-2;31;0.2770330652368186
P63261;31;0.2770330652368186
P60710;31;0.2770330652368186
P60709;31;0.2770330652368186
P13647;28;0.25022341376228774
P24821;27;0.2412868632707775
P24821-4;27;0.2412868632707775
P0CF74;27;0.2412868632707775
Q5SQN1-2;26;0.2323503127792672
Q5SQN1-4;26;0.2323503127792672
P02538;25;0.22341376228775692
P04259;25;0.22341376228775692
Q9GJU3;25;0.22341376228775692
P02649;25;0.22341376228775692
A0M8Q6;24;0.21447721179624668
A2NJV5;22;0.1966041108132261
P06858;21;0.18766756032171583
P04433;21;0.18766756032171583
P01024;20;0.17873100983020554
A0A0G2;18;0.16085790884718498
Q4FZU2;18;0.16085790884718498
Q5SQN1-3;17;0.15192135835567472
Q6WN34-2;17;0.15192135835567472
Q5SQN1;17;0.15192135835567472
P02533;16;0.14298480786416443
P49327;16;0.14298480786416443
Q922U2;15;0.13404825737265416
Q99541;15;0.13404825737265416
P01763;14;0.12511170688114387
P14625;14;0.12511170688114387
P01762;14;0.12511170688114387
P23280-2;13;0.1161751563896336
K9IMD0;13;0.1161751563896336
P04406;13;0.1161751563896336
P02675;13;0.1161751563896336
P23280;13;0.1161751563896336
P04406-2;13;0.1161751563896336
P01700;13;0.1161751563896336
P55011-3;12;0.10723860589812334
P55011;12;0.10723860589812334
P06312;11;0.09830205540661305
Q99102;11;0.09830205540661305
Q99102-17;11;0.09830205540661305
Q99102-10;11;0.09830205540661305
Q99102-12;11;0.09830205540661305
P14206;11;0.09830205540661305
P08865;11;0.09830205540661305
Q99102-13;11;0.09830205540661305
P80748;10;0.08936550491510277
P48668;10;0.08936550491510277
P01593;10;0.08936550491510277
P24821-6;10;0.08936550491510277
P01594;10;0.08936550491510277
P24821-3;10;0.08936550491510277
P24821-2;10;0.08936550491510277
P24821-5;10;0.08936550491510277
P01618;9;0.08042895442359249
P04104;9;0.08042895442359249
P10126;9;0.08042895442359249
P08779;9;0.08042895442359249
