Value;Count;Percentage
Carbamidomethylation;3324;83.39187155042649
Hex HexNAc NeuAc(3);40;1.0035122930255895
dHex Hex(2) HexNAc(2) Pent;36;0.9031610637230305
Hex HexNAc(3) NeuGc;28;0.7024586051179127
"Gluconoylation; Heptose";20;0.5017561465127948
"dHex(2) Hex(2) HexA HexNAc(2) Sulf; Carbamidomethylation";18;0.45158053186151526
"Gluconoylation; HexNAcylation (N)";18;0.45158053186151526
Hexosamine;14;0.35122930255895635
Phosphoglycosyl-D-mannose-1-phosphoryl;14;0.35122930255895635
dHex Hex(2) HexNAc;13;0.3261414952333166
dHex Hex HexNAc(2) NeuAc(2);12;0.3010536879076769
"Hex(4); Glucosylgalactosyl hydroxylysine; Carbamidomethylation";11;0.27596588058203714
Hex HexNAc(2) NeuAc(2);10;0.2508780732563974
dHex(2) Hex(4);10;0.2508780732563974
Hex2HexNAc2;10;0.2508780732563974
Hex(5);9;0.22579026593075763
Heptose;9;0.22579026593075763
Hex Pent(2);9;0.22579026593075763
Hex2HexNAc2Pent1;8;0.2007024586051179
"dHex(2) Hex(3) HexA HexNAc Sulf; Carbamidomethylation";8;0.2007024586051179
Hex HexNAc NeuAc NeuGc;8;0.2007024586051179
Hex1HexNAc2dHex2;8;0.2007024586051179
Hex(3) HexNAc(2) NeuAc(2);8;0.2007024586051179
Hex1HexNAc1;7;0.17561465127947817
"Glycosyl-L-hydroxyproline; Carbamidomethylation";7;0.17561465127947817
H1O3P1Hex2;7;0.17561465127947817
"Hex(5); Heptose; Carbamidomethylation";7;0.17561465127947817
dHex(2) Hex(2) HexNAc(2) Sulf(2);6;0.15052684395383845
dHex(2) Hex(3);6;0.15052684395383845
"Carbamidomethylation; Hex HexNAc(3)";6;0.15052684395383845
"Hex Pent; Hexosamine; Carbamidomethylation";6;0.15052684395383845
HexNAc1dHex2;6;0.15052684395383845
"Gluconoylation; Hex(3) Phos";6;0.15052684395383845
Hex HexNAc(3) NeuAc(2);6;0.15052684395383845
dHex(2) Hex(2) HexNAc(2);5;0.1254390366281987
"Gluconoylation; Carbamidomethylation";5;0.1254390366281987
Hex(2) HexNAc;5;0.1254390366281987
"Hex HexNAc dHex Me; Carbamidomethylation";5;0.1254390366281987
"Gluconoylation; Pentose";5;0.1254390366281987
"Carbamidomethylation; Hex2 dHex2";5;0.1254390366281987
Gluconoylation;4;0.10035122930255895
Hex(2) HexNAc Sulf;4;0.10035122930255895
"Gluconoylation; Hex(2) HexNAc";4;0.10035122930255895
Hex(3) HexNAc(5);4;0.10035122930255895
Hex2 dHex2;4;0.10035122930255895
"Hexose; Hex(2) HexNAc NeuGc(2)";4;0.10035122930255895
Hexose;4;0.10035122930255895
dHex Hex HexNAc(3);4;0.10035122930255895
"Carbamidomethylation; dHex Hex(2) HexA";4;0.10035122930255895
HexNAc NeuGc;3;0.07526342197691922
Hex HexNAc dHex Me(2);3;0.07526342197691922
HexNAc(2) NeuAc Sulf;3;0.07526342197691922
HexNAc NeuAc;3;0.07526342197691922
"Hexose; Carbamidomethylation; Hex(2) HexA Pent Sulf";3;0.07526342197691922
Pentose;3;0.07526342197691922
"Carbamidomethylation; Heptose; Hex HexNAc Kdn Sulf";3;0.07526342197691922
"Hex(5) HexNAc; Carbamidomethylation";3;0.07526342197691922
Hex(2) HexNAc NeuGc;3;0.07526342197691922
Hex2HexNAc2dHex1;3;0.07526342197691922
"Hexose; Heptose";3;0.07526342197691922
"Gluconoylation; HexNAcylation (ST)";3;0.07526342197691922
Hex HexNAc NeuGc;3;0.07526342197691922
dHex Hex(3) HexNAc;3;0.07526342197691922
dHex HexNAc(3);3;0.07526342197691922
"Hex(5); Gluconoylation; Carbamidomethylation";2;0.050175614651279475
Fucose;2;0.050175614651279475
dHex(2) Hex(2) HexA HexNAc;2;0.050175614651279475
Hex(4) Phos;2;0.050175614651279475
"Gluconoylation; Glycosyl-L-hydroxyproline; Carbamidomethylation";2;0.050175614651279475
"Hexose; Hex Pent";2;0.050175614651279475
"Heptose; HexNAc(3); Carbamidomethylation";2;0.050175614651279475
"Gluconoylation; Hex NeuAc Pent";2;0.050175614651279475
"Hexose; Glycosyl-L-hydroxyproline; Carbamidomethylation";2;0.050175614651279475
"Gluconoylation; Hexosamine";2;0.050175614651279475
"Lactosylation; Hex1HexNAc1";2;0.050175614651279475
dHex(2) Hex(2) HexNAc(4);2;0.050175614651279475
"Hexosamine; Lactosylation";2;0.050175614651279475
"dHex Hex(2) HexNAc Sulf; Heptose; Carbamidomethylation";2;0.050175614651279475
dHex(2) Hex HexNAc(2) NeuGc;2;0.050175614651279475
"Phosphoglycosyl-D-mannose-1-phosphoryl; Carbamidomethylation";2;0.050175614651279475
"Hex HexNAc dHex Me(2); Hexose (NSY)";2;0.050175614651279475
dHex Hex HexNAc(3) NeuGc;2;0.050175614651279475
"dHex(2) Hex(4) HexNAc(4); Carbamidomethylation";2;0.050175614651279475
"Hexose; Hex1HexNAc2dHex1Pent1";2;0.050175614651279475
"Heptose; Ac Hex HexNAc NeuAc";2;0.050175614651279475
"Hexuronic acid; dHex(2) Hex(4)";2;0.050175614651279475
"Hex1HexNAc2; Glycosyl-L-hydroxyproline; Carbamidomethylation";2;0.050175614651279475
Hex1HexNAc1NeuAc1;2;0.050175614651279475
"Hex(3) HexNAc(2) Pent; Carbamidomethylation";2;0.050175614651279475
"Carbamidomethylation; Hex3";2;0.050175614651279475
"Heptose; Hex(2) NeuAc";2;0.050175614651279475
"Gluconoylation; dHex Hex(2) HexNAc Sulf";2;0.050175614651279475
Hex1HexNAc1NeuAc2;2;0.050175614651279475
Hex HexNAc(3) NeuAc;2;0.050175614651279475
"dHex Hex HexNAc(3) NeuAc Sulf; Carbamidomethylation";2;0.050175614651279475
Hex HexNAc Kdn Sulf;2;0.050175614651279475
Hex HexNAc dHex Me;2;0.050175614651279475
