Value;Count;Percentage
P02788;2048;14.93691196849245
P05814;1404;10.239953322150098
P47710;940;6.855809204288528
P47710-3;800;5.834731237692363
P10909-6;538;3.9238567573481147
P07498;341;2.48705419006637
P19835;316;2.304718838888484
Q08431;220;1.6045510903654001
Q08380;219;1.5972576763182846
P61626;165;1.20341331777405
Q6WN34-2;164;1.1961199037269346
P10909-4;151;1.1013055211144338
P10909-5;150;1.094012107067318
P10909-2;150;1.094012107067318
P10909;150;1.094012107067318
P49327;140;1.0210779665961636
Q6WN34;136;0.9919043104077019
P02647;132;0.9627306542192401
P06858;124;0.9043833418423164
P01834;123;0.8970899277952009
P30086;117;0.8533294435125082
P04264;114;0.8314492013711619
P01876;114;0.8314492013711619
P16671;114;0.8314492013711619
P16671-4;112;0.8168623732769309
P02649;112;0.8168623732769309
Q99102;94;0.6855809204288527
O60664;94;0.6855809204288527
Q99102-10;94;0.6855809204288527
Q99102-13;93;0.6782875063817373
Q99541;93;0.6782875063817373
P01833;90;0.656407264240391
P00760;86;0.6272336080519291
P06727;72;0.5251258113923127
Q13410;72;0.5251258113923127
P47989;69;0.5032455692509664
A5A6M6;67;0.48865874115673547
P15941-11;67;0.48865874115673547
P15941-17;67;0.48865874115673547
P15941-7;67;0.48865874115673547
P15941-2;66;0.48136532710962004
P15941-3;66;0.48136532710962004
P15941-4;66;0.48136532710962004
P15941-8;66;0.48136532710962004
P15941;66;0.48136532710962004
P35908;61;0.4448982568740428
P13645;57;0.4157246006855809
Q99102-12;53;0.3865509444971191
P01877;52;0.37925753045000365
Q5SQN1;49;0.3573772883086573
Q5SQN1-4;49;0.3573772883086573
Q5SQN1-3;49;0.3573772883086573
Q5SQN1-2;49;0.3573772883086573
P08571;49;0.3573772883086573
P19440;42;0.3063233899788491
P15328;39;0.28444314783750274
P60710;38;0.27714973379038726
P60709;38;0.27714973379038726
P63261;38;0.27714973379038726
P00709;37;0.26985631974327184
P13987;37;0.26985631974327184
P13987-2;37;0.26985631974327184
P24821-4;37;0.26985631974327184
P24821;37;0.26985631974327184
Q9H4G4;36;0.26256290569615637
P23280-2;34;0.24797607760192547
P0DOY2;32;0.23338924950769452
O00300;32;0.23338924950769452
P0DOY3;32;0.23338924950769452
P35527;30;0.21880242141346365
P0DOX2;30;0.21880242141346365
O75888;29;0.2115090073663482
O75888-2;29;0.2115090073663482
O43508-2;28;0.20421559331923272
O75888-5;28;0.20421559331923272
O75888-4;28;0.20421559331923272
P05164-3;28;0.20421559331923272
P05164;28;0.20421559331923272
P05164-2;28;0.20421559331923272
P62937;26;0.18962876522500183
P04406;23;0.16774852308365545
P0DM91;23;0.16774852308365545
P04004;23;0.16774852308365545
P63104;22;0.16045510903654
Q16651;22;0.16045510903654
P04406-2;22;0.16045510903654
Q6X4U4;21;0.15316169498942456
P0DOX8;18;0.13128145284807818
Q8NBJ7;18;0.13128145284807818
Q8NBJ7-2;18;0.13128145284807818
P23284;18;0.13128145284807818
P13647;18;0.13128145284807818
O00299;17;0.12398803880096274
P0CN31;17;0.12398803880096274
P0CN30;17;0.12398803880096274
Q9BY76;17;0.12398803880096274
P04104;15;0.10940121070673182
P02994;15;0.10940121070673182
P48668;14;0.10210779665961636
P10126;14;0.10210779665961636
P62630;14;0.10210779665961636
P68104;14;0.10210779665961636
Q5VTE0;14;0.10210779665961636
P39019;13;0.09481438261250091
Q05639;13;0.09481438261250091
P22079;13;0.09481438261250091
P22079-2;13;0.09481438261250091
P05109;13;0.09481438261250091
P14206;13;0.09481438261250091
P08865;13;0.09481438261250091
P62631;13;0.09481438261250091
Q64525;12;0.08752096856538547
Q93079;12;0.08752096856538547
Q99877;12;0.08752096856538547
Q64478;12;0.08752096856538547
Q6ZWY9;12;0.08752096856538547
P02749;12;0.08752096856538547
Q6UXI9-6;12;0.08752096856538547
Q6UXI9;12;0.08752096856538547
Q99879;12;0.08752096856538547
P02768;12;0.08752096856538547
Q5QNW6-2;12;0.08752096856538547
P33778;11;0.08022755451827
P06899;11;0.08022755451827
P23527;11;0.08022755451827
Q16778;11;0.08022755451827
P16402;11;0.08022755451827
P02768-2;11;0.08022755451827
P43277;11;0.08022755451827
P10412;11;0.08022755451827
P20160;11;0.08022755451827
P16403;11;0.08022755451827
P15864;11;0.08022755451827
P02774-3;10;0.07293414047115455
Q922U2;10;0.07293414047115455
P26201;10;0.07293414047115455
P02774;10;0.07293414047115455
P08779;10;0.07293414047115455
P02533;10;0.07293414047115455
P02774-2;10;0.07293414047115455
Q6X4U4-2;10;0.07293414047115455
P06702;9;0.06564072642403909
P19013;9;0.06564072642403909
P31946-2;9;0.06564072642403909
P31946;9;0.06564072642403909
O14745;9;0.06564072642403909
P49908;9;0.06564072642403909
Q99878;8;0.05834731237692363
Q96KK5;8;0.05834731237692363
P08174-4;8;0.05834731237692363
Q9BTM1;8;0.05834731237692363
P08174-5;8;0.05834731237692363
P01591;8;0.05834731237692363
K9IMD0;8;0.05834731237692363
P15311;8;0.05834731237692363
P08174-7;8;0.05834731237692363
P08174-2;8;0.05834731237692363
P08174-6;8;0.05834731237692363
P08246;8;0.05834731237692363
P08174;8;0.05834731237692363
P13688-2;8;0.05834731237692363
P13688-8;8;0.05834731237692363
P13688-10;8;0.05834731237692363
P13688;8;0.05834731237692363
P08174-3;8;0.05834731237692363
Q07969;8;0.05834731237692363
P31977;7;0.05105389832980818
O43490-7;7;0.05105389832980818
O43490-6;7;0.05105389832980818
O43490-4;7;0.05105389832980818
O43490-3;7;0.05105389832980818
O43490-5;7;0.05105389832980818
P04259;7;0.05105389832980818
Q6UXI9-2;7;0.05105389832980818
P78324-2;7;0.05105389832980818
P07602-3;7;0.05105389832980818
Q6UXI9-5;7;0.05105389832980818
O43490;7;0.05105389832980818
P07602-2;7;0.05105389832980818
P07602;7;0.05105389832980818
Q9Z331;7;0.05105389832980818
P50446;7;0.05105389832980818
Q8N271;7;0.05105389832980818
Q8N271-2;7;0.05105389832980818
O43490-2;7;0.05105389832980818
Q5TFQ8;7;0.05105389832980818
P31431-2;7;0.05105389832980818
Q9NV23;7;0.05105389832980818
Q5T2N8;7;0.05105389832980818
P78324;7;0.05105389832980818
P78324-4;7;0.05105389832980818
Q9NV23-2;7;0.05105389832980818
Q13308-6;7;0.05105389832980818
P31431;7;0.05105389832980818
P24627;7;0.05105389832980818
P0C0L4-2;6;0.04376048428269273
P26040;6;0.04376048428269273
P46782;6;0.04376048428269273
P16401;6;0.04376048428269273
P43276;6;0.04376048428269273
P0C0L5;6;0.04376048428269273
P34096;6;0.04376048428269273
Q24186;6;0.04376048428269273
O00592-2;6;0.04376048428269273
P0C0L4;6;0.04376048428269273
Q4FZU2;6;0.04376048428269273
O00592;6;0.04376048428269273
Q15365;6;0.04376048428269273
P62851;6;0.04376048428269273
Q8HZQ0;6;0.04376048428269273
P01871-2;5;0.03646707023557728
P01871;5;0.03646707023557728
Q9BY76-3;5;0.03646707023557728
P0DOX6;5;0.03646707023557728
F5B8W0;5;0.03646707023557728
B9A064;5;0.03646707023557728
P35542;5;0.03646707023557728
Q6UXI9-3;5;0.03646707023557728
P13646-2;5;0.03646707023557728
P13646-3;5;0.03646707023557728
P13646;5;0.03646707023557728
P19012;5;0.03646707023557728
Q9P225;5;0.03646707023557728
P35241;5;0.03646707023557728
P28676;5;0.03646707023557728
A5A6M8;5;0.03646707023557728
Q13113;5;0.03646707023557728
P35241-5;5;0.03646707023557728
P26042;4;0.029173656188461815
P05413;4;0.029173656188461815
P35241-4;4;0.029173656188461815
Q8JPR1;4;0.029173656188461815
P26038;4;0.029173656188461815
P02538;4;0.029173656188461815
P62269;4;0.029173656188461815
P01911;4;0.029173656188461815
Q7Z5P9-2;4;0.029173656188461815
P01859;4;0.029173656188461815
Q7Z5P9;4;0.029173656188461815
Q8JGS9;4;0.029173656188461815
P50591;4;0.029173656188461815
P24158;4;0.029173656188461815
Q562R1;4;0.029173656188461815
Q99828-2;4;0.029173656188461815
Q99828;4;0.029173656188461815
P01011;3;0.021880242141346366
Q9HAV0;3;0.021880242141346366
P80188;3;0.021880242141346366
P08572;3;0.021880242141346366
P49913;3;0.021880242141346366
