Value;Count;Percentage
P02788;2262;13.850110213078617
P05814;743;4.549350967425912
P47710;568;3.4778349253000247
P19835;515;3.153318638256184
P10909-6;476;2.914523634582415
P10909;469;2.8716629928973796
P47710-3;469;2.8716629928973796
P10909-2;469;2.8716629928973796
P10909-5;469;2.8716629928973796
P10909-4;469;2.8716629928973796
Q08431;285;1.7450404114621603
P04114;279;1.7083027185892725
P49327;273;1.6715650257163852
P07498;270;1.653196179279941
Q08380;249;1.5246142542248347
P47989;246;1.5062454077883909
P01876;240;1.4695077149155034
P01833;240;1.4695077149155034
Q6WN34-2;227;1.3899093803575802
Q13410;225;1.3776634827332843
Q6WN34;191;1.1694832231202548
P01834;151;0.9245652706343375
P06858;131;0.8021062943913788
P01877;129;0.789860396767083
P0DOX2;126;0.7714915503306392
A5A6M6;107;0.6551555228998285
P04264;107;0.6551555228998285
P16671;104;0.6367866764633847
P16671-4;103;0.6306637276512368
Q99541;100;0.612294881214793
P00760;98;0.6000489835904972
Q16851;88;0.5388194954690179
Q99102-10;78;0.4775900073475386
Q99102;78;0.4775900073475386
Q99102-13;78;0.4775900073475386
P02649;77;0.47146705853539067
P24821;74;0.45309821209894685
P0DOY3;74;0.45309821209894685
P0DOY2;74;0.45309821209894685
P24821-4;74;0.45309821209894685
P63261;68;0.41636051922605927
P60709;68;0.41636051922605927
P60710;68;0.41636051922605927
P02768;61;0.37349987754102376
P01871;60;0.36737692872887584
P01871-2;60;0.36737692872887584
P08571;59;0.3612539799167279
P15941-8;56;0.3428851334802841
P15941-2;56;0.3428851334802841
P15941-4;56;0.3428851334802841
P15941-3;56;0.3428851334802841
P15941;56;0.3428851334802841
P15941-11;56;0.3428851334802841
P15941-7;56;0.3428851334802841
P02647;56;0.3428851334802841
P15941-17;55;0.3367621846681362
P23280;54;0.33063923585598826
P0DOX8;52;0.31839333823169236
P35908;49;0.3000244917952486
P0DOX7;49;0.3000244917952486
P13645;48;0.2939015429831006
O60664;47;0.28777859417095275
P0CG64;44;0.26940974773450893
Q16851-2;43;0.263286798922361
Q5SQN1-4;40;0.24491795248591722
Q5SQN1;40;0.24491795248591722
P61626;40;0.24491795248591722
Q5SQN1-2;40;0.24491795248591722
Q5SQN1-3;40;0.24491795248591722
P0DOX6;35;0.21430320842517758
P0C0L5;35;0.21430320842517758
P0C0L4-2;34;0.20818025961302963
P04004;34;0.20818025961302963
P0C0L4;34;0.20818025961302963
P01591;34;0.20818025961302963
P06727;33;0.2020573108008817
P00709;33;0.2020573108008817
P19440;32;0.19593436198873376
P15311;32;0.19593436198873376
P13987-2;30;0.18368846436443792
P13987;30;0.18368846436443792
Q6X4U4;28;0.17144256674014205
P05413;27;0.16531961792799413
O00300;27;0.16531961792799413
P14206;26;0.15919666911584618
P08865;26;0.15919666911584618
P62984;26;0.15919666911584618
P35527;25;0.15307372030369826
P08311;25;0.15307372030369826
Q6X4U4-2;24;0.1469507714915503
B9A064;24;0.1469507714915503
Q02878;22;0.13470487386725447
P68104;22;0.13470487386725447
P62630;22;0.13470487386725447
P10126;22;0.13470487386725447
P36578;22;0.13470487386725447
Q5VTE0;22;0.13470487386725447
P0DM91;21;0.12858192505510654
A6NGU5;20;0.12245897624295861
P15328;20;0.12245897624295861
Q05639;19;0.11633602743081069
Q14697-2;19;0.11633602743081069
P62631;19;0.11633602743081069
P22897;19;0.11633602743081069
P15880;18;0.11021307861866275
P01024;18;0.11021307861866275
Q9BY76;18;0.11021307861866275
Q9H4G4;17;0.10409012980651482
P62917;17;0.10409012980651482
P14797;17;0.10409012980651482
P62704;16;0.09796718099436688
P05090;16;0.09796718099436688
P47836;16;0.09796718099436688
P62701;16;0.09796718099436688
Q6UXI9;16;0.09796718099436688
Q6UXI9-6;16;0.09796718099436688
A0A0B4;15;0.09184423218221896
P22079;15;0.09184423218221896
O00560-2;15;0.09184423218221896
O00560;15;0.09184423218221896
O00560-3;15;0.09184423218221896
Q562R1;15;0.09184423218221896
Q07020;14;0.08572128337007102
Q07020-2;14;0.08572128337007102
Q96S86;14;0.08572128337007102
O43490-6;14;0.08572128337007102
O43490-7;14;0.08572128337007102
P63017;13;0.07959833455792309
P61247;13;0.07959833455792309
P97351;13;0.07959833455792309
P63104;13;0.07959833455792309
P11142;13;0.07959833455792309
P04792;13;0.07959833455792309
P62424;13;0.07959833455792309
P01011;13;0.07959833455792309
P18124;12;0.07347538574577515
O60664-4;12;0.07347538574577515
O43490-2;12;0.07347538574577515
O43490-4;12;0.07347538574577515
O43490-3;12;0.07347538574577515
O43490-5;12;0.07347538574577515
O43490;12;0.07347538574577515
P06733;12;0.07347538574577515
Q9XSJ4;12;0.07347538574577515
P11142-2;11;0.06735243693362723
P49908;11;0.06735243693362723
P23396;11;0.06735243693362723
