Value;Count;Percentage
P02788;1836;13.508939739533515
P05814;1810;13.317636671326612
P49327;510;3.7524832609815317
P04114;438;3.2227209182547276
P02768;435;3.200647487307777
Q13410;398;2.9284085056287252
Q08431;376;2.7665366786844237
P01833;366;2.692958575527923
P47989;355;2.6120226620557725
P47710;312;2.2956368184828198
P10909;302;2.222058715326319
P07498;226;1.662865131336914
Q16851;176;1.294974615554411
P0C0L4;164;1.2066808917666103
Q6WN34;154;1.1331027886101095
Q08380;154;1.1331027886101095
P63261;132;0.9712309616658082
P60710;132;0.9712309616658082
P60709;132;0.9712309616658082
P06858;131;0.9638731513501583
P0C0L5;130;0.9565153410345081
P01024;125;0.9197262894562578
Q99541;123;0.9050106688249577
P04264;116;0.8535059966154073
P02649;94;0.6916341696711059
P04004;86;0.6327716871459054
P07900;84;0.6180560665146053
P15311;80;0.588624825252005
P00709;78;0.5739092046207049
P16671;76;0.5591935839894048
P14625;73;0.5371201530424545
P13645;63;0.46354204988595393
P19823;61;0.44882642925465377
Q99102;60;0.44146861893900374
P06733;60;0.44146861893900374
P24821;60;0.44146861893900374
O60664;60;0.44146861893900374
P35908;58;0.42675299830770363
P08238;58;0.42675299830770363
P11499;58;0.42675299830770363
P36578;58;0.42675299830770363
P11021;55;0.4046795673607534
P05413;55;0.4046795673607534
P13987;54;0.39732175704510336
P08571;45;0.33110146420425285
P35579;44;0.32374365388860277
P62424;43;0.3163858435729527
P53396;43;0.3163858435729527
P07996;43;0.3163858435729527
P46777;42;0.30902803325730266
Q562R1;42;0.30902803325730266
P26038;41;0.3016702229416526
P02647;40;0.2943124126260025
B9A064;39;0.28695460231035247
P62280;38;0.2795967919947024
P62281;38;0.2795967919947024
P31431;37;0.2722389816790523
P63017;36;0.2648811713634023
P62917;36;0.2648811713634023
Q9NP72;36;0.2648811713634023
P11142;36;0.2648811713634023
P39023;35;0.2575233610477522
P01591;35;0.2575233610477522
P68104;34;0.2501655507321021
P10126;34;0.2501655507321021
P25311;34;0.2501655507321021
Q9H4G4;34;0.2501655507321021
P62630;34;0.2501655507321021
Q02878;32;0.235449930100802
P19827;32;0.235449930100802
P19440;31;0.22809211978515195
P18124;30;0.22073430946950187
P20029;30;0.22073430946950187
P01009;29;0.21337649915385182
P61626;29;0.21337649915385182
Q07020;29;0.21337649915385182
Q5SQN1;28;0.20601868883820176
P15328;28;0.20601868883820176
P55072;27;0.19866087852255168
O14745;27;0.19866087852255168
Q01853;27;0.19866087852255168
P63104;26;0.19130306820690163
P13639;25;0.18394525789125157
P62241;25;0.18394525789125157
Q71DI3;24;0.17658744757560152
P84228;24;0.17658744757560152
Q9UNQ0;24;0.17658744757560152
P04075;24;0.17658744757560152
Q96S86;23;0.16922963725995144
P01011;23;0.16922963725995144
Q96KP4;22;0.16187182694430138
P15880;22;0.16187182694430138
Q13438;22;0.16187182694430138
P15941;21;0.15451401662865133
P35527;21;0.15451401662865133
P22079;21;0.15451401662865133
P04792;21;0.15451401662865133
P62701;20;0.14715620631300125
P15291;20;0.14715620631300125
P04406;19;0.1397983959973512
P07237;19;0.1397983959973512
Q14697;19;0.1397983959973512
P26373;18;0.13244058568170114
O00299;18;0.13244058568170114
P68431;17;0.12508277536605106
P63267;17;0.12508277536605106
P68433;17;0.12508277536605106
P84243;17;0.12508277536605106
P68133;17;0.12508277536605106
P68032;17;0.12508277536605106
P04746;17;0.12508277536605106
P62736;17;0.12508277536605106
P84244;17;0.12508277536605106
P19961;17;0.12508277536605106
P27797;17;0.12508277536605106
Q16651;16;0.117724965050401
P30101;16;0.117724965050401
P08865;16;0.117724965050401
P14206;16;0.117724965050401
P05067;16;0.117724965050401
P62937;16;0.117724965050401
P62753;16;0.117724965050401
P30086;15;0.11036715473475094
O43707;14;0.10300934441910088
P61313;14;0.10300934441910088
P58252;14;0.10300934441910088
P23280;14;0.10300934441910088
P02760;14;0.10300934441910088
P08246;13;0.09565153410345081
P27105;13;0.09565153410345081
Q9BY76;13;0.09565153410345081
P46779;12;0.08829372378780076
P62913;12;0.08829372378780076
P35241;12;0.08829372378780076
P50914;12;0.08829372378780076
P0CG48;12;0.08829372378780076
P07195;12;0.08829372378780076
P48449;12;0.08829372378780076
P30050;11;0.08093591347215069
P35268;11;0.08093591347215069
O00391;11;0.08093591347215069
P05155;11;0.08093591347215069
Q99613;11;0.08093591347215069
Q6X4U4;11;0.08093591347215069
P43490;11;0.08093591347215069
P18621;11;0.08093591347215069
B5ME19;11;0.08093591347215069
Q13228;10;0.07357810315650062
P60953;10;0.07357810315650062
P21533;10;0.07357810315650062
P61981;10;0.07357810315650062
P02743;10;0.07357810315650062
Q06830;10;0.07357810315650062
P07901;10;0.07357810315650062
P62259;9;0.06622029284085057
P06396;9;0.06622029284085057
P62258;9;0.06622029284085057
P05388;9;0.06622029284085057
P50591;8;0.0588624825252005
P97351;8;0.0588624825252005
P61247;8;0.0588624825252005
P26201;8;0.0588624825252005
P62805;8;0.0588624825252005
P62806;8;0.0588624825252005
Q02543;8;0.0588624825252005
P62820;8;0.0588624825252005
P49207;8;0.0588624825252005
O00468;8;0.0588624825252005
Q9H223;8;0.0588624825252005
Q99880;7;0.05150467220955044
P61026;7;0.05150467220955044
Q93079;7;0.05150467220955044
P20160;7;0.05150467220955044
Q99877;7;0.05150467220955044
P08311;7;0.05150467220955044
Q8CGP1;7;0.05150467220955044
Q8CGP2;7;0.05150467220955044
P62631;7;0.05150467220955044
Q05639;7;0.05150467220955044
Q15084;7;0.05150467220955044
P02748;7;0.05150467220955044
Q9P2E9;7;0.05150467220955044
P33778;7;0.05150467220955044
Q99879;7;0.05150467220955044
P46940;7;0.05150467220955044
Q16778;7;0.05150467220955044
P06899;7;0.05150467220955044
P23527;7;0.05150467220955044
P02675;7;0.05150467220955044
P04843;7;0.05150467220955044
P46776;7;0.05150467220955044
P61769;7;0.05150467220955044
Q9Y4L1;6;0.04414686189390038
P12272;6;0.04414686189390038
O00592;6;0.04414686189390038
P02750;6;0.04414686189390038
P00558;6;0.04414686189390038
P49788;6;0.04414686189390038
P04217;6;0.04414686189390038
P46778;6;0.04414686189390038
P08133;6;0.04414686189390038
P08779;6;0.04414686189390038
Q14152;6;0.04414686189390038
P02533;6;0.04414686189390038
Q92485;6;0.04414686189390038
P00738;6;0.04414686189390038
P12814;6;0.04414686189390038
Q03167;6;0.04414686189390038
Q06481;5;0.03678905157825031
Q8VDD5;5;0.03678905157825031
P02774;5;0.03678905157825031
P23284;5;0.03678905157825031
Q9D2U9;5;0.03678905157825031
Q8N257;5;0.03678905157825031
O00560;5;0.03678905157825031
P0DMV8;5;0.03678905157825031
P0DMV9;5;0.03678905157825031
P52209;5;0.03678905157825031
P14869;5;0.03678905157825031
P11234;5;0.03678905157825031
P11216;5;0.03678905157825031
P29401;4;0.02943124126260025
P40227;4;0.02943124126260025
O95436;4;0.02943124126260025
P36871;4;0.02943124126260025
Q02818;4;0.02943124126260025
Q7KZF4;4;0.02943124126260025
P07477;4;0.02943124126260025
P40429;4;0.02943124126260025
Q16695;4;0.02943124126260025
P05090;4;0.02943124126260025
Q14195;4;0.02943124126260025
Q14512;4;0.02943124126260025
P60174;4;0.02943124126260025
P50990;4;0.02943124126260025
P39656;4;0.02943124126260025
Q9H0U4;4;0.02943124126260025
P01023;4;0.02943124126260025
P49189;4;0.02943124126260025
P84098;3;0.02207343094695019
P41562;3;0.02207343094695019
Q9HAV0;3;0.02207343094695019
Q08722;3;0.02207343094695019
O75874;3;0.02207343094695019
P13647;3;0.02207343094695019
O00300;3;0.02207343094695019
P00734;3;0.02207343094695019
P50148;3;0.02207343094695019
