Value;Count;Percentage
Carbamidomethylation;724;95.13797634691196
"Hexosamine; Lactosylation";6;0.7884362680683311
Ac Hex HexNAc NeuAc;5;0.657030223390276
Hexose;3;0.39421813403416556
"Hex(2) HexNAc Me; Carbamidomethylation";3;0.39421813403416556
"Gluconoylation; Carbamidomethylation";2;0.2628120893561104
"Carbamidomethylation; Fucose; Hexose (NSY); Lactosylation";2;0.2628120893561104
Hexosamine;1;0.1314060446780552
HexNAc1dHex1;1;0.1314060446780552
"Hexose; Hex HexNAc dHex Me";1;0.1314060446780552
Hex(4);1;0.1314060446780552
"Hex2 dHex2; Carbamidomethylation";1;0.1314060446780552
"Hex NeuAc; Carbamidomethylation; Hexosamine";1;0.1314060446780552
Hex HexNAc(3) NeuGc;1;0.1314060446780552
Hex HexA HexNAc;1;0.1314060446780552
dHex Hex(2) HexNAc;1;0.1314060446780552
"Hexuronic acid; Hex HexNAc NeuGc";1;0.1314060446780552
"Gluconoylation; N-acetylglucosamine-1-phosphoryl; Carbamidomethylation";1;0.1314060446780552
"dHex Hex(2) HexNAc Sulf; Carbamidomethylation";1;0.1314060446780552
"Hex1HexNAc2; Hexosamine";1;0.1314060446780552
Hex(2) HexNAc Me;1;0.1314060446780552
"Hex HexNAc dHex Me(2); Hexose (NSY)";1;0.1314060446780552
"dHex(3) Hex HexNAc(3) Kdn; Glycosyl-L-hydroxyproline; Carbamidomethylation";1;0.1314060446780552
