Value;Count;Percentage
P02788;1384;31.49749658625398
P01833;449;10.218479745106963
P07498;347;7.8971324533454705
P47710;231;5.257168866636322
P05814;226;5.143377332726446
P04264;158;3.5958124715521165
P10909;125;2.8447883477469276
P01591;87;1.9799726900318615
P47989;84;1.9116977696859356
P35908;80;1.8206645425580334
P13645;78;1.7751479289940828
P02768;70;1.5930814747382795
Q13410;52;1.183431952662722
Q08431;50;1.137915339098771
P36222;48;1.0923987255348202
P35527;48;1.0923987255348202
Q08380;41;0.9330905780609923
P61626;33;0.7510241238051889
P0C0L4;32;0.7282658170232135
P0C0L5;32;0.7282658170232135
P63261;31;0.705507510241238
P60710;31;0.705507510241238
P60709;31;0.705507510241238
P13647;28;0.6372325898953117
P24821;27;0.6144742831133363
P04259;25;0.5689576695493855
P02649;25;0.5689576695493855
P02538;25;0.5689576695493855
P06858;21;0.4779244424214839
P01024;20;0.45516613563950836
Q4FZU2;18;0.40964952207555755
Q5SQN1;17;0.38689121529358217
P02533;16;0.36413290851160673
P49327;16;0.36413290851160673
Q922U2;15;0.34137460172963136
Q99541;15;0.34137460172963136
P14625;14;0.31861629494765586
P23280;13;0.2958579881656805
P04406;13;0.2958579881656805
P02675;13;0.2958579881656805
P55011;12;0.27309968138370505
Q99102;11;0.25034137460172967
P08865;11;0.25034137460172967
P14206;11;0.25034137460172967
P48668;10;0.22758306781975418
P68104;9;0.20482476103777877
Q9P225;9;0.20482476103777877
P08779;9;0.20482476103777877
P62630;9;0.20482476103777877
P10126;9;0.20482476103777877
P04104;9;0.20482476103777877
Q6WN34;8;0.18206645425580337
P62631;8;0.18206645425580337
Q05639;8;0.18206645425580337
P00709;8;0.18206645425580337
P08571;7;0.15930814747382793
P02671;7;0.15930814747382793
P06396;6;0.13654984069185253
P05164;6;0.13654984069185253
P30086;6;0.13654984069185253
P61247;5;0.11379153390987709
P35030;5;0.11379153390987709
P20029;5;0.11379153390987709
P11021;5;0.11379153390987709
P07478;5;0.11379153390987709
P97351;5;0.11379153390987709
P36578;5;0.11379153390987709
P02647;5;0.11379153390987709
P15941;5;0.11379153390987709
P20160;4;0.09103322712790168
P04003;4;0.09103322712790168
Q16851;4;0.09103322712790168
P35579;4;0.09103322712790168
P07477;4;0.09103322712790168
Q91ZJ5;4;0.09103322712790168
O60664;4;0.09103322712790168
P55212;4;0.09103322712790168
Q9H4G4;3;0.06827492034592626
P62424;3;0.06827492034592626
P30101;3;0.06827492034592626
P04075;3;0.06827492034592626
P04792;3;0.06827492034592626
Q86Y46;3;0.06827492034592626
C0HKA0;3;0.06827492034592626
P62263;3;0.06827492034592626
P68431;2;0.04551661356395084
Q15084;2;0.04551661356395084
P15814;2;0.04551661356395084
Q07020;2;0.04551661356395084
P62701;2;0.04551661356395084
P16671;2;0.04551661356395084
P68433;2;0.04551661356395084
P62917;2;0.04551661356395084
P08311;2;0.04551661356395084
Q6X4U4;2;0.04551661356395084
P01011;2;0.04551661356395084
Q16695;2;0.04551661356395084
P84244;2;0.04551661356395084
P84228;2;0.04551661356395084
P84243;2;0.04551661356395084
P00519;2;0.04551661356395084
Q71DI3;2;0.04551661356395084
P19440;1;0.02275830678197542
P31009;1;0.02275830678197542
Q14524;1;0.02275830678197542
Q8NEY1;1;0.02275830678197542
P39019;1;0.02275830678197542
P01009;1;0.02275830678197542
P15880;1;0.02275830678197542
O00391;1;0.02275830678197542
P49788;1;0.02275830678197542
P05109;1;0.02275830678197542
Q9UI12;1;0.02275830678197542
P35268;1;0.02275830678197542
P39656;1;0.02275830678197542
P81605;1;0.02275830678197542
Q7KZF4;1;0.02275830678197542
P06702;1;0.02275830678197542
Q9HCS7;1;0.02275830678197542
