Value;Count;Percentage
Carbamidomethylation;1801;81.5301041195111
Hex HexNAc NeuAc(3);20;0.9053870529651425
"Gluconoylation; Heptose";19;0.8601177003168854
dHex Hex(2) HexNAc(2) Pent;18;0.8148483476686283
Phosphoglycosyl-D-mannose-1-phosphoryl;14;0.6337709370755998
Hex HexNAc(3) NeuGc;14;0.6337709370755998
dHex Hex(2) HexNAc;13;0.5885015844273427
Hex(5);9;0.4074241738343142
"Gluconoylation; HexNAcylation (N)";9;0.4074241738343142
Hex2HexNAc2;9;0.4074241738343142
Hex HexNAc NeuAc NeuGc;8;0.362154821186057
"Glycosyl-L-hydroxyproline; Carbamidomethylation";7;0.3168854685377999
Hexosamine;7;0.3168854685377999
dHex(2) Hex(3);6;0.2716161158895428
dHex Hex HexNAc(2) NeuAc(2);6;0.2716161158895428
"Gluconoylation; Hex(3) Phos";6;0.2716161158895428
dHex(2) Hex(4);5;0.22634676324128564
Heptose;5;0.22634676324128564
Hex(2) HexNAc;5;0.22634676324128564
Hex1HexNAc1;5;0.22634676324128564
"Hex HexNAc dHex Me; Carbamidomethylation";5;0.22634676324128564
Hex HexNAc(2) NeuAc(2);5;0.22634676324128564
Hex(3) HexNAc(2) NeuAc(2);4;0.1810774105930285
"Gluconoylation; Hex(2) HexNAc";4;0.1810774105930285
"Carbamidomethylation; dHex Hex(2) HexA";4;0.1810774105930285
Gluconoylation;4;0.1810774105930285
Hex1HexNAc2dHex2;4;0.1810774105930285
Hex(3) HexNAc(5);4;0.1810774105930285
dHex(2) Hex(2) HexNAc(2) Sulf(2);3;0.1358080579447714
Hex HexNAc NeuGc;3;0.1358080579447714
Hex HexNAc(3) NeuAc(2);3;0.1358080579447714
HexNAc1dHex2;3;0.1358080579447714
"Carbamidomethylation; Hex HexNAc(3)";3;0.1358080579447714
"Hex(5) HexNAc; Carbamidomethylation";3;0.1358080579447714
Hex(2) HexNAc Sulf;3;0.1358080579447714
"Carbamidomethylation; Heptose; Hex HexNAc Kdn Sulf";3;0.1358080579447714
dHex(2) Hex(2) HexNAc(2);3;0.1358080579447714
"Hexose; Carbamidomethylation; Hex(2) HexA Pent Sulf";3;0.1358080579447714
dHex HexNAc(3);3;0.1358080579447714
Hex(2) HexNAc NeuGc;3;0.1358080579447714
"Hexose; Heptose";3;0.1358080579447714
"Gluconoylation; HexNAcylation (ST)";3;0.1358080579447714
"dHex(2) Hex(2) HexA HexNAc(2) Sulf; Carbamidomethylation";3;0.1358080579447714
"Gluconoylation; Hexosamine";2;0.09053870529651425
"Carbamidomethylation; Hex3";2;0.09053870529651425
"Heptose; Hex(2) NeuAc";2;0.09053870529651425
dHex(2) Hex(2) HexNAc(4);2;0.09053870529651425
Hexose;2;0.09053870529651425
"Hex(3) HexNAc(2) Pent; Carbamidomethylation";2;0.09053870529651425
H1O3P1Hex2;2;0.09053870529651425
"Gluconoylation; Glycosyl-L-hydroxyproline; Carbamidomethylation";2;0.09053870529651425
"Hexose; Hex Pent";2;0.09053870529651425
"Hex1HexNAc2; Glycosyl-L-hydroxyproline; Carbamidomethylation";2;0.09053870529651425
