Value;Count;Percentage
P02788;2048;23.27801773130257
P05814;1404;15.958172311889065
P47710;940;10.684246419640827
P07498;341;3.8758808820186403
Q08431;220;2.500568310979768
Q08380;219;2.4892020913844055
P61626;165;1.8754262332348262
P10909;150;1.7049329393043873
P49327;140;1.5912707433507616
Q6WN34;136;1.5458058649693112
P02647;132;1.500340986587861
P06858;124;1.4094112298249604
P30086;117;1.329847692657422
P16671;114;1.2957490338713344
P04264;114;1.2957490338713344
P02649;112;1.2730165946806091
Q99102;94;1.0684246419640826
O60664;94;1.0684246419640826
Q99541;93;1.05705842236872
P01833;90;1.0229597635826324
Q13410;72;0.8183678108661059
P47989;69;0.7842691520800181
P15941;66;0.7501704932939305
P35908;61;0.6933393953171175
P13645;57;0.6478745169356672
P08571;49;0.5569447601727665
Q5SQN1;49;0.5569447601727665
P19440;42;0.4773812230052284
P15328;39;0.44328256421914075
P63261;38;0.4319163446237781
P60710;38;0.4319163446237781
P60709;38;0.4319163446237781
P24821;37;0.4205501250284156
P00709;37;0.4205501250284156
P13987;37;0.4205501250284156
Q9H4G4;36;0.40918390543305294
O00300;32;0.36371902705160264
P35527;30;0.3409865878608775
O75888;29;0.3296203682655149
P05164;28;0.3182541486701523
P62937;26;0.29552170947942713
P04004;23;0.26142305069333943
P04406;23;0.26142305069333943
P63104;22;0.25005683109797683
Q16651;22;0.25005683109797683
Q6X4U4;21;0.2386906115026142
Q8NBJ7;18;0.20459195271652647
P13647;18;0.20459195271652647
P23284;18;0.20459195271652647
O00299;17;0.1932257331211639
Q9BY76;17;0.1932257331211639
P04104;15;0.17049329393043874
P10126;14;0.15912707433507614
P68104;14;0.15912707433507614
P48668;14;0.15912707433507614
P62630;14;0.15912707433507614
P62631;13;0.14776085473971357
P08865;13;0.14776085473971357
P22079;13;0.14776085473971357
P14206;13;0.14776085473971357
Q05639;13;0.14776085473971357
P05109;13;0.14776085473971357
P39019;13;0.14776085473971357
Q99877;12;0.136394635144351
Q93079;12;0.136394635144351
Q99879;12;0.136394635144351
Q6UXI9;12;0.136394635144351
P02749;12;0.136394635144351
P02768;12;0.136394635144351
P20160;11;0.12502841554898841
Q16778;11;0.12502841554898841
P23527;11;0.12502841554898841
P06899;11;0.12502841554898841
P16403;11;0.12502841554898841
P33778;11;0.12502841554898841
P10412;11;0.12502841554898841
P43277;11;0.12502841554898841
P16402;11;0.12502841554898841
P15864;11;0.12502841554898841
P02774;10;0.11366219595362581
P26201;10;0.11366219595362581
P08779;10;0.11366219595362581
P02533;10;0.11366219595362581
Q922U2;10;0.11366219595362581
O14745;9;0.10229597635826324
P31946;9;0.10229597635826324
P49908;9;0.10229597635826324
P06702;9;0.10229597635826324
P08174;8;0.09092975676290066
P13688;8;0.09092975676290066
Q9BTM1;8;0.09092975676290066
Q99878;8;0.09092975676290066
Q96KK5;8;0.09092975676290066
P01591;8;0.09092975676290066
P15311;8;0.09092975676290066
P08246;8;0.09092975676290066
Q5TFQ8;7;0.07956353716753807
P78324;7;0.07956353716753807
Q8N271;7;0.07956353716753807
P07602;7;0.07956353716753807
P31431;7;0.07956353716753807
P04259;7;0.07956353716753807
Q5T2N8;7;0.07956353716753807
P24627;7;0.07956353716753807
P50446;7;0.07956353716753807
O43490;7;0.07956353716753807
P31977;7;0.07956353716753807
O00592;6;0.0681973175721755
P0C0L5;6;0.0681973175721755
P62851;6;0.0681973175721755
P0C0L4;6;0.0681973175721755
Q15365;6;0.0681973175721755
P34096;6;0.0681973175721755
P46782;6;0.0681973175721755
P43276;6;0.0681973175721755
P16401;6;0.0681973175721755
P26040;6;0.0681973175721755
Q4FZU2;6;0.0681973175721755
Q13113;5;0.056831097976812905
P35241;5;0.056831097976812905
P13646;5;0.056831097976812905
P28676;5;0.056831097976812905
Q9P225;5;0.056831097976812905
P19012;5;0.056831097976812905
P35542;5;0.056831097976812905
B9A064;5;0.056831097976812905
P62269;4;0.04546487838145033
P26038;4;0.04546487838145033
P02538;4;0.04546487838145033
P05413;4;0.04546487838145033
P01911;4;0.04546487838145033
P24158;4;0.04546487838145033
Q562R1;4;0.04546487838145033
P50591;4;0.04546487838145033
Q99828;4;0.04546487838145033
P21217;3;0.03409865878608775
P49913;3;0.03409865878608775
P04792;3;0.03409865878608775
P16520;3;0.03409865878608775
P51993;3;0.03409865878608775
P62879;3;0.03409865878608775
Q9HAV0;3;0.03409865878608775
P62873;3;0.03409865878608775
P04114;3;0.03409865878608775
P62880;3;0.03409865878608775
P05388;3;0.03409865878608775
Q13277;3;0.03409865878608775
P01011;3;0.03409865878608775
Q9UQB8;3;0.03409865878608775
P80188;3;0.03409865878608775
P08572;3;0.03409865878608775
Q30154;3;0.03409865878608775
Q9H444;3;0.03409865878608775
P00519;2;0.022732439190725165
P04075;2;0.022732439190725165
P60174;2;0.022732439190725165
P13762;2;0.022732439190725165
P61769;2;0.022732439190725165
Q9HD42;2;0.022732439190725165
P04083;2;0.022732439190725165
P80025;2;0.022732439190725165
P49788;2;0.022732439190725165
P60953;2;0.022732439190725165
P62806;2;0.022732439190725165
P62805;2;0.022732439190725165
P05386;2;0.022732439190725165
O00468;2;0.022732439190725165
Q96JA1;2;0.022732439190725165
P59665;2;0.022732439190725165
P35613;2;0.022732439190725165
P59666;2;0.022732439190725165
O70133;2;0.022732439190725165
P26373;2;0.022732439190725165
Q16695;1;0.011366219595362582
Q71DI3;1;0.011366219595362582
P84244;1;0.011366219595362582
Q8N474;1;0.011366219595362582
Q6NXT2;1;0.011366219595362582
O00560;1;0.011366219595362582
P12821;1;0.011366219595362582
P10321;1;0.011366219595362582
P30511;1;0.011366219595362582
O95445;1;0.011366219595362582
P14174;1;0.011366219595362582
P84243;1;0.011366219595362582
O14950;1;0.011366219595362582
P62829;1;0.011366219595362582
Q9UNQ0;1;0.011366219595362582
P79483;1;0.011366219595362582
P07150;1;0.011366219595362582
P19875;1;0.011366219595362582
P09341;1;0.011366219595362582
P12272;1;0.011366219595362582
