Value;Count;Percentage
P47710;123;48.80952380952381
P02788;41;16.26984126984127
P05814;35;13.88888888888889
P07498;12;4.761904761904762
P61626;9;3.571428571428571
Q99102;4;1.5873015873015872
O60664;4;1.5873015873015872
P16671;4;1.5873015873015872
Q6WN34;4;1.5873015873015872
P35908;3;1.1904761904761905
P49327;2;0.7936507936507936
Q99541;2;0.7936507936507936
P04264;2;0.7936507936507936
P10909;2;0.7936507936507936
P06858;1;0.3968253968253968
Q08431;1;0.3968253968253968
P02647;1;0.3968253968253968
P02649;1;0.3968253968253968
P13645;1;0.3968253968253968
