Value;Count;Percentage
dHex Hex(2) HexNAc(2) Pent;14;7.865168539325842
Phosphoglycosyl-D-mannose-1-phosphoryl;13;7.303370786516854
dHex(2) Hex(3) HexNAc(2);12;6.741573033707865
dHex Hex(2) HexNAc;11;6.179775280898876
Hex2HexNAc2;11;6.179775280898876
Hex HexNAc NeuAc(3);9;5.056179775280898
Hex HexNAc(3) NeuGc;9;5.056179775280898
Hex1HexNAc2dHex2;5;2.8089887640449436
Hex Pent(2);4;2.247191011235955
Hex NeuAc;4;2.247191011235955
Hex(2) HexNAc Sulf;4;2.247191011235955
Hex2HexNAc2dHex1;4;2.247191011235955
dHex(2) Hex(4);4;2.247191011235955
Hex(5);4;2.247191011235955
Heptose;4;2.247191011235955
Pentose;4;2.247191011235955
Hex3;4;2.247191011235955
Fucose;3;1.6853932584269662
dHex Hex(2) HexA;3;1.6853932584269662
dHex Hex(3) HexNAc(3);3;1.6853932584269662
Hex HexNAc NeuGc;3;1.6853932584269662
Hexose;3;1.6853932584269662
dHex Hex(3) HexNAc;2;1.1235955056179776
Gluconoylation;2;1.1235955056179776
Hex2HexNAc2Pent1;2;1.1235955056179776
Hex1HexNAc1NeuAc1;2;1.1235955056179776
dHex(2) Hex(3);2;1.1235955056179776
Hex(3) HexNAc(5);2;1.1235955056179776
dHex Hex HexNAc(3);2;1.1235955056179776
dHex(2) Hex(2) HexNAc(4);1;0.5617977528089888
O3S1HexNAc1;1;0.5617977528089888
HexNAc NeuAc;1;0.5617977528089888
HexNAc(2) NeuAc;1;0.5617977528089888
Hex1HexNAc1dHex1;1;0.5617977528089888
Glycosyl-L-hydroxyproline;1;0.5617977528089888
Hex(2) HexNAc NeuGc;1;0.5617977528089888
Hex(4) HexNAc(3);1;0.5617977528089888
Hex1HexNAc1;1;0.5617977528089888
Hex HexNAc(2) NeuAc Sulf;1;0.5617977528089888
dHex Hex(4) HexA HexNAc(2);1;0.5617977528089888
Hexosamine;1;0.5617977528089888
H1O3P1Hex2;1;0.5617977528089888
Hexose (NSY);1;0.5617977528089888
dHex(2) Hex(2) HexA HexNAc(2) Sulf;1;0.5617977528089888
Hex HexNAc(3) NeuAc;1;0.5617977528089888
Hex(4) HexNAc(4) NeuAc;1;0.5617977528089888
Hex HexNAc(2) NeuAc(2);1;0.5617977528089888
Hex2 dHex2;1;0.5617977528089888
Hex(3) HexNAc(3) NeuGc Sulf;1;0.5617977528089888
dHex Hex(2) HexA HexNAc(2);1;0.5617977528089888
dHex Hex HexNAc(3) NeuGc;1;0.5617977528089888
N-acetylglucosamine-1-phosphoryl;1;0.5617977528089888
HexNAc NeuGc;1;0.5617977528089888
Hex HexNAc dHex Me;1;0.5617977528089888
Hex HexNAc(2) NeuAc;1;0.5617977528089888
Glucosylgalactosyl hydroxylysine;1;0.5617977528089888
Ac Hex HexNAc NeuAc;1;0.5617977528089888
Hex(2) HexNAc;1;0.5617977528089888
