Value;Count;Percentage
P47710;63;35.39325842696629
P02788;35;19.662921348314608
P05814;20;11.235955056179774
Q6WN34;14;7.865168539325842
P10909;10;5.617977528089887
P60710;5;2.8089887640449436
P60709;5;2.8089887640449436
P63261;5;2.8089887640449436
P47989;4;2.247191011235955
Q08380;3;1.6853932584269662
P06858;2;1.1235955056179776
P02768;2;1.1235955056179776
P04114;2;1.1235955056179776
Q13410;1;0.5617977528089888
P04264;1;0.5617977528089888
Q99102;1;0.5617977528089888
Q08431;1;0.5617977528089888
P02647;1;0.5617977528089888
Q99541;1;0.5617977528089888
P01833;1;0.5617977528089888
P49327;1;0.5617977528089888
