Sample;Technique;Pool;n Proteins Total;n PTM Total;n Peptides Total;n Proteins Filtered;n PTM Filtered;n Peptides Filtered;% Proteins with PTM / Total;% Peptides with PTM / Total
UC_POOL_1;UC;POOL_1;388;66;2120;192;54;1263;49.48453608247423;59.575471698113205
UC_POOL_2;UC;POOL_2;364;68;1969;197;55;1203;54.120879120879124;61.097003555104116
UC_POOL_3;UC;POOL_3;303;62;1493;170;52;861;56.1056105610561;57.66912257200268
ExoGAG_POOL_1;ExoGAG;POOL_1;480;65;2589;228;58;1741;47.5;67.24604094244883
ExoGAG_POOL_2;ExoGAG;POOL_2;560;71;2682;292;66;1918;52.142857142857146;71.5137956748695
ExoGAG_POOL_3;ExoGAG;POOL_3;376;70;2092;196;59;1302;52.12765957446808;62.237093690248564
IP_CD9_POOL_1;IP_CD9;POOL_1;191;15;598;71;9;316;37.17277486910995;52.84280936454849
IP_CD9_POOL_2;IP_CD9;POOL_2;244;34;1114;102;12;616;41.80327868852459;55.296229802513466
IP_CD9_POOL_3;IP_CD9;POOL_3;147;20;550;54;11;259;36.734693877551024;47.09090909090909
Raw_milk_POOL_1;Raw_milk;POOL_1;88;118;274;70;109;240;79.54545454545455;87.5912408759124
Raw_milk_POOL_2;Raw_milk;POOL_2;84;142;409;64;130;346;76.19047619047619;84.59657701711491
Raw_milk_POOL_3;Raw_milk;POOL_3;60;115;369;46;105;305;76.66666666666667;82.65582655826559
SEC_POOL_1;SEC;POOL_1;245;87;1601;118;72;786;48.16326530612245;49.09431605246721
SEC_POOL_2;SEC;POOL_2;307;80;1639;170;61;885;55.37459283387622;53.99633923123856
SEC_POOL_3;SEC;POOL_3;209;114;1682;97;98;740;46.411483253588514;43.99524375743163
