Value;Count;Percentage
P02788;634;10.951805147693902
P05814;612;10.571774054240802
P02768;172;2.9711521851787874
P47710;135;2.332008982553118
P19835;131;2.2629124201071
P49327;130;2.245638279495595
P01833;129;2.2283641388840905
Q13410;120;2.0728968733805493
P10909-4;119;2.0556227327690446
P10909-6;119;2.0556227327690446
P10909;119;2.0556227327690446
P10909-5;119;2.0556227327690446
P10909-2;119;2.0556227327690446
Q08431;116;2.003800310934531
P47710-3;108;1.8656071860424943
P47989;87;1.5028502332008982
P01876;81;1.3992053895318708
P07498;77;1.3301088270858523
P04114;67;1.1573674209708067
Q6WN34-2;57;0.984626014855761
Q08380;57;0.984626014855761
Q6WN34;51;0.8809811711867335
Q16851;50;0.8637070305752288
P06858;45;0.777336327517706
Q99541;42;0.7255139056831923
P01877;42;0.7255139056831923
P0DOX2;41;0.7082397650716877
P0C0L4;40;0.6909656244601831
P0C0L4-2;40;0.6909656244601831
P60709;40;0.6909656244601831
P60710;40;0.6909656244601831
P63261;40;0.6909656244601831
P04264;37;0.6391432026256694
A5A6M6;37;0.6391432026256694
P01834;35;0.6045949214026602
P02649;35;0.6045949214026602
P00760;35;0.6045949214026602
P01024;29;0.5009500777336328
P16671;28;0.48367593712212814
P16671-4;28;0.48367593712212814
P00709;25;0.4318535152876144
O60664;24;0.41457937467610984
P04004;24;0.41457937467610984
O60664-4;23;0.3973052340646053
P22897;22;0.3800310934531007
P0DOY2;21;0.36275695284159615
P0DOY3;21;0.36275695284159615
P13987-2;20;0.34548281223009153
P13987;20;0.34548281223009153
B9A064;19;0.32820867161858697
P15311;19;0.32820867161858697
P0DOX8;18;0.3109345310070824
Q99102;17;0.29366039039557784
Q99102-10;17;0.29366039039557784
Q99102-13;17;0.29366039039557784
P63267;17;0.29366039039557784
Q99102-12;17;0.29366039039557784
P68032;17;0.29366039039557784
P62736;17;0.29366039039557784
P68133;17;0.29366039039557784
P25311;16;0.2763862497840732
P06727;16;0.2763862497840732
P05413;15;0.25911210917256866
P24821;14;0.24183796856106407
P24821-4;14;0.24183796856106407
P02647;13;0.2245638279495595
P13645;13;0.2245638279495595
P20029;13;0.2245638279495595
P14625;13;0.2245638279495595
P11021;13;0.2245638279495595
P06733;13;0.2245638279495595
P01009;13;0.2245638279495595
P0DM91;13;0.2245638279495595
P61626;12;0.20728968733805492
P10451-5;12;0.20728968733805492
P31431-2;12;0.20728968733805492
P08571;12;0.20728968733805492
P35908;12;0.20728968733805492
P31431;12;0.20728968733805492
P01011;12;0.20728968733805492
Q9NP72;11;0.19001554672655036
Q9H4G4;11;0.19001554672655036
P62424;11;0.19001554672655036
P01591;11;0.19001554672655036
P36578;11;0.19001554672655036
P21533;10;0.17274140611504576
Q02878;10;0.17274140611504576
A5A6K9;10;0.17274140611504576
P15328;10;0.17274140611504576
P07900-2;10;0.17274140611504576
P07901;10;0.17274140611504576
P07900;10;0.17274140611504576
P01871;10;0.17274140611504576
Q13438-5;10;0.17274140611504576
Q13438-4;10;0.17274140611504576
Q13438;10;0.17274140611504576
P01871-2;10;0.17274140611504576
Q13438-8;10;0.17274140611504576
Q13438-6;10;0.17274140611504576
Q13438-7;10;0.17274140611504576
Q13438-3;10;0.17274140611504576
Q13438-2;10;0.17274140611504576
Q9UNQ0;9;0.1554672655035412
P15291;9;0.1554672655035412
P15291-2;9;0.1554672655035412
P19440;9;0.1554672655035412
P00883;9;0.1554672655035412
Q562R1;9;0.1554672655035412
Q9UNQ0-2;9;0.1554672655035412
A5A6I5;9;0.1554672655035412
P04075-2;9;0.1554672655035412
P04075;9;0.1554672655035412
P11499;8;0.1381931248920366
P08238;8;0.1381931248920366
P53396-2;8;0.1381931248920366
Q5SQN1-4;8;0.1381931248920366
P53396;8;0.1381931248920366
Q5SQN1-2;8;0.1381931248920366
Q5SQN1;8;0.1381931248920366
Q5SQN1-3;8;0.1381931248920366
P62630;7;0.12091898428053204
Q07020-2;7;0.12091898428053204
P61270;7;0.12091898428053204
P62280;7;0.12091898428053204
P22079;7;0.12091898428053204
P0CG68;7;0.12091898428053204
P0CG64;7;0.12091898428053204
P0CG61;7;0.12091898428053204
Q07020;7;0.12091898428053204
P10126;7;0.12091898428053204
P62631;7;0.12091898428053204
Q00080;7;0.12091898428053204
Q05639;7;0.12091898428053204
P68104;7;0.12091898428053204
Q5VTE0;7;0.12091898428053204
P62281;7;0.12091898428053204
