Value;Count;Percentage
Carbamidomethylation;2003;92.86045433472415
"Gluconoylation; HexNAc2; Carbamidomethylation";16;0.7417709782104774
"dHex Hex(2) HexA HexNAc Sulf; Carbamidomethylation";14;0.6490496059341678
"Hex(4); Carbamidomethylation";12;0.5563282336578581
HexNAc(2) NeuAc;8;0.3708854891052387
"dHex(2) Hex(2) HexA; Carbamidomethylation";6;0.27816411682892905
"Heptose; HexNAc(3); Carbamidomethylation";6;0.27816411682892905
"Hexosamine; Lactosylation";6;0.27816411682892905
Hexosamine;5;0.23180343069077425
Ac Hex HexNAc NeuAc;5;0.23180343069077425
dHex HexNAc(3);4;0.18544274455261936
"Glycosyl-L-hydroxyproline; Hex(2) HexA HexNAc Sulf";3;0.13908205841446453
"Hexose; Hex(5)";3;0.13908205841446453
"Hex(2) HexNAc Me; Carbamidomethylation";3;0.13908205841446453
"Gluconoylation; HexNAc NeuGc; Carbamidomethylation";3;0.13908205841446453
"Glycosyl-L-hydroxyproline; dHex Hex HexNAc Kdn";3;0.13908205841446453
"HexNAc2; Carbamidomethylation";3;0.13908205841446453
Hex HexNAc(3) NeuGc;3;0.13908205841446453
"Gluconoylation; Hex(2) HexNAc NeuGc(2)";3;0.13908205841446453
HexNAc1dHex1;3;0.13908205841446453
Hexose;3;0.13908205841446453
"HexNAc1dHex1; Hexosamine";2;0.09272137227630968
"Gluconoylation; Carbamidomethylation";2;0.09272137227630968
"Carbamidomethylation; Fucose; Hexose (NSY); Lactosylation";2;0.09272137227630968
"dHex Hex HexNAc NeuAc; Carbamidomethylation";2;0.09272137227630968
"N-acetylglucosamine-1-phosphoryl; Carbamidomethylation";2;0.09272137227630968
N-glycoyl neuraminic acid;2;0.09272137227630968
"Glycosyl-L-hydroxyproline; Hex2HexNAc2";2;0.09272137227630968
"HexNAc2; Heptose";2;0.09272137227630968
"Hexose; dHex Hex(3) HexNAc(3) NeuAc(2); Carbamidomethylation";2;0.09272137227630968
Hex Pent;1;0.04636068613815484
"Hexose; Hex HexNAc dHex Me";1;0.04636068613815484
"Gluconoylation; dHex Hex(2) HexNAc Sulf";1;0.04636068613815484
Hex(4);1;0.04636068613815484
"Hex2 dHex2; Carbamidomethylation";1;0.04636068613815484
"Hex NeuAc; Carbamidomethylation; Hexosamine";1;0.04636068613815484
Hex HexA HexNAc;1;0.04636068613815484
"Hexose; Hex Pent(2)";1;0.04636068613815484
"HexNAcylation (ST); Heptose; Carbamidomethylation";1;0.04636068613815484
"Hexuronic acid; Hex HexNAc NeuGc";1;0.04636068613815484
HexNAc(3);1;0.04636068613815484
dHex Hex(2) HexA HexNAc Sulf;1;0.04636068613815484
Hex HexNAc(3);1;0.04636068613815484
dHex Hex(2) HexNAc;1;0.04636068613815484
Hex(2) HexNAc(3);1;0.04636068613815484
"Gluconoylation; N-acetylglucosamine-1-phosphoryl; Carbamidomethylation";1;0.04636068613815484
"Hex3; Carbamidomethylation";1;0.04636068613815484
"dHex(3) Hex HexNAc(3) Kdn; Glycosyl-L-hydroxyproline; Carbamidomethylation";1;0.04636068613815484
"dHex Hex(2) HexNAc Sulf; Carbamidomethylation";1;0.04636068613815484
"Carbamidomethylation; Hexose; Glycosyl-L-hydroxyproline";1;0.04636068613815484
"Hex1HexNAc2; Hexosamine";1;0.04636068613815484
"Hex HexNAc dHex Me(2); Hexose (NSY)";1;0.04636068613815484
Hex1HexNAc1dHex1;1;0.04636068613815484
Hex(2) HexNAc Me;1;0.04636068613815484
