Value;Count;Percentage
P02788;383;10.129595345146788
P0DOX5;201;5.316053953980428
P01834;134;3.5440359693202854
P01876;134;3.5440359693202854
P01833;112;2.9621793176408358
P0DOX7;107;2.82993916953187
P07498;83;2.1951864586088337
P19835;76;2.0100502512562812
P04264;72;1.9042581327691086
A5A6M6;72;1.9042581327691086
P01860;68;1.798466014281936
P0DOX2;67;1.7720179846601427
P01877;65;1.7191219254165564
P0DOX8;61;1.613329806929384
P05814;61;1.613329806929384
P00760;59;1.5604337476857975
P01859;57;1.507537688442211
P10909;54;1.4281935995768316
P10909-4;54;1.4281935995768316
P10909-5;54;1.4281935995768316
P10909-2;54;1.4281935995768316
P10909-6;54;1.4281935995768316
P0DOY2;52;1.375297540333245
P01861;50;1.322401481089659
P01871;48;1.2695054218460724
P01871-2;48;1.2695054218460724
P0DOX6;44;1.1637133033588998
P47710;43;1.1372652737371065
P47710-2;43;1.1372652737371065
P47989;41;1.0843692144935202
A0A075;38;1.0050251256281406
P35908;37;0.9785770960063476
A0A0C4;34;0.899233007140968
P13645;34;0.899233007140968
P35527;32;0.8463369478973817
P47710-3;31;0.8198889182755884
A0A0B4;29;0.7669928590320021
P0C0L4-2;28;0.7405448294102089
P0C0L4;28;0.7405448294102089
P0C0L5;28;0.7405448294102089
P0CF74;27;0.7140967997884158
A0M8Q6;24;0.6347527109230362
P36222;23;0.608304681301243
Q13410;21;0.5554086220576567
P01591;20;0.5289605924358635
A0A0A0;20;0.5289605924358635
Q08431;19;0.5025125628140703
Q08431-4;18;0.47606453319227715
Q08380;17;0.449616503570484
P02768;17;0.449616503570484
P02538;16;0.42316847394869084
Q922U2;15;0.3967204443268976
P60709;14;0.37027241470510447
P13647;14;0.37027241470510447
P04259;14;0.37027241470510447
P24821-4;14;0.37027241470510447
P24821;14;0.37027241470510447
P60710;14;0.37027241470510447
P01619;14;0.37027241470510447
P61626;14;0.37027241470510447
P63261;14;0.37027241470510447
P06858;13;0.34382438508331126
P49327;12;0.3173763554615181
Q4FZU2;11;0.29092832583972494
P06310;10;0.26448029621793173
P01024;10;0.26448029621793173
Q6WN34-2;9;0.23803226659613858
P02533;9;0.23803226659613858
P08779;9;0.23803226659613858
Q5SQN1-3;9;0.23803226659613858
Q5SQN1-2;9;0.23803226659613858
Q5SQN1-4;9;0.23803226659613858
Q5SQN1;9;0.23803226659613858
P04104;9;0.23803226659613858
P14625;9;0.23803226659613858
Q9GJU3;8;0.21158423697434542
P01780;8;0.21158423697434542
P02649;8;0.21158423697434542
P04433;7;0.18513620735255223
P02675;7;0.18513620735255223
P06312;7;0.18513620735255223
P01594;6;0.15868817773075905
P01764;6;0.15868817773075905
P01701;6;0.15868817773075905
P01768;6;0.15868817773075905
A2NJV5;6;0.15868817773075905
P01593;6;0.15868817773075905
P0DP03;6;0.15868817773075905
P05164-2;6;0.15868817773075905
P05164;6;0.15868817773075905
P05164-3;6;0.15868817773075905
Q99102;5;0.13224014810896587
Q99102-10;5;0.13224014810896587
Q99102-17;5;0.13224014810896587
Q99102-13;5;0.13224014810896587
P97351;5;0.13224014810896587
P61247;5;0.13224014810896587
P01825;5;0.13224014810896587
P0DP08;5;0.13224014810896587
Q99102-12;5;0.13224014810896587
P06331;5;0.13224014810896587
P01824;5;0.13224014810896587
P0DP06;5;0.13224014810896587
P01614;5;0.13224014810896587
P01624;5;0.13224014810896587
P14206;5;0.13224014810896587
A0A087;5;0.13224014810896587
P20029;5;0.13224014810896587
P11021;5;0.13224014810896587
P08571;5;0.13224014810896587
P08865;5;0.13224014810896587
P01615;5;0.13224014810896587
P10126;4;0.10579211848717271
P36578;4;0.10579211848717271
P04406-2;4;0.10579211848717271
P04406;4;0.10579211848717271
P23280;4;0.10579211848717271
P07477;4;0.10579211848717271
P20160;4;0.10579211848717271
P62630;4;0.10579211848717271
P68104;4;0.10579211848717271
P01599;4;0.10579211848717271
P04003;4;0.10579211848717271
Q5VTE0;4;0.10579211848717271
O60664-4;4;0.10579211848717271
O60664;4;0.10579211848717271
P23280-2;4;0.10579211848717271
P01618;4;0.10579211848717271
P02671-2;4;0.10579211848717271
P02671;4;0.10579211848717271
Q99541;4;0.10579211848717271
O60664-2;4;0.10579211848717271
P62424;3;0.07934408886537953
Q86Y46;3;0.07934408886537953
P0DM91;3;0.07934408886537953
P62631;3;0.07934408886537953
Q05639;3;0.07934408886537953
P04792;3;0.07934408886537953
F5B8W0;3;0.07934408886537953
Q86Y46-2;3;0.07934408886537953
P02647;3;0.07934408886537953
P30101;3;0.07934408886537953
Q91ZJ5-2;3;0.07934408886537953
P06396-4;3;0.07934408886537953
Q16851;3;0.07934408886537953
Q16851-2;3;0.07934408886537953
Q91ZJ5;3;0.07934408886537953
P06396;3;0.07934408886537953
P06396-3;3;0.07934408886537953
P06396-2;3;0.07934408886537953
P04075-2;3;0.07934408886537953
P80748;3;0.07934408886537953
P04075;3;0.07934408886537953
A5A6I5;3;0.07934408886537953
P00883;3;0.07934408886537953
P84243;2;0.052896059243586355
Q16695;2;0.052896059243586355
P84244;2;0.052896059243586355
P84228;2;0.052896059243586355
Q6PF15-2;2;0.052896059243586355
Q71DI3;2;0.052896059243586355
P68433;2;0.052896059243586355
P68431;2;0.052896059243586355
P04211;2;0.052896059243586355
P0CO05;2;0.052896059243586355
P01717;2;0.052896059243586355
P15941-4;2;0.052896059243586355
P0CO04;2;0.052896059243586355
P15941-8;2;0.052896059243586355
P01011;2;0.052896059243586355
P01703;2;0.052896059243586355
P62701;2;0.052896059243586355
P47836;2;0.052896059243586355
P62704;2;0.052896059243586355
Q9WTV1;2;0.052896059243586355
P30086;2;0.052896059243586355
Q9P225;2;0.052896059243586355
Q9P225-2;2;0.052896059243586355
Q8NCU8-1;2;0.052896059243586355
P35030;2;0.052896059243586355
P0CN31;2;0.052896059243586355
P35030-4;2;0.052896059243586355
P35030-2;2;0.052896059243586355
P07478;2;0.052896059243586355
P35030-3;2;0.052896059243586355
P35030-5;2;0.052896059243586355
P06727;2;0.052896059243586355
Q6X4U4-2;2;0.052896059243586355
Q6X4U4;2;0.052896059243586355
P08311;2;0.052896059243586355
Q9BTM1-2;2;0.052896059243586355
P0CN30;2;0.052896059243586355
Q15084-2;2;0.052896059243586355
P15941-17;2;0.052896059243586355
P15941-11;2;0.052896059243586355
P15941-6;2;0.052896059243586355
P15941-15;2;0.052896059243586355
P02994;2;0.052896059243586355
P15941-10;2;0.052896059243586355
P01602;2;0.052896059243586355
P01700;2;0.052896059243586355
P15814;2;0.052896059243586355
P15941-9;2;0.052896059243586355
P15941-16;2;0.052896059243586355
Q07020;2;0.052896059243586355
Q07020-2;2;0.052896059243586355
P15941-12;2;0.052896059243586355
P15941-2;2;0.052896059243586355
Q00080;2;0.052896059243586355
P20305-2;2;0.052896059243586355
P15941-3;2;0.052896059243586355
P15941;2;0.052896059243586355
P20305;2;0.052896059243586355
P15941-7;2;0.052896059243586355
Q15084-3;2;0.052896059243586355
Q15084;2;0.052896059243586355
Q15084-4;2;0.052896059243586355
Q15084-5;2;0.052896059243586355
P05109;1;0.026448029621793177
Q7KZF4;1;0.026448029621793177
P0DP09;1;0.026448029621793177
P62917;1;0.026448029621793177
Q9UI12;1;0.026448029621793177
P06702;1;0.026448029621793177
O54734;1;0.026448029621793177
P01743;1;0.026448029621793177
P81605;1;0.026448029621793177
O00391-2;1;0.026448029621793177
O00391;1;0.026448029621793177
Q9H4G4;1;0.026448029621793177
P11142-2;1;0.026448029621793177
P62263;1;0.026448029621793177
C0HKA0;1;0.026448029621793177
P23083;1;0.026448029621793177
P81605-2;1;0.026448029621793177
P0DP01;1;0.026448029621793177
P39656-2;1;0.026448029621793177
P39656-3;1;0.026448029621793177
P39656;1;0.026448029621793177
P35268;1;0.026448029621793177
Q98TF8;1;0.026448029621793177
Q183M9;1;0.026448029621793177
P01742;1;0.026448029621793177
P16671-3;1;0.026448029621793177
