Value;Count;Percentage
P02788;590;30.77725612936881
P05814;181;9.441836202399582
P02768;136;7.094418362023997
P19835;117;6.103286384976526
P01833;83;4.329681794470527
P07498;75;3.912363067292645
P47710;70;3.6515388628064684
P01876;62;3.2342201356285862
P47989;55;2.8690662493479393
P01877;36;1.8779342723004695
P01834;23;1.1997913406364111
Q08431;21;1.0954616588419406
P00709;19;0.99113197704747
Q13410;19;0.99113197704747
P04264;17;0.8868022952529996
B9A064;15;0.7824726134585289
P0DOY2;14;0.7303077725612936
P10909;13;0.6781429316640584
P0CG04;13;0.6781429316640584
P0DOY3;13;0.6781429316640584
P61626;13;0.6781429316640584
P0CF74;12;0.6259780907668232
P05413;11;0.5738132498695879
P60709;10;0.5216484089723527
P69905;10;0.5216484089723527
P63261;10;0.5216484089723527
P13645;9;0.4694835680751174
P22897;9;0.4694835680751174
P68133;8;0.4173187271778821
P62736;8;0.4173187271778821
P68032;8;0.4173187271778821
P02787;8;0.4173187271778821
P63267;8;0.4173187271778821
P02533;7;0.3651538862806468
P08779;7;0.3651538862806468
Q99541;6;0.3129890453834116
P01857;6;0.3129890453834116
P01860;6;0.3129890453834116
P01859;6;0.3129890453834116
P08571;6;0.3129890453834116
P0CG38;6;0.3129890453834116
P35527;6;0.3129890453834116
A5A3E0;5;0.2608242044861763
Q6S8J3;5;0.2608242044861763
P49327;5;0.2608242044861763
P23280;5;0.2608242044861763
P01024;5;0.2608242044861763
Q8N1N4;5;0.2608242044861763
P01861;4;0.20865936358894105
P35908;4;0.20865936358894105
Q86Y46;4;0.20865936358894105
P13647;4;0.20865936358894105
P69892;4;0.20865936358894105
A0M8Q6;4;0.20865936358894105
P01009;4;0.20865936358894105
P01871;4;0.20865936358894105
P19012;4;0.20865936358894105
P13646;4;0.20865936358894105
P0DP09;3;0.1564945226917058
Q7Z794;3;0.1564945226917058
P08727;3;0.1564945226917058
Q99456;3;0.1564945226917058
A0A0B4;3;0.1564945226917058
P10451;3;0.1564945226917058
Q562R1;3;0.1564945226917058
Q9BYX7;3;0.1564945226917058
P12035;3;0.1564945226917058
P61769;3;0.1564945226917058
P68871;2;0.10432968179447052
P0C0L5;2;0.10432968179447052
P0C0L4;2;0.10432968179447052
P24821;2;0.10432968179447052
Q6WN34;2;0.10432968179447052
P00738;2;0.10432968179447052
P02647;2;0.10432968179447052
Q7Z3Y7;2;0.10432968179447052
Q04695;2;0.10432968179447052
Q7RTS7;2;0.10432968179447052
P08729;2;0.10432968179447052
P48668;2;0.10432968179447052
Q01546;2;0.10432968179447052
P02538;2;0.10432968179447052
A0A0C4;2;0.10432968179447052
P15291;2;0.10432968179447052
P69891;2;0.10432968179447052
Q7Z3Y8;2;0.10432968179447052
P36575;1;0.05216484089723526
P07195;1;0.05216484089723526
P01591;1;0.05216484089723526
Q9UFH2;1;0.05216484089723526
Q99523;1;0.05216484089723526
Q2VPB7;1;0.05216484089723526
P00739;1;0.05216484089723526
P06858;1;0.05216484089723526
Q8N271;1;0.05216484089723526
Q96TA1;1;0.05216484089723526
P06733;1;0.05216484089723526
Q9GZX5;1;0.05216484089723526
O95678;1;0.05216484089723526
P01624;1;0.05216484089723526
P16671;1;0.05216484089723526
P02042;1;0.05216484089723526
Q08380;1;0.05216484089723526
P28715;1;0.05216484089723526
O75592;1;0.05216484089723526
Q15262;1;0.05216484089723526
Q7RTU9;1;0.05216484089723526
A6NGW2;1;0.05216484089723526
P05787;1;0.05216484089723526
Q5XKE5;1;0.05216484089723526
P04259;1;0.05216484089723526
Q9NSB2;1;0.05216484089723526
Q3SY84;1;0.05216484089723526
P20848;1;0.05216484089723526
P56962;1;0.05216484089723526
