Value;Count;Percentage
Carbamidomethylation ;187;24.7682119205298
Ubiquitin;38;5.033112582781457
Deamidation ;36;4.768211920529802
Carbamidomethylation;36;4.768211920529802
Oxidation (M);32;4.23841059602649
Formylation;29;3.8410596026490067
Dehydration;27;3.576158940397351
Cysteine mercaptoethanol;25;3.3112582781456954
Cyano;21;2.781456953642384
Propionamide;20;2.6490066225165565
Replacement of 2 protons by iron;19;2.5165562913907285
Double Carbamidomethylation ;19;2.5165562913907285
Dethiomethyl;18;2.384105960264901
Oxidation ;13;1.7218543046357615
2-amino-3-oxo-butanoic_acid;11;1.456953642384106
S-homocysteinylation;10;1.3245033112582782
Oxidation or Hydroxylation;9;1.1920529801324504
Carboxymethyl ;8;1.0596026490066226
Dihydroxy;7;0.9271523178807948
Hex Pent(2);7;0.9271523178807948
Piperidination;7;0.9271523178807948
Hex1HexNAc1;7;0.9271523178807948
Amidation;6;0.7947019867549668
Dehydroalanine (C);6;0.7947019867549668
N-glycoyl neuraminic acid;4;0.5298013245033113
Phosphorylation ;4;0.5298013245033113
Ethylation;4;0.5298013245033113
Hex1HexNAc1dHex1;4;0.5298013245033113
Acetylation ;3;0.3973509933774834
Pyro-glu from Q;3;0.3973509933774834
Menadione quinone derivative;3;0.3973509933774834
Propionamide ;3;0.3973509933774834
Ammonia-loss (N);3;0.3973509933774834
HexNAcylation ;3;0.3973509933774834
"Gluconoylation;Heptose";3;0.3973509933774834
HexNAc Kdn(2);2;0.26490066225165565
HexNAc2;2;0.26490066225165565
"Ac Hex HexNAc NeuAc;Hex1HexNAc2dHex2";2;0.26490066225165565
Hex3;2;0.26490066225165565
"Deamidation ;Pentose";2;0.26490066225165565
Phosphoglycosyl-D-mannose-1-phosphoryl;2;0.26490066225165565
Hex(2) HexNAc Me;2;0.26490066225165565
Hex NeuAc;2;0.26490066225165565
dHex Hex HexA HexNAc(3);2;0.26490066225165565
Propionaldehyde +40;2;0.26490066225165565
dHex Hex(3) HexNAc(3) Pent(2);2;0.26490066225165565
Deamidation followed by a methylation;2;0.26490066225165565
"Hex HexNAc dHex Me;HexNAcylation ";2;0.26490066225165565
Selenium replaces sulphur;1;0.13245033112582782
dHex Hex(2) HexA;1;0.13245033112582782
"dHex Hex(2) HexNAc(2) Sulf;Glucosylgalactosyl hydroxylysine";1;0.13245033112582782
Fucose;1;0.13245033112582782
Ac Hex HexNAc NeuAc;1;0.13245033112582782
"Hex HexA HexNAc(2);Gluconoylation";1;0.13245033112582782
dHex Hex(2) HexNAc(3);1;0.13245033112582782
"Hex(3) HexNAc(2) Pent;dHex Hex(3) HexA HexNAc Sulf";1;0.13245033112582782
"Hex(3) HexNAc(3);dHex Hex HexNAc(3)";1;0.13245033112582782
HexNAc NeuAc;1;0.13245033112582782
3-sulfanylpropanoyl;1;0.13245033112582782
"Hex(3) HexNAc(7);Hex(2) HexNAc NeuGc";1;0.13245033112582782
Menadione hydroquinone derivative;1;0.13245033112582782
"Hex1HexNAc2;Heptose";1;0.13245033112582782
Hex HexNAc Phos;1;0.13245033112582782
"Hex(3) HexNAc(3) Pent;Hex2HexNAc2";1;0.13245033112582782
"Ac Hex HexNAc NeuAc;dHex(2) Hex(2) HexNAc(2) Kdn";1;0.13245033112582782
"Fucose;Hex HexNAc Phos";1;0.13245033112582782
"HexNAc NeuAc;Lactosylation";1;0.13245033112582782
"Hex1HexNAc1dHex1;Heptose";1;0.13245033112582782
H1O3P1Hex2;1;0.13245033112582782
dHex HexNAc(3);1;0.13245033112582782
Levuglandinyl-lysine anhydrolactam adduct;1;0.13245033112582782
HexNAc1dHex1;1;0.13245033112582782
Hex(5) HexNAc(4) Sulf;1;0.13245033112582782
"Hex HexNAc dHex Me;Hex1HexNAc2dHex1";1;0.13245033112582782
"HexNAc(5);Hexose";1;0.13245033112582782
"Fucosylated biantennary;Heptose";1;0.13245033112582782
Lactosylation;1;0.13245033112582782
Hex(2) HexNAc;1;0.13245033112582782
Heptose;1;0.13245033112582782
"Gluconoylation;Gluconoylation";1;0.13245033112582782
"H1O3P1Hex2;dHex(2) HexNAc(2) Kdn";1;0.13245033112582782
"dHex(2) Hex(2) HexNAc(2) Sulf(2);Glucosylgalactosyl hydroxylysine";1;0.13245033112582782
"Hex(3) HexNAc(3);dHex(3) Hex(2) HexNAc(2)";1;0.13245033112582782
dHex(2) HexNAc(2) Kdn;1;0.13245033112582782
Carboxymethylated DTT modification of cysteine;1;0.13245033112582782
"Hexosamine;dHex(2) Hex(4) HexNAc(5)";1;0.13245033112582782
"Hexose;dHex(4) Hex(2) HexNAc(3)";1;0.13245033112582782
"Hex(3) HexNAc(4) Sulf;dHex(2) Hex HexNAc Kdn";1;0.13245033112582782
dHex(2) Hex(2) HexA HexNAc;1;0.13245033112582782
Hex(3) HexNAc;1;0.13245033112582782
"Hex(5) HexNAc(5);Heptose";1;0.13245033112582782
"dHex Hex(3) HexNAc;Hexosamine";1;0.13245033112582782
"Gluconoylation;Hex(2) HexNAc(3)";1;0.13245033112582782
Nmethylmaleimidehydrolysis;1;0.13245033112582782
HexNAc2dHex1;1;0.13245033112582782
"Hex(3) HexNAc(4) NeuAc;dHex Hex(2) HexNAc";1;0.13245033112582782
dHex Hex(5) HexNAc(4) NeuAc;1;0.13245033112582782
dHex(2) Hex(5) HexNAc(4);1;0.13245033112582782
"Hex(3) HexNAc(3);dHex(2) Hex HexNAc(2) Kdn";1;0.13245033112582782
"Hex(2) HexNAc(2) NeuAc;Hex(2) HexNAc(3) NeuGc";1;0.13245033112582782
"Hexosamine;dHex(3) Hex(4) HexNAc(4)";1;0.13245033112582782
Hex1HexNAc2;1;0.13245033112582782
dHex(2) Hex(3) HexNAc(2) Sulf;1;0.13245033112582782
Fucosylated biantennary;1;0.13245033112582782
"Fucosylated biantennary (-2 galactose);Hex HexNAc dHex Me";1;0.13245033112582782
O3S1HexNAc1;1;0.13245033112582782
"Hex(3) HexNAc(3);dHex Hex(3) HexA(2) HexNAc(2)";1;0.13245033112582782
dHex Hex HexNAc(4);1;0.13245033112582782
dHex(2) Hex HexNAc(2) NeuAc;1;0.13245033112582782
Hexose;1;0.13245033112582782
"Hex(3) HexNAc(6) Sulf(2);Biantennary (-1 galactose)";1;0.13245033112582782
"Hex HexNAc dHex Me(2);Hexose";1;0.13245033112582782
"Hex(3) HexNAc(7);HexNAc2";1;0.13245033112582782
dHex(4) Hex(3) HexNAc(3);1;0.13245033112582782
"Hex1HexNAc2dHex1;Heptose";1;0.13245033112582782
dHex Hex(5) HexNAc(4) NeuAc(2);1;0.13245033112582782
Hex Pent;1;0.13245033112582782
Hex2HexNAc2;1;0.13245033112582782
"Hexose;Hexose;Hex HexNAc dHex Me(2)";1;0.13245033112582782
dHex Hex(6) HexNAc(2);1;0.13245033112582782
Glycosyl-L-hydroxyproline;1;0.13245033112582782
Nucleophilic addtion to cytopiloyne;1;0.13245033112582782
"Heptose;dHex Hex(3) HexNAc(3) Sulf";1;0.13245033112582782
"Hexose;dHex HexNAc(5)";1;0.13245033112582782
dHex HexNAc(4);1;0.13245033112582782
Gluconoylation;1;0.13245033112582782
"N-glycoyl neuraminic acid;Heptose";1;0.13245033112582782
"Hex1HexNAc1;Lactosylation";1;0.13245033112582782
"Hex(2) HexNAc(2) NeuAc;dHex(2) Hex(3) HexNAc(2) Sulf";1;0.13245033112582782
"Hex HexNAc dHex Me;dHex Hex(2) HexNAc";1;0.13245033112582782
Hexosamine;1;0.13245033112582782
"Fucose;Hex Pent";1;0.13245033112582782
dHex Hex(2) HexNAc(2) NeuAc Sulf;1;0.13245033112582782
Phenethyl isothiocyanate;1;0.13245033112582782
"Hex(3) HexNAc(3) Pent;dHex(2) Hex(2) HexA HexNAc";1;0.13245033112582782
"Hex(2) HexNAc(2) NeuAc;dHex Hex HexA HexNAc(3)";1;0.13245033112582782
N-acetylglucosamine-1-phosphoryl;1;0.13245033112582782
Biantennary;1;0.13245033112582782
"Hex(2) HexNAc(2) NeuAc;Hex HexNAc NeuAc(3)";1;0.13245033112582782
Hexuronic acid;1;0.13245033112582782
"Hex(3) HexNAc(2) NeuAc;Pentose";1;0.13245033112582782
Proline oxidation to pyroglutamic acid;1;0.13245033112582782
