Value;Count;Percentage
P02788;444;10.195177956371987
P05814;366;8.404133180252584
P47710;269;6.1768082663605055
P47710-3;240;5.510907003444316
P10909-6;215;4.936854190585533
P07498;125;2.8702640642939152
P19835;92;2.1125143513203213
P02647;83;1.9058553386911596
P61626;70;1.6073478760045925
Q08380;70;1.6073478760045925
Q08431;65;1.4925373134328357
P49327;56;1.285878300803674
P02649;56;1.285878300803674
P06858;49;1.1251435132032146
P04264;47;1.079219288174512
P16671;44;1.0103329506314582
P30086;44;1.0103329506314582
P16671-4;43;0.9873708381171067
O60664;42;0.9644087256027554
P06727;38;0.8725602755453502
P00760;37;0.8495981630309988
Q6WN34-2;35;0.8036739380022963
Q99541;31;0.711825487944891
P13645;31;0.711825487944891
Q99102;28;0.642939150401837
Q99102-13;28;0.642939150401837
Q99102-12;28;0.642939150401837
Q99102-10;28;0.642939150401837
Q6WN34;28;0.642939150401837
P01834;28;0.642939150401837
P05164-3;26;0.5970149253731344
P05164;26;0.5970149253731344
P05164-2;26;0.5970149253731344
P35908;26;0.5970149253731344
P01876;25;0.5740528128587831
P15941-7;23;0.5281285878300803
P15941-11;23;0.5281285878300803
P15941-17;23;0.5281285878300803
P15941-8;22;0.5051664753157291
P15941-4;22;0.5051664753157291
P15941-3;22;0.5051664753157291
P15941;22;0.5051664753157291
P15941-2;22;0.5051664753157291
P01833;21;0.4822043628013777
P08571;19;0.4362801377726751
P35527;18;0.41331802525832373
Q13410;16;0.36739380022962115
P15328;16;0.36739380022962115
P48668;14;0.3214695752009185
P00709;14;0.3214695752009185
Q5SQN1-3;13;0.2985074626865672
Q5SQN1;13;0.2985074626865672
Q5SQN1-2;13;0.2985074626865672
Q5SQN1-4;13;0.2985074626865672
P19440;13;0.2985074626865672
P13987;13;0.2985074626865672
P13987-2;13;0.2985074626865672
Q9H4G4;13;0.2985074626865672
P13647;13;0.2985074626865672
P05109;13;0.2985074626865672
Q5QNW6-2;12;0.2755453501722158
Q99879;12;0.2755453501722158
P04004;12;0.2755453501722158
Q6ZWY9;12;0.2755453501722158
Q64525;12;0.2755453501722158
Q99877;12;0.2755453501722158
Q64478;12;0.2755453501722158
Q93079;12;0.2755453501722158
P63261;11;0.25258323765786456
P60710;11;0.25258323765786456
P63104;11;0.25258323765786456
P60709;11;0.25258323765786456
P33778;11;0.25258323765786456
P20160;11;0.25258323765786456
O00300;11;0.25258323765786456
P06899;11;0.25258323765786456
Q16778;11;0.25258323765786456
P16402;11;0.25258323765786456
P47989;11;0.25258323765786456
P23527;11;0.25258323765786456
P43277;11;0.25258323765786456
P15864;11;0.25258323765786456
P16403;11;0.25258323765786456
P10412;11;0.25258323765786456
Q922U2;10;0.2296211251435132
P62937;10;0.2296211251435132
Q16651;10;0.2296211251435132
P04406-2;10;0.2296211251435132
P04406;10;0.2296211251435132
P06702;9;0.20665901262916186
P23280-2;9;0.20665901262916186
Q96KK5;8;0.18369690011481057
Q9BTM1;8;0.18369690011481057
P08246;8;0.18369690011481057
Q6X4U4-2;8;0.18369690011481057
P39019;8;0.18369690011481057
Q6X4U4;8;0.18369690011481057
Q99878;8;0.18369690011481057
P13688-8;7;0.16073478760045926
Q9NV23;7;0.16073478760045926
Q9NV23-2;7;0.16073478760045926
P07602-3;7;0.16073478760045926
P04104;7;0.16073478760045926
Q9Z331;7;0.16073478760045926
P07602;7;0.16073478760045926
P13688-2;7;0.16073478760045926
P07602-2;7;0.16073478760045926
P13688-10;7;0.16073478760045926
Q5T2N8;7;0.16073478760045926
O00299;7;0.16073478760045926
P13688;7;0.16073478760045926
P50446;7;0.16073478760045926
P43276;6;0.1377726750861079
P31946;6;0.1377726750861079
Q8NBJ7-2;6;0.1377726750861079
P08779;6;0.1377726750861079
P02533;6;0.1377726750861079
Q8NBJ7;6;0.1377726750861079
Q9BY76;6;0.1377726750861079
P16401;6;0.1377726750861079
Q4FZU2;6;0.1377726750861079
P02994;6;0.1377726750861079
P19013;6;0.1377726750861079
P0CN30;6;0.1377726750861079
Q15365;6;0.1377726750861079
P31946-2;6;0.1377726750861079
P0CN31;6;0.1377726750861079
P23284;5;0.1148105625717566
Q5VTE0;5;0.1148105625717566
O00592;5;0.1148105625717566
P68104;5;0.1148105625717566
O00592-2;5;0.1148105625717566
Q6UXI9;5;0.1148105625717566
P62630;5;0.1148105625717566
P10126;5;0.1148105625717566
P62631;5;0.1148105625717566
Q05639;5;0.1148105625717566
Q6UXI9-3;5;0.1148105625717566
P13646-3;5;0.1148105625717566
Q6UXI9-6;5;0.1148105625717566
P19012;5;0.1148105625717566
P13646;5;0.1148105625717566
P13646-2;5;0.1148105625717566
P0DOY3;5;0.1148105625717566
P0DOY2;5;0.1148105625717566
P28676;5;0.1148105625717566
Q8N271;4;0.09184845005740529
P08174;4;0.09184845005740529
P08174-2;4;0.09184845005740529
P08174-5;4;0.09184845005740529
P08174-4;4;0.09184845005740529
Q8N271-2;4;0.09184845005740529
P62851;4;0.09184845005740529
P49908;4;0.09184845005740529
P08174-3;4;0.09184845005740529
P26201;4;0.09184845005740529
O75888-5;4;0.09184845005740529
O43508-2;4;0.09184845005740529
O75888;4;0.09184845005740529
P08174-6;4;0.09184845005740529
O75888-2;4;0.09184845005740529
O75888-4;4;0.09184845005740529
P08174-7;4;0.09184845005740529
O43490-6;4;0.09184845005740529
P08865;4;0.09184845005740529
O14745;4;0.09184845005740529
O43490-4;4;0.09184845005740529
O43490-3;4;0.09184845005740529
O43490-5;4;0.09184845005740529
O43490-2;4;0.09184845005740529
Q9P225;4;0.09184845005740529
O43490;4;0.09184845005740529
P14206;4;0.09184845005740529
Q13113;4;0.09184845005740529
P24158;4;0.09184845005740529
O43490-7;4;0.09184845005740529
Q562R1;4;0.09184845005740529
Q99828-2;4;0.09184845005740529
Q99828;4;0.09184845005740529
P78324;3;0.06888633754305395
P49913;3;0.06888633754305395
C0MDY5;3;0.06888633754305395
P0CG69;3;0.06888633754305395
