Value;Count;Percentage
Carbamidomethylation;1275;80.95238095238095
dHex Hex(2) HexNAc(2) Pent;30;1.9047619047619049
Hex HexNAc NeuAc(3);22;1.3968253968253967
Hex HexNAc(3) NeuGc;12;0.7619047619047619
"Gluconoylation; HexNAcylation (N)";8;0.5079365079365079
Hex1HexNAc2dHex2;8;0.5079365079365079
Heptose;7;0.4444444444444444
Phosphoglycosyl-D-mannose-1-phosphoryl;6;0.38095238095238093
Hex2HexNAc2;6;0.38095238095238093
Hex HexNAc(2) NeuAc(2);6;0.38095238095238093
HexNAc1dHex2;6;0.38095238095238093
"Gluconoylation; Heptose";6;0.38095238095238093
"Hex(4); Glucosylgalactosyl hydroxylysine; Carbamidomethylation";5;0.31746031746031744
"Hex HexNAc dHex Me; Carbamidomethylation";5;0.31746031746031744
Hex Pent(2);5;0.31746031746031744
dHex Hex HexNAc(2) NeuAc(2);4;0.25396825396825395
dHex Hex HexNAc(3);4;0.25396825396825395
"Gluconoylation; Pentose";4;0.25396825396825395
"Carbamidomethylation; Hex HexNAc(3)";4;0.25396825396825395
dHex Hex(2) HexNAc;4;0.25396825396825395
"Hexose; Hex(2) HexNAc NeuGc(2)";4;0.25396825396825395
dHex(2) Hex(2) HexNAc(2);4;0.25396825396825395
HexNAc NeuGc;3;0.19047619047619047
Hex(5);3;0.19047619047619047
HexNAc(2) NeuAc Sulf;3;0.19047619047619047
"Gluconoylation; Hex(3) Phos";3;0.19047619047619047
"Hexose; Carbamidomethylation; Hex(2) HexA Pent Sulf";3;0.19047619047619047
Hexosamine;3;0.19047619047619047
"Phosphoglycosyl-D-mannose-1-phosphoryl; Carbamidomethylation";2;0.12698412698412698
"Heptose; Ac Hex HexNAc NeuAc";2;0.12698412698412698
"Carbamidomethylation; Heptose; Hex HexNAc Kdn Sulf";2;0.12698412698412698
"Gluconoylation; HexNAcylation (ST)";2;0.12698412698412698
"dHex(2) Hex(4) HexNAc(4); Carbamidomethylation";2;0.12698412698412698
"Hexose; Hex1HexNAc2dHex1Pent1";2;0.12698412698412698
