Value;Count;Percentage
Carbamidomethylation;1281;88.95833333333333
Hex Pent(2);15;1.0416666666666665
Hex2HexNAc2;10;0.6944444444444444
dHex Hex(2) HexNAc(2) Pent;8;0.5555555555555556
Hex HexNAc NeuAc(3);6;0.4166666666666667
Hex HexNAc(3) NeuGc;6;0.4166666666666667
Phosphoglycosyl-D-mannose-1-phosphoryl;6;0.4166666666666667
"dHex(2) Hex(2) HexA HexNAc(2) Sulf; Carbamidomethylation";5;0.3472222222222222
Hexose;5;0.3472222222222222
Hex2HexNAc2dHex1;4;0.2777777777777778
dHex Hex(2) HexNAc;4;0.2777777777777778
dHex(2) Hex(4);4;0.2777777777777778
"Gluconoylation; HexNAcylation (N)";4;0.2777777777777778
Hex3;3;0.20833333333333334
Hexosamine;3;0.20833333333333334
"Hexosamine; Lactosylation";3;0.20833333333333334
Hex(5);3;0.20833333333333334
Hex NeuAc;3;0.20833333333333334
"Gluconoylation; Heptose";3;0.20833333333333334
"Gluconoylation; Hex(3) Phos";2;0.1388888888888889
"Heptose; HexNAc(3); Carbamidomethylation";2;0.1388888888888889
"Hexose; Hex HexNAc Kdn Sulf; Carbamidomethylation";2;0.1388888888888889
dHex Hex HexNAc(3);2;0.1388888888888889
HexNAc(2) NeuAc;2;0.1388888888888889
"Gluconoylation; dHex Hex(2) HexNAc Sulf";2;0.1388888888888889
"Hex1HexNAc2; Glycosyl-L-hydroxyproline; Carbamidomethylation";2;0.1388888888888889
Hex1HexNAc1NeuAc1;2;0.1388888888888889
dHex(2) Hex(3);2;0.1388888888888889
Heptose;2;0.1388888888888889
"Carbamidomethylation; Phosphoglycosyl-D-mannose-1-phosphoryl";2;0.1388888888888889
Gluconoylation;2;0.1388888888888889
"Gluconoylation; Pentose";2;0.1388888888888889
Glycosyl-L-hydroxyproline;2;0.1388888888888889
dHex Hex(3) HexNAc Sulf;2;0.1388888888888889
"Heptose; Hex1HexNAc2";2;0.1388888888888889
"Gluconoylation; HexNAc(5)";2;0.1388888888888889
"HexNAc(3); Carbamidomethylation";1;0.06944444444444445
dHex Hex(3) HexNAc;1;0.06944444444444445
dHex(3) HexNAc(3) Kdn;1;0.06944444444444445
dHex Hex(2) HexA;1;0.06944444444444445
Fucose;1;0.06944444444444445
Hex(2) HexNAc NeuGc;1;0.06944444444444445
Hex(4) HexNAc(3);1;0.06944444444444445
dHex Hex(4) HexA HexNAc(2);1;0.06944444444444445
Hex(2) HexNAc;1;0.06944444444444445
Hex1HexNAc1dHex1;1;0.06944444444444445
"Gluconoylation; Hex3";1;0.06944444444444445
"Hex Pent; Hexosamine; Carbamidomethylation";1;0.06944444444444445
dHex(2) Hex(2) HexNAc(4);1;0.06944444444444445
Pentose;1;0.06944444444444445
Hex HexNAc dHex Me(2);1;0.06944444444444445
"Gluconoylation; HexNAc(2) NeuGc";1;0.06944444444444445
"Carbamidomethylation; Heptose; Hex HexNAc Kdn Sulf";1;0.06944444444444445
"Carbamidomethylation; Hex HexNAc(3)";1;0.06944444444444445
"Hexosamine; Carbamidomethylation";1;0.06944444444444445
"Glycosyl-L-hydroxyproline; Hex(2) HexA HexNAc Sulf";1;0.06944444444444445
O3S1HexNAc1;1;0.06944444444444445
Hex(3) HexNAc(5);1;0.06944444444444445
HexNAc NeuAc;1;0.06944444444444445
"Gluconoylation; Carbamidomethylation";1;0.06944444444444445
"Heptose; Ac Hex HexNAc NeuAc";1;0.06944444444444445
Hex(2) HexNAc Sulf;1;0.06944444444444445
"Gluconoylation; Hexosamine";1;0.06944444444444445
"Hexosamine; dHex(2) Hex(3)";1;0.06944444444444445
Hex HexNAc NeuGc;1;0.06944444444444445
"Carbamidomethylation; dHex Hex(2) HexA";1;0.06944444444444445
