Value;Count;Percentage
P02788;961;16.531911233442283
P19835;190;3.268536039910545
P47710;159;2.7352485807672458
P05814;158;2.718045759504559
P10909-6;142;2.4428006193015652
P10909-2;140;2.4083949767761914
P10909-5;140;2.4083949767761914
P10909-4;140;2.4083949767761914
P10909;140;2.4083949767761914
P47710-3;132;2.270772406674695
P49327;116;1.9955272664717014
P04114;113;1.94391880268364
P01833;95;1.6342680199552726
P01876;93;1.5998623774298986
P07498;89;1.53105109237915
Q08431;89;1.53105109237915
Q08380;86;1.4794426285910889
Q13410;86;1.4794426285910889
P47989;84;1.4450369860657148
P01834;60;1.0321692757612249
Q6WN34-2;53;0.9117495269224153
P01877;53;0.9117495269224153
P0DOX2;52;0.8945467056597283
P06858;46;0.7913297780836057
Q6WN34;44;0.7569241355582316
P01871;40;0.6881128505074832
P01871-2;40;0.6881128505074832
P16671;38;0.653707207982109
P16671-4;37;0.636504386719422
P0DOY3;35;0.6020987441940479
P0DOY2;35;0.6020987441940479
P0DOX6;35;0.6020987441940479
Q16851;34;0.5848959229313607
Q16851-2;34;0.5848959229313607
P60709;32;0.5504902804059866
P60710;32;0.5504902804059866
P63261;32;0.5504902804059866
P04264;31;0.5332874591432996
A5A6M6;31;0.5332874591432996
P02768;29;0.49888181661792536
P0DOX8;28;0.4816789953552382
Q99541;27;0.46447617409255115
P0DOX7;27;0.46447617409255115
P00760;26;0.44727335282986413
P02649;22;0.3784620677791158
P24821-4;20;0.3440564252537416
P24821;20;0.3440564252537416
P08311;20;0.3440564252537416
Q99102-10;19;0.3268536039910545
Q99102-13;19;0.3268536039910545
Q99102;19;0.3268536039910545
P0CG64;18;0.30965078272836744
P0C0L4;18;0.30965078272836744
P0C0L4-2;18;0.30965078272836744
P0C0L5;18;0.30965078272836744
Q5SQN1-3;17;0.29244796146568036
P14797;17;0.29244796146568036
Q5SQN1;17;0.29244796146568036
Q5SQN1-2;17;0.29244796146568036
Q5SQN1-4;17;0.29244796146568036
P13645;16;0.2752451402029933
A0A0B4;15;0.2580423189403062
P35908;15;0.2580423189403062
P01591;15;0.2580423189403062
P15311;14;0.2408394976776191
P62701;14;0.2408394976776191
P47836;14;0.2408394976776191
P62704;14;0.2408394976776191
P08571;13;0.22363667641493207
P15941-11;12;0.206433855152245
P15941-8;12;0.206433855152245
P15941-17;12;0.206433855152245
P15941-7;12;0.206433855152245
P02647;12;0.206433855152245
P0DM91;12;0.206433855152245
P15941-4;12;0.206433855152245
P15941-3;12;0.206433855152245
P15941;12;0.206433855152245
P15941-2;12;0.206433855152245
O60664;12;0.206433855152245
O60664-4;12;0.206433855152245
P19440;11;0.1892310338895579
Q14697-2;11;0.1892310338895579
Q14697;11;0.1892310338895579
P15880;11;0.1892310338895579
P01024;10;0.1720282126268708
P68104;10;0.1720282126268708
Q5VTE0;10;0.1720282126268708
P01011;10;0.1720282126268708
P18124;10;0.1720282126268708
P62630;10;0.1720282126268708
P10126;10;0.1720282126268708
Q9Y6V0;9;0.15482539136418372
P62917;9;0.15482539136418372
P04004;9;0.15482539136418372
P23280-2;9;0.15482539136418372
P23280;9;0.15482539136418372
Q9Y6V0-6;9;0.15482539136418372
P14206;9;0.15482539136418372
P08865;9;0.15482539136418372
P62631;9;0.15482539136418372
P05413;9;0.15482539136418372
P62424;9;0.15482539136418372
Q05639;9;0.15482539136418372
P39023;8;0.13762257010149664
P63104;8;0.13762257010149664
P20671;8;0.13762257010149664
P61247;8;0.13762257010149664
P43277;8;0.13762257010149664
P10412;8;0.13762257010149664
P16402;8;0.13762257010149664
P61626;8;0.13762257010149664
P97351;8;0.13762257010149664
P23396;8;0.13762257010149664
P16403;8;0.13762257010149664
P36578;8;0.13762257010149664
O00560-2;8;0.13762257010149664
Q02878;8;0.13762257010149664
O00560-3;8;0.13762257010149664
Q6X4U4;8;0.13762257010149664
O00560;8;0.13762257010149664
P63017;7;0.12041974883880956
Q6X4U4-2;7;0.12041974883880956
P15864;7;0.12041974883880956
P11142;7;0.12041974883880956
P00709;7;0.12041974883880956
Q562R1;7;0.12041974883880956
P11142-2;6;0.1032169275761225
P46777;6;0.1032169275761225
P84228;6;0.1032169275761225
Q16695;6;0.1032169275761225
P50914;6;0.1032169275761225
P0CO04;6;0.1032169275761225
Q07020;6;0.1032169275761225
Q07020-2;6;0.1032169275761225
P08246;6;0.1032169275761225
P62280;6;0.1032169275761225
P61270;6;0.1032169275761225
P62281;6;0.1032169275761225
Q7Z5P9-2;6;0.1032169275761225
P0CO05;6;0.1032169275761225
P68431;6;0.1032169275761225
P68433;6;0.1032169275761225
P13987-2;6;0.1032169275761225
P07900;6;0.1032169275761225
Q7Z5P9;6;0.1032169275761225
P62081;6;0.1032169275761225
A0A0A0;6;0.1032169275761225
P13987;6;0.1032169275761225
P22897;6;0.1032169275761225
P84243;6;0.1032169275761225
Q71DI3;6;0.1032169275761225
P84244;6;0.1032169275761225
P17182;6;0.1032169275761225
Q9XSJ4;6;0.1032169275761225
P06733;6;0.1032169275761225
Q9UNQ0-2;5;0.0860141063134354
Q9UNQ0;5;0.0860141063134354
P04792;5;0.0860141063134354
Q64525;5;0.0860141063134354
Q5QNW6;5;0.0860141063134354
Q9BY76;5;0.0860141063134354
P02751-3;5;0.0860141063134354
Q1E225;5;0.0860141063134354
P02751-4;5;0.0860141063134354
P02751-6;5;0.0860141063134354
P02751-5;5;0.0860141063134354
P02751-9;5;0.0860141063134354
P02751-14;5;0.0860141063134354
P02751-13;5;0.0860141063134354
P02751-8;5;0.0860141063134354
P02751-17;5;0.0860141063134354
P02751-11;5;0.0860141063134354
P02751-1;5;0.0860141063134354
P02751-7;5;0.0860141063134354
P04003;5;0.0860141063134354
P35527;5;0.0860141063134354
Q9H4G4;5;0.0860141063134354
P15328;5;0.0860141063134354
Q5QNW6-2;5;0.0860141063134354
Q8CGP2-2;5;0.0860141063134354
Q6UXI9;5;0.0860141063134354
O43490-3;5;0.0860141063134354
O43490-5;5;0.0860141063134354
O43490;5;0.0860141063134354
O43490-7;5;0.0860141063134354
O43490-6;5;0.0860141063134354
Q6UXI9-6;5;0.0860141063134354
P05090;5;0.0860141063134354
O43490-2;5;0.0860141063134354
P30947;5;0.0860141063134354
P08238;5;0.0860141063134354
P11499;5;0.0860141063134354
O00300;5;0.0860141063134354
P62241;5;0.0860141063134354
P13639;5;0.0860141063134354
O43490-4;5;0.0860141063134354
Q6UXI9-3;5;0.0860141063134354
Q96KP4;5;0.0860141063134354
P61313-2;5;0.0860141063134354
P61313;5;0.0860141063134354
P16401;5;0.0860141063134354
P43276;4;0.06881128505074832
P62851;4;0.06881128505074832
P06396-2;4;0.06881128505074832
P06396-4;4;0.06881128505074832
P06396-3;4;0.06881128505074832
P06396;4;0.06881128505074832
P58252;4;0.06881128505074832
P31431-2;4;0.06881128505074832
P20160;4;0.06881128505074832
Q58FF8;4;0.06881128505074832
P62753;4;0.06881128505074832
P31431;4;0.06881128505074832
P06727;4;0.06881128505074832
P22079;4;0.06881128505074832
P52209-2;4;0.06881128505074832
P49908;4;0.06881128505074832
Q6PC60;4;0.06881128505074832
Q6UXI9-5;4;0.06881128505074832
Q6UXI9-4;4;0.06881128505074832
P22079-2;4;0.06881128505074832
Q6UXI9-2;4;0.06881128505074832
P01023;4;0.06881128505074832
P26373;4;0.06881128505074832
P52209;4;0.06881128505074832
P14618-2;3;0.05160846378806125
P14618;3;0.05160846378806125
P05164-2;3;0.05160846378806125
P14618-3;3;0.05160846378806125
P04433;3;0.05160846378806125
P53582;3;0.05160846378806125
P05164;3;0.05160846378806125
Q9Y5P6;3;0.05160846378806125
P61981;3;0.05160846378806125
P62806;3;0.05160846378806125
P78312;3;0.05160846378806125
P62805;3;0.05160846378806125
P78312-5;3;0.05160846378806125
P78312-2;3;0.05160846378806125
P78312-6;3;0.05160846378806125
P05164-3;3;0.05160846378806125
