Value;Count;Percentage
Carbamidomethylation ;540;28.169014084507044
Ubiquitin;112;5.842462180490349
Carbamidomethylation;111;5.790297339593114
Deamidation ;88;4.590505998956703
Formylation;64;3.338549817423057
Oxidation (M);62;3.2342201356285862
Replacement of 2 protons by iron;61;3.1820552947313505
Cysteine mercaptoethanol;55;2.8690662493479393
Double Carbamidomethylation ;50;2.608242044861763
Cyano;44;2.2952529994783517
Dehydration;42;2.190923317683881
Carboxymethyl ;38;1.98226395409494
Propionamide;36;1.8779342723004695
Dethiomethyl;35;1.8257694314032342
Ethylation;30;1.5649452269170578
Oxidation ;18;0.9389671361502347
Oxidation or Hydroxylation;18;0.9389671361502347
Dehydroalanine (C);17;0.8868022952529996
Pyro-glu from Q;16;0.8346374543557642
2-amino-3-oxo-butanoic_acid;16;0.8346374543557642
Hex1HexNAc1;15;0.7824726134585289
Acetylation ;12;0.6259780907668232
Glycosyl-L-hydroxyproline;11;0.5738132498695879
Dihydroxy;11;0.5738132498695879
Amidation;11;0.5738132498695879
S-homocysteinylation;11;0.5738132498695879
Nucleophilic addition to cytopiloyne+H2O;10;0.5216484089723527
Phosphorylation ;9;0.4694835680751174
Piperidination;9;0.4694835680751174
Propionamide ;8;0.4173187271778821
Hex Pent(2);8;0.4173187271778821
Levuglandinyl-lysine anhydrolactam adduct;8;0.4173187271778821
HexNAcylation ;6;0.3129890453834116
Ammonia-loss (N);6;0.3129890453834116
Fucose;5;0.2608242044861763
Hex(2) HexNAc Me;5;0.2608242044861763
Deamidation followed by a methylation;5;0.2608242044861763
N-glycoyl neuraminic acid;5;0.2608242044861763
Hex Pent;5;0.2608242044861763
Hex1HexNAc1dHex1;5;0.2608242044861763
Hex NeuAc;5;0.2608242044861763
Menadione hydroquinone derivative;5;0.2608242044861763
Hex3;4;0.20865936358894105
HexNAc2;4;0.20865936358894105
Menadione quinone derivative;4;0.20865936358894105
Proline oxidation to pyroglutamic acid;4;0.20865936358894105
Hex2HexNAc2;3;0.1564945226917058
Phenethyl isothiocyanate;3;0.1564945226917058
3-sulfanylpropanoyl;3;0.1564945226917058
"Gluconoylation;Heptose";3;0.1564945226917058
Hex(2) HexNAc;3;0.1564945226917058
O-Diisopropylphosphorylation;3;0.1564945226917058
Levuglandinyl-lysine anhyropyrrole adduct;3;0.1564945226917058
Lactosylation;3;0.1564945226917058
HexNAc1dHex1;3;0.1564945226917058
Nmethylmaleimidehydrolysis;3;0.1564945226917058
HexNAc2dHex1;2;0.10432968179447052
"Hex HexNAc dHex Me;HexNAcylation ";2;0.10432968179447052
"Hex HexNAc(2) NeuAc Sulf;Gluconoylation";2;0.10432968179447052
dHex Hex(3) HexNAc(3) Pent(2);2;0.10432968179447052
Gluconoylation;2;0.10432968179447052
Hexose;2;0.10432968179447052
Nucleophilic addtion to cytopiloyne;2;0.10432968179447052
"Hex HexNAc NeuGc(3);Hex(2) HexA HexNAc Sulf";2;0.10432968179447052
Hex1HexNAc2;2;0.10432968179447052
"Gluconoylation;Gluconoylation";2;0.10432968179447052
Hexosamine;2;0.10432968179447052
dHex Hex(2) HexA;2;0.10432968179447052
Hex HexA HexNAc;2;0.10432968179447052
