Value;Count;Percentage
Carbamidomethylation ;205;29.839883551673946
Carbamidomethylation;63;9.170305676855897
Ubiquitin;43;6.259097525473072
Deamidation ;29;4.2212518195050945
Cysteine mercaptoethanol;27;3.9301310043668125
Replacement of 2 protons by iron;26;3.7845705967976713
Formylation;24;3.4934497816593884
Carboxymethyl ;21;3.056768558951965
Cyano;20;2.911208151382824
Oxidation (M);20;2.911208151382824
Propionamide;14;2.037845705967977
Double Carbamidomethylation ;11;1.6011644832605532
Dethiomethyl;11;1.6011644832605532
Pyro-glu from Q;10;1.455604075691412
Dehydration;9;1.3100436681222707
Dehydroalanine (C);8;1.1644832605531297
Oxidation or Hydroxylation;7;1.0189228529839884
Acetylation ;6;0.8733624454148471
Hex1HexNAc1;4;0.5822416302765648
Propionamide ;4;0.5822416302765648
Ethylation;4;0.5822416302765648
2-amino-3-oxo-butanoic_acid;3;0.43668122270742354
Amidation;3;0.43668122270742354
Ammonia-loss (N);3;0.43668122270742354
Phosphorylation ;3;0.43668122270742354
O-Diisopropylphosphorylation;3;0.43668122270742354
Oxidation ;3;0.43668122270742354
Levuglandinyl-lysine anhydrolactam adduct;2;0.2911208151382824
HexNAcylation ;2;0.2911208151382824
Hex HexA HexNAc;2;0.2911208151382824
Hex3;2;0.2911208151382824
Phenethyl isothiocyanate;2;0.2911208151382824
HexNAc2;2;0.2911208151382824
Hex Pent;2;0.2911208151382824
Dihydroxy;2;0.2911208151382824
3-methyl-2-pyridyl isocyanate;2;0.2911208151382824
Hex HexNAc dHex Me;2;0.2911208151382824
Hex(2) HexNAc Me;2;0.2911208151382824
Proline oxidation to pyroglutamic acid;2;0.2911208151382824
Hex HexNAc(3);2;0.2911208151382824
ADP Ribose addition;2;0.2911208151382824
Deamidation followed by a methylation;2;0.2911208151382824
"Gluconoylation;dHex(2) Hex(2) HexNAc";1;0.1455604075691412
"Acetylation ;dHex(2) Hex(3)";1;0.1455604075691412
"Fucose;dHex(2) Hex HexNAc(2) NeuAc";1;0.1455604075691412
Hex(4) HexNAc;1;0.1455604075691412
dHex Hex(2) HexNAc;1;0.1455604075691412
"Hex(3) HexNAc(2) NeuAc;Hex(2) HexNAc(3)";1;0.1455604075691412
Cysteine oxidation to cysteic acid;1;0.1455604075691412
Menadione hydroquinone derivative;1;0.1455604075691412
