Value;Count;Percentage
P02788;229;33.33333333333333
P05814;67;9.75254730713246
P02768;54;7.860262008733625
P01876;41;5.9679767103347885
P19835;38;5.531295487627365
P01833;31;4.512372634643377
P07498;30;4.366812227074235
P47710;23;3.3478893740902476
P47989;23;3.3478893740902476
P01877;22;3.2023289665211063
P01834;12;1.7467248908296942
P00709;11;1.6011644832605532
Q13410;7;1.0189228529839884
B9A064;6;0.8733624454148471
P61626;6;0.8733624454148471
P22897;6;0.8733624454148471
P0CG04;5;0.727802037845706
P0DOY3;5;0.727802037845706
P0CF74;5;0.727802037845706
Q08431;5;0.727802037845706
P0DOY2;5;0.727802037845706
P10909;4;0.5822416302765648
P69905;3;0.43668122270742354
P02787;3;0.43668122270742354
P04264;3;0.43668122270742354
P05413;3;0.43668122270742354
P01871;2;0.2911208151382824
P61769;2;0.2911208151382824
P01857;2;0.2911208151382824
P01024;2;0.2911208151382824
P08571;2;0.2911208151382824
P13645;2;0.2911208151382824
Q7RTS7;1;0.1455604075691412
Q99541;1;0.1455604075691412
P02647;1;0.1455604075691412
Q99456;1;0.1455604075691412
P13646;1;0.1455604075691412
P19012;1;0.1455604075691412
P01591;1;0.1455604075691412
P01860;1;0.1455604075691412
P69892;1;0.1455604075691412
Q7Z3Y8;1;0.1455604075691412
P56962;1;0.1455604075691412
P06858;1;0.1455604075691412
P06733;1;0.1455604075691412
P08727;1;0.1455604075691412
Q96TA1;1;0.1455604075691412
P0C0L5;1;0.1455604075691412
P0C0L4;1;0.1455604075691412
P49327;1;0.1455604075691412
P00738;1;0.1455604075691412
P35527;1;0.1455604075691412
A0A0C4;1;0.1455604075691412
P02533;1;0.1455604075691412
P08779;1;0.1455604075691412
P01009;1;0.1455604075691412
P0CG38;1;0.1455604075691412
Q8N271;1;0.1455604075691412
P08729;1;0.1455604075691412
A0M8Q6;1;0.1455604075691412
