Value;Count;Percentage
P02788;664;14.313429618452252
P05814;642;13.839189480491484
P04114;204;4.397499461090752
P49327;173;3.7292519939642164
P47989;153;3.2981245958180647
Q13410;142;3.0610045268376807
P02768;134;2.8885535675792195
Q08431;126;2.716102608320759
P01833;125;2.694546238413451
P10909;84;1.8107350722138391
P47710;82;1.767622332399224
P07498;80;1.724509592584609
Q6WN34;63;1.3580513041603794
Q16851;60;1.2933821944384565
P06858;45;0.9700366458288425
Q08380;45;0.9700366458288425
P04264;42;0.9053675361069196
Q99541;42;0.9053675361069196
P0C0L5;41;0.883811166199612
P01024;39;0.8406984263849967
P0C0L4;37;0.7975856865703815
P04004;34;0.7329165768484587
P14625;33;0.7113602069411511
P07900;33;0.7113602069411511
P60710;32;0.6898038370338435
P63261;32;0.6898038370338435
P60709;32;0.6898038370338435
P16671;31;0.6682474671265359
P07996;29;0.6251347273119207
P35908;29;0.6251347273119207
P19823;28;0.6035783574046131
P13645;28;0.6035783574046131
P24821;27;0.5820219874973055
P02649;26;0.5604656175899978
Q99102;25;0.5389092476826902
P06733;24;0.5173528777753826
P15311;24;0.5173528777753826
P11499;22;0.47424013796076736
P08238;22;0.47424013796076736
P00709;22;0.47424013796076736
P46777;19;0.40957102823884456
P53396;18;0.388014658331537
P05413;18;0.388014658331537
P13987;18;0.388014658331537
P20029;17;0.36645828842422934
P36578;17;0.36645828842422934
P11021;17;0.36645828842422934
O60664;16;0.34490191851692176
P63017;16;0.34490191851692176
P11142;16;0.34490191851692176
P08571;16;0.34490191851692176
P39023;16;0.34490191851692176
P62630;15;0.3233455486096141
P10126;15;0.3233455486096141
P68104;15;0.3233455486096141
Q9NP72;15;0.3233455486096141
P62280;15;0.3233455486096141
P62281;15;0.3233455486096141
Q562R1;14;0.30178917870230654
P26038;14;0.30178917870230654
P19440;14;0.30178917870230654
Q02878;13;0.2802328087949989
P62424;13;0.2802328087949989
P62917;13;0.2802328087949989
P35241;12;0.2586764388876913
P15941;12;0.2586764388876913
P02647;12;0.2586764388876913
Q5SQN1;12;0.2586764388876913
P0CG48;12;0.2586764388876913
P31431;11;0.23712006898038368
Q9H4G4;11;0.23712006898038368
P18124;11;0.23712006898038368
P19827;11;0.23712006898038368
P01009;11;0.23712006898038368
Q96S86;10;0.21556369907307613
Q14697;10;0.21556369907307613
P13639;10;0.21556369907307613
P30101;9;0.1940073291657685
P35527;9;0.1940073291657685
P01591;9;0.1940073291657685
O00391;9;0.1940073291657685
Q07020;8;0.17245095925846088
P19961;8;0.17245095925846088
P04746;8;0.17245095925846088
P22079;8;0.17245095925846088
O00468;8;0.17245095925846088
P27797;8;0.17245095925846088
P62701;8;0.17245095925846088
P55072;8;0.17245095925846088
Q01853;8;0.17245095925846088
P63104;8;0.17245095925846088
P27105;7;0.15089458935115327
P02760;7;0.15089458935115327
P48449;7;0.15089458935115327
P04075;7;0.15089458935115327
P84228;7;0.15089458935115327
P07237;7;0.15089458935115327
Q71DI3;7;0.15089458935115327
P25311;7;0.15089458935115327
