Value;Count;Percentage
P02788;523;33.67675466838377
P01833;158;10.173857050869286
P47710;141;9.079201545396009
P07498;131;8.435286542176433
P05814;121;7.791371538956858
P10909;65;4.185447520927238
P04264;36;2.31809401159047
P02768;28;1.80296200901481
P01591;25;1.6097875080489377
Q08431;21;1.3522215067611076
Q08380;18;1.159047005795235
P13645;17;1.0946555054732776
Q13410;16;1.03026400515132
P02649;16;1.03026400515132
P35908;15;0.9658725048293626
P61626;13;0.8370895041854475
P47989;12;0.7726980038634901
P63261;11;0.7083065035415326
P60710;11;0.7083065035415326
P60709;11;0.7083065035415326
Q99541;9;0.5795235028976174
P00709;8;0.51513200257566
Q6WN34;8;0.51513200257566
Q5SQN1;8;0.51513200257566
P06858;8;0.51513200257566
Q9P225;7;0.4507405022537025
P02533;7;0.4507405022537025
P23280;6;0.38634900193174504
Q99102;6;0.38634900193174504
P13647;6;0.38634900193174504
P02675;5;0.3219575016097875
P35527;5;0.3219575016097875
P08865;4;0.25756600128783
P14206;4;0.25756600128783
P30086;4;0.25756600128783
P24821;4;0.25756600128783
Q05639;3;0.19317450096587252
P02671;3;0.19317450096587252
P36222;3;0.19317450096587252
P49327;3;0.19317450096587252
P62631;3;0.19317450096587252
P10126;3;0.19317450096587252
P62630;3;0.19317450096587252
P68104;3;0.19317450096587252
P15941;3;0.19317450096587252
P04406;3;0.19317450096587252
P55011;3;0.19317450096587252
P07478;2;0.128783000643915
P08571;2;0.128783000643915
P00519;2;0.128783000643915
P02647;2;0.128783000643915
P35030;2;0.128783000643915
P16671;2;0.128783000643915
Q9H4G4;2;0.128783000643915
P01024;2;0.128783000643915
P39019;1;0.0643915003219575
Q91ZJ5;1;0.0643915003219575
C0HKA0;1;0.0643915003219575
P62263;1;0.0643915003219575
Q16851;1;0.0643915003219575
P62917;1;0.0643915003219575
P14625;1;0.0643915003219575
Q8NEY1;1;0.0643915003219575
P15880;1;0.0643915003219575
P01009;1;0.0643915003219575
P31009;1;0.0643915003219575
P0C0L5;1;0.0643915003219575
P0C0L4;1;0.0643915003219575
Q14524;1;0.0643915003219575
Q9HCS7;1;0.0643915003219575
P19440;1;0.0643915003219575
