Value;Count;Percentage
Carbamidomethylation ;427;27.180140038192235
Ubiquitin;92;5.856142584341184
Carbamidomethylation;80;5.092297899427116
Deamidation ;72;4.583068109484405
Formylation;61;3.882877148313176
Oxidation (M);52;3.3099936346276255
Replacement of 2 protons by iron;48;3.0553787396562697
Cysteine mercaptoethanol;44;2.8007638446849143
Double Carbamidomethylation ;43;2.737110120942075
Cyano;35;2.2278803309993633
Dehydration;33;2.100572883513686
Carboxymethyl ;32;2.0369191597708465
Propionamide;29;1.8459579885423298
Ethylation;28;1.782304264799491
Dethiomethyl;28;1.782304264799491
Oxidation or Hydroxylation;18;1.1457670273711011
2-amino-3-oxo-butanoic_acid;16;1.0184595798854232
Hex1HexNAc1;15;0.9548058561425843
Oxidation ;15;0.9548058561425843
Dehydroalanine (C);15;0.9548058561425843
Pyro-glu from Q;15;0.9548058561425843
Acetylation ;12;0.7638446849140674
S-homocysteinylation;10;0.6365372374283895
Glycosyl-L-hydroxyproline;10;0.6365372374283895
Nucleophilic addition to cytopiloyne+H2O;9;0.5728835136855506
Amidation;9;0.5728835136855506
Levuglandinyl-lysine anhydrolactam adduct;8;0.5092297899427116
Phosphorylation ;7;0.4455760661998727
Ammonia-loss (N);6;0.3819223424570337
Dihydroxy;6;0.3819223424570337
Fucose;5;0.31826861871419476
Deamidation followed by a methylation;5;0.31826861871419476
Menadione hydroquinone derivative;5;0.31826861871419476
Piperidination;4;0.2546148949713558
Propionamide ;4;0.2546148949713558
Menadione quinone derivative;4;0.2546148949713558
Hex3;4;0.2546148949713558
Nmethylmaleimidehydrolysis;3;0.19096117122851686
Hex(2) HexNAc;3;0.19096117122851686
HexNAcylation ;3;0.19096117122851686
Hex2HexNAc2;3;0.19096117122851686
"Gluconoylation;Heptose";3;0.19096117122851686
3-sulfanylpropanoyl;3;0.19096117122851686
Proline oxidation to pyroglutamic acid;3;0.19096117122851686
O-Diisopropylphosphorylation;3;0.19096117122851686
Phenethyl isothiocyanate;3;0.19096117122851686
N-glycoyl neuraminic acid;3;0.19096117122851686
HexNAc1dHex1;3;0.19096117122851686
Levuglandinyl-lysine anhyropyrrole adduct;3;0.19096117122851686
Hex Pent;3;0.19096117122851686
Hex HexA HexNAc;2;0.1273074474856779
Hexosamine;2;0.1273074474856779
Heptose;2;0.1273074474856779
Lactosylation;2;0.1273074474856779
dHex Hex(2) HexA;2;0.1273074474856779
"Hex HexNAc NeuGc(3);Hex(2) HexA HexNAc Sulf";2;0.1273074474856779
Gluconoylation;2;0.1273074474856779
Hex(2) HexNAc Me;2;0.1273074474856779
dHex Hex(2) HexA HexNAc;2;0.1273074474856779
ADP Ribose addition;2;0.1273074474856779
O3S1HexNAc1;2;0.1273074474856779
Hex1HexNAc2;2;0.1273074474856779
dHex Hex(3) HexNAc(3) Pent(2);2;0.1273074474856779
Phosphoglycosyl-D-mannose-1-phosphoryl;2;0.1273074474856779
"Deamidation ;Pentose";2;0.1273074474856779
Hex Pent(2);2;0.1273074474856779
Propionaldehyde +40;2;0.1273074474856779
Hex1HexNAc1dHex1;2;0.1273074474856779
Nucleophilic addtion to cytopiloyne;2;0.1273074474856779
Hexose;2;0.1273074474856779
Pentose;2;0.1273074474856779
Hexuronic acid;2;0.1273074474856779
dHex Hex(5) HexNAc(4) NeuAc;2;0.1273074474856779
3-methyl-2-pyridyl isocyanate;2;0.1273074474856779
HexNAc2dHex1;2;0.1273074474856779
Hex HexNAc dHex Me;2;0.1273074474856779
dHex(2) Hex(3) HexNAc(4) Pent(2);1;0.06365372374283895
"HexNAc(5);Hexose";1;0.06365372374283895
"Gluconoylation;Hexose;Glucosylgalactosyl hydroxylysine";1;0.06365372374283895
"Hex(3) Phos;Glycosyl-L-hydroxyproline";1;0.06365372374283895
H1O3P1Hex2;1;0.06365372374283895
Hex(5) HexNAc(4) Sulf;1;0.06365372374283895
"Hex(4) HexNAc(2) Pent;dHex Hex(3) HexA(2) HexNAc(2)";1;0.06365372374283895
dHex HexNAc(3);1;0.06365372374283895
Carboxymethylated DTT modification of cysteine;1;0.06365372374283895
