Value;Count;Percentage
P02788;229;42.329020332717185
P05814;67;12.384473197781885
P02768;54;9.981515711645102
P01833;31;5.730129390018484
P07498;30;5.545286506469501
P47989;23;4.251386321626617
P47710;23;4.251386321626617
P00709;11;2.033271719038817
Q13410;7;1.2939001848428837
B9A064;6;1.1090573012939002
P61626;6;1.1090573012939002
Q08431;5;0.9242144177449169
P10909;4;0.7393715341959335
P69905;3;0.5545286506469501
P04264;3;0.5545286506469501
P05413;3;0.5545286506469501
P02787;3;0.5545286506469501
P13645;2;0.36968576709796674
P61769;2;0.36968576709796674
P08571;2;0.36968576709796674
P01024;2;0.36968576709796674
P01591;1;0.18484288354898337
Q99541;1;0.18484288354898337
P35527;1;0.18484288354898337
P06733;1;0.18484288354898337
Q99456;1;0.18484288354898337
P19012;1;0.18484288354898337
P56962;1;0.18484288354898337
P69892;1;0.18484288354898337
Q7Z3Y8;1;0.18484288354898337
P13646;1;0.18484288354898337
Q7RTS7;1;0.18484288354898337
P0C0L5;1;0.18484288354898337
Q96TA1;1;0.18484288354898337
P08727;1;0.18484288354898337
P0C0L4;1;0.18484288354898337
P49327;1;0.18484288354898337
P00738;1;0.18484288354898337
P01009;1;0.18484288354898337
P0CG38;1;0.18484288354898337
Q8N271;1;0.18484288354898337
P06858;1;0.18484288354898337
P08729;1;0.18484288354898337
P08779;1;0.18484288354898337
P02533;1;0.18484288354898337
P02647;1;0.18484288354898337
