Value;Count;Percentage
P02788;646;22.399445214979195
P05814;482;16.712898751733704
P47710;281;9.743411927877947
P10909;150;5.201109570041608
P07498;114;3.952843273231623
Q08380;91;3.1553398058252426
Q08431;83;2.8779472954230236
Q6WN34;63;2.1844660194174756
P04264;51;1.768377253814147
P61626;44;1.5256588072122053
P16671;43;1.4909847434119279
Q99102;41;1.4216366158113731
P30086;37;1.2829403606102634
P06858;33;1.1442441054091539
P49327;30;1.0402219140083218
P01833;29;1.0055478502080444
P15941;29;1.0055478502080444
P02649;28;0.9708737864077669
P02647;26;0.9015256588072121
P35908;26;0.9015256588072121
Q99541;25;0.8668515950069348
O60664;23;0.79750346740638
Q13410;22;0.7628294036061026
P13645;21;0.7281553398058253
P47989;20;0.6934812760055479
O00300;17;0.5894590846047156
P19440;16;0.5547850208044383
Q5SQN1;16;0.5547850208044383
P60710;14;0.48543689320388345
P63261;14;0.48543689320388345
P60709;14;0.48543689320388345
P08571;13;0.45076282940360607
P00709;13;0.45076282940360607
P13987;13;0.45076282940360607
P62937;12;0.4160887656033287
P15328;12;0.4160887656033287
O75888;12;0.4160887656033287
Q9H4G4;10;0.34674063800277394
P02749;10;0.34674063800277394
P22079;9;0.3120665742024965
Q6X4U4;9;0.3120665742024965
P35527;9;0.3120665742024965
P23284;8;0.27739251040221913
Q16651;8;0.27739251040221913
P04004;8;0.27739251040221913
P04104;8;0.27739251040221913
P04406;7;0.24271844660194172
Q6UXI9;7;0.24271844660194172
P04259;7;0.24271844660194172
P26201;6;0.20804438280166435
P08865;6;0.20804438280166435
Q8NBJ7;6;0.20804438280166435
P14206;6;0.20804438280166435
P02768;6;0.20804438280166435
O00299;5;0.17337031900138697
P13647;5;0.17337031900138697
B9A064;5;0.17337031900138697
P62631;4;0.13869625520110956
P08779;4;0.13869625520110956
Q05639;4;0.13869625520110956
P68104;4;0.13869625520110956
P08174;4;0.13869625520110956
P62630;4;0.13869625520110956
P10126;4;0.13869625520110956
P02533;4;0.13869625520110956
P63104;4;0.13869625520110956
P78324;4;0.13869625520110956
Q5TFQ8;4;0.13869625520110956
P24821;4;0.13869625520110956
P02774;4;0.13869625520110956
P31946;3;0.10402219140083217
P05388;3;0.10402219140083217
P21217;3;0.10402219140083217
P46782;3;0.10402219140083217
P39019;3;0.10402219140083217
P51993;3;0.10402219140083217
P04114;3;0.10402219140083217
Q9UQB8;3;0.10402219140083217
P15311;2;0.06934812760055478
P05386;2;0.06934812760055478
P05164;2;0.06934812760055478
P35613;2;0.06934812760055478
P0C0L5;2;0.06934812760055478
P0C0L4;2;0.06934812760055478
P00519;2;0.06934812760055478
P62851;2;0.06934812760055478
P08572;2;0.06934812760055478
P34096;2;0.06934812760055478
P31977;2;0.06934812760055478
P31431;2;0.06934812760055478
O14745;2;0.06934812760055478
P35542;2;0.06934812760055478
P26038;2;0.06934812760055478
Q13277;2;0.06934812760055478
P26040;2;0.06934812760055478
P35241;2;0.06934812760055478
P49908;2;0.06934812760055478
P84244;1;0.03467406380027739
Q71DI3;1;0.03467406380027739
P84243;1;0.03467406380027739
P04075;1;0.03467406380027739
Q16695;1;0.03467406380027739
P01911;1;0.03467406380027739
Q30154;1;0.03467406380027739
Q6NXT2;1;0.03467406380027739
P12821;1;0.03467406380027739
P60174;1;0.03467406380027739
O00560;1;0.03467406380027739
O95445;1;0.03467406380027739
P10321;1;0.03467406380027739
P30511;1;0.03467406380027739
P14174;1;0.03467406380027739
Q13113;1;0.03467406380027739
P04792;1;0.03467406380027739
Q8N271;1;0.03467406380027739
P62269;1;0.03467406380027739
Q8N474;1;0.03467406380027739
A2CJ06;1;0.03467406380027739
