Value;Count;Percentage
P02788;2262;23.283582089552237
P05814;743;7.647967061245496
P47710;568;5.846628924343798
P10909;469;4.827586206896552
Q08431;285;2.9336078229541944
P04114;279;2.871847658260422
P49327;273;2.8100874935666496
P07498;270;2.779207411219763
Q08380;249;2.5630468347915594
P47989;246;2.5321667524446734
P01833;240;2.470406587750901
Q13410;225;2.3160061760164696
Q6WN34;191;1.9660319094184249
P06858;131;1.3484302624806999
P04264;107;1.10138960370561
P16671;104;1.0705095213587237
Q99541;100;1.029336078229542
Q16851;88;0.9058157488419969
Q99102;78;0.8028821410190426
P02649;77;0.7925887802367473
P24821;74;0.7617086978898611
P60709;68;0.6999485331960885
P60710;68;0.6999485331960885
P63261;68;0.6999485331960885
P02768;61;0.6278950077200206
P08571;59;0.6073082861554298
P02647;56;0.5764282038085435
P15941;56;0.5764282038085435
P23280;54;0.5558414822439527
P35908;49;0.5043746783324756
P13645;48;0.4940813175501801
O60664;47;0.4837879567678847
Q5SQN1;40;0.4117344312918168
P61626;40;0.4117344312918168
P0C0L5;35;0.3602676273803397
P0C0L4;34;0.34997426659804426
P04004;34;0.34997426659804426
P01591;34;0.34997426659804426
P00709;33;0.33968090581574883
P19440;32;0.3293875450334534
P15311;32;0.3293875450334534
P13987;30;0.3088008234688626
Q6X4U4;28;0.28821410190427177
O00300;27;0.27792074112197634
P05413;27;0.27792074112197634
P62984;26;0.2676273803396809
P14206;26;0.2676273803396809
P08865;26;0.2676273803396809
P35527;25;0.2573340195573855
P08311;25;0.2573340195573855
B9A064;24;0.24704065877509004
P36578;22;0.22645393721049922
Q02878;22;0.22645393721049922
P10126;22;0.22645393721049922
P62630;22;0.22645393721049922
P68104;22;0.22645393721049922
P15328;20;0.2058672156459084
Q05639;19;0.19557385486361298
P62631;19;0.19557385486361298
Q9BY76;18;0.18528049408131755
P15880;18;0.18528049408131755
P01024;18;0.18528049408131755
P62917;17;0.17498713329902213
Q9H4G4;17;0.17498713329902213
P05090;16;0.1646937725167267
P62701;16;0.1646937725167267
Q6UXI9;16;0.1646937725167267
P22079;15;0.1544004117344313
O00560;15;0.1544004117344313
Q562R1;15;0.1544004117344313
Q07020;14;0.14410705095213588
Q96S86;14;0.14410705095213588
P97351;13;0.13381369016984046
P61247;13;0.13381369016984046
P62424;13;0.13381369016984046
P01011;13;0.13381369016984046
P04792;13;0.13381369016984046
P63104;13;0.13381369016984046
P63017;13;0.13381369016984046
P11142;13;0.13381369016984046
P18124;12;0.12352032938754502
P06733;12;0.12352032938754502
O43490;12;0.12352032938754502
Q9XSJ4;12;0.12352032938754502
P39023;11;0.11322696860524961
P23396;11;0.11322696860524961
Q14697;11;0.11322696860524961
P62280;11;0.11322696860524961
P62281;11;0.11322696860524961
P49908;11;0.11322696860524961
P31431;10;0.1029336078229542
P02538;10;0.1029336078229542
P48668;10;0.1029336078229542
P10412;10;0.1029336078229542
P16402;10;0.1029336078229542
Q91ZJ5;10;0.1029336078229542
P08246;10;0.1029336078229542
P43277;10;0.1029336078229542
P16403;10;0.1029336078229542
P46777;10;0.1029336078229542
P15291;10;0.1029336078229542
Q16651;10;0.1029336078229542
P02774;10;0.1029336078229542
P11499;9;0.09264024704065878
P15864;9;0.09264024704065878
Q9Y6V0;9;0.09264024704065878
