Value;Count;Percentage
P02788;872;23.988995873452545
P05814;343;9.436038514442915
P47710;183;5.034387895460798
P04114;145;3.988995873452544
P47989;142;3.90646492434663
P10909;136;3.7414030261348006
P49327;120;3.3012379642365883
Q08431;109;2.998624484181568
Q13410;94;2.5859697386519946
P01833;93;2.5584594222833563
Q6WN34;84;2.3108665749656123
P07498;82;2.2558459422283357
Q08380;76;2.090784044016506
P24821;45;1.2379642365887207
Q16851;44;1.2104539202200826
P06858;43;1.1829436038514443
Q99541;42;1.1554332874828062
P16671;36;0.9903713892709767
Q99102;33;0.9078404401650619
P02768;32;0.8803301237964236
P04264;28;0.7702888583218707
P08571;27;0.7427785419532325
P62984;26;0.7152682255845942
P60710;21;0.5777166437414031
P63261;21;0.5777166437414031
P60709;21;0.5777166437414031
P23280;20;0.5502063273727648
O60664;18;0.49518569463548834
P02649;18;0.49518569463548834
P15941;15;0.41265474552957354
P01591;15;0.41265474552957354
Q5SQN1;14;0.38514442916093533
B9A064;14;0.38514442916093533
P35908;14;0.38514442916093533
O00300;13;0.3576341127922971
P15311;13;0.3576341127922971
P0C0L5;13;0.3576341127922971
P04004;13;0.3576341127922971
P13645;12;0.3301237964236589
P0C0L4;12;0.3301237964236589
P68104;11;0.30261348005502064
P61626;11;0.30261348005502064
P05413;11;0.30261348005502064
P10126;11;0.30261348005502064
P36578;11;0.30261348005502064
P62630;11;0.30261348005502064
P22079;10;0.2751031636863824
P08865;9;0.24759284731774417
Q05639;9;0.24759284731774417
Q02878;9;0.24759284731774417
P62631;9;0.24759284731774417
P02647;9;0.24759284731774417
P19440;9;0.24759284731774417
P13987;9;0.24759284731774417
P14206;9;0.24759284731774417
Q96S86;9;0.24759284731774417
Q6X4U4;9;0.24759284731774417
Q562R1;8;0.2200825309491059
P01024;8;0.2200825309491059
P00709;8;0.2200825309491059
Q6UXI9;7;0.19257221458046767
P15880;7;0.19257221458046767
P63017;6;0.16506189821182946
Q9XSJ4;6;0.16506189821182946
P06733;6;0.16506189821182946
P11142;6;0.16506189821182946
P35527;6;0.16506189821182946
Q9NP72;6;0.16506189821182946
P62280;5;0.1375515818431912
O14745;5;0.1375515818431912
P62281;5;0.1375515818431912
P15328;5;0.1375515818431912
Q9H4G4;5;0.1375515818431912
P62917;5;0.1375515818431912
P08246;4;0.11004126547455295
P08238;4;0.11004126547455295
P97351;4;0.11004126547455295
P13639;4;0.11004126547455295
P58252;4;0.11004126547455295
Q96KP4;4;0.11004126547455295
P62424;4;0.11004126547455295
P61247;4;0.11004126547455295
P11499;4;0.11004126547455295
Q8N271;4;0.11004126547455295
P14618;4;0.11004126547455295
P46777;4;0.11004126547455295
P15291;4;0.11004126547455295
Q07020;4;0.11004126547455295
Q8WUM4;4;0.11004126547455295
P60953;4;0.11004126547455295
P49908;4;0.11004126547455295
P50591;4;0.11004126547455295
Q16651;4;0.11004126547455295
P11276;4;0.11004126547455295
O00560;4;0.11004126547455295
P62081;3;0.08253094910591473
Q9BY76;3;0.08253094910591473
P04259;3;0.08253094910591473
Q8IZA0;3;0.08253094910591473
P27105;3;0.08253094910591473
Q9Y4L1;3;0.08253094910591473
P39023;3;0.08253094910591473
P04792;3;0.08253094910591473
Q91V92;3;0.08253094910591473
O75888;3;0.08253094910591473
P07996;3;0.08253094910591473
P02538;3;0.08253094910591473
P16638;3;0.08253094910591473
P08311;3;0.08253094910591473
P53396;3;0.08253094910591473
P48668;3;0.08253094910591473
Q14512;3;0.08253094910591473
P23396;3;0.08253094910591473
P52480;3;0.08253094910591473
P62269;3;0.08253094910591473
P01023;3;0.08253094910591473
P26373;3;0.08253094910591473
P07195;3;0.08253094910591473
P49189;2;0.055020632737276476
P62880;2;0.055020632737276476
P10321;2;0.055020632737276476
P04075;2;0.055020632737276476
P18124;2;0.055020632737276476
P53990;2;0.055020632737276476
P46782;2;0.055020632737276476
P51149;2;0.055020632737276476
Q9HAV0;2;0.055020632737276476
P62879;2;0.055020632737276476
Q14152;2;0.055020632737276476
P16520;2;0.055020632737276476
P62873;2;0.055020632737276476
P13688;2;0.055020632737276476
Q01853;2;0.055020632737276476
P55072;2;0.055020632737276476
P62829;2;0.055020632737276476
P08174;2;0.055020632737276476
P06396;2;0.055020632737276476
P21217;2;0.055020632737276476
P30086;2;0.055020632737276476
P05090;2;0.055020632737276476
P12272;2;0.055020632737276476
P35613;2;0.055020632737276476
Q16777;2;0.055020632737276476
P15144;2;0.055020632737276476
P62263;2;0.055020632737276476
O95793;2;0.055020632737276476
C0HKA0;2;0.055020632737276476
P51993;2;0.055020632737276476
P00558;2;0.055020632737276476
P50914;2;0.055020632737276476
P27635;2;0.055020632737276476
Q96L21;2;0.055020632737276476
O61231;2;0.055020632737276476
P61313;2;0.055020632737276476
Q8NET8;1;0.027510316368638238
P62241;1;0.027510316368638238
P62851;1;0.027510316368638238
O94822;1;0.027510316368638238
Q02818;1;0.027510316368638238
P62258;1;0.027510316368638238
P09543;1;0.027510316368638238
Q9UQE7;1;0.027510316368638238
P19087;1;0.027510316368638238
Q9Y5P6;1;0.027510316368638238
P30511;1;0.027510316368638238
P34096;1;0.027510316368638238
P62805;1;0.027510316368638238
P78324;1;0.027510316368638238
Q5TFQ8;1;0.027510316368638238
P02774;1;0.027510316368638238
P05154;1;0.027510316368638238
Q13277;1;0.027510316368638238
P50990;1;0.027510316368638238
P62266;1;0.027510316368638238
P08697;1;0.027510316368638238
P43490;1;0.027510316368638238
Q14195;1;0.027510316368638238
P62806;1;0.027510316368638238
P14625;1;0.027510316368638238
P01011;1;0.027510316368638238
Q13630;1;0.027510316368638238
P22492;1;0.027510316368638238
P43277;1;0.027510316368638238
Q07133;1;0.027510316368638238
P15864;1;0.027510316368638238
P16403;1;0.027510316368638238
Q02539;1;0.027510316368638238
P10412;1;0.027510316368638238
P16402;1;0.027510316368638238
P12821;1;0.027510316368638238
Q92485;1;0.027510316368638238
P62259;1;0.027510316368638238
