Value;Count;Percentage
P02788;590;37.55569700827498
P05814;181;11.521323997453852
P02768;136;8.656906429026098
P01833;83;5.2832590706556335
P07498;75;4.774029280712922
P47710;70;4.455760661998727
P47989;55;3.500954805856143
Q08431;21;1.336728198599618
P00709;19;1.20942075111394
Q13410;19;1.20942075111394
P04264;17;1.0821133036282622
B9A064;15;0.9548058561425843
P61626;13;0.8274984086569064
P10909;13;0.8274984086569064
P05413;11;0.7001909611712286
P69905;10;0.6365372374283895
P60709;10;0.6365372374283895
P63261;10;0.6365372374283895
P13645;9;0.5728835136855506
P62736;8;0.5092297899427116
P68032;8;0.5092297899427116
P63267;8;0.5092297899427116
P68133;8;0.5092297899427116
P02787;8;0.5092297899427116
P08779;7;0.4455760661998727
P02533;7;0.4455760661998727
Q99541;6;0.3819223424570337
P35527;6;0.3819223424570337
P08571;6;0.3819223424570337
P0CG38;6;0.3819223424570337
Q8N1N4;5;0.31826861871419476
P49327;5;0.31826861871419476
A5A3E0;5;0.31826861871419476
Q6S8J3;5;0.31826861871419476
P23280;5;0.31826861871419476
P01024;5;0.31826861871419476
P19012;4;0.2546148949713558
P13646;4;0.2546148949713558
P35908;4;0.2546148949713558
P01009;4;0.2546148949713558
Q86Y46;4;0.2546148949713558
P69892;4;0.2546148949713558
P13647;4;0.2546148949713558
Q99456;3;0.19096117122851686
P12035;3;0.19096117122851686
P08727;3;0.19096117122851686
P61769;3;0.19096117122851686
Q562R1;3;0.19096117122851686
P10451;3;0.19096117122851686
Q7Z794;3;0.19096117122851686
P02538;2;0.1273074474856779
Q7Z3Y8;2;0.1273074474856779
P15291;2;0.1273074474856779
P24821;2;0.1273074474856779
P68871;2;0.1273074474856779
P69891;2;0.1273074474856779
P00738;2;0.1273074474856779
Q7Z3Y7;2;0.1273074474856779
P0C0L5;2;0.1273074474856779
Q04695;2;0.1273074474856779
P0C0L4;2;0.1273074474856779
P02647;2;0.1273074474856779
Q7RTS7;2;0.1273074474856779
P08729;2;0.1273074474856779
P48668;2;0.1273074474856779
Q01546;2;0.1273074474856779
Q6WN34;2;0.1273074474856779
P36575;1;0.06365372374283895
P06858;1;0.06365372374283895
Q96TA1;1;0.06365372374283895
Q8N271;1;0.06365372374283895
P00739;1;0.06365372374283895
P01591;1;0.06365372374283895
Q2VPB7;1;0.06365372374283895
P06733;1;0.06365372374283895
Q99523;1;0.06365372374283895
O95678;1;0.06365372374283895
P07195;1;0.06365372374283895
P16671;1;0.06365372374283895
P02042;1;0.06365372374283895
Q08380;1;0.06365372374283895
Q9NSB2;1;0.06365372374283895
O75592;1;0.06365372374283895
Q15262;1;0.06365372374283895
Q7RTU9;1;0.06365372374283895
P05787;1;0.06365372374283895
Q5XKE5;1;0.06365372374283895
Q3SY84;1;0.06365372374283895
P04259;1;0.06365372374283895
P56962;1;0.06365372374283895
