Value;Count;Percentage
P02788;240;39.08794788273616
P02768;64;10.423452768729643
P05814;58;9.446254071661238
P01833;39;6.351791530944626
P47710;30;4.88599348534202
P07498;27;4.397394136807818
Q08431;9;1.4657980456026058
P04264;9;1.4657980456026058
P47989;9;1.4657980456026058
P00709;8;1.3029315960912053
Q13410;8;1.3029315960912053
B9A064;6;0.9771986970684038
P10909;6;0.9771986970684038
P05413;5;0.8143322475570033
P02787;5;0.8143322475570033
P68032;4;0.6514657980456027
P62736;4;0.6514657980456027
P68133;4;0.6514657980456027
P63267;4;0.6514657980456027
P61626;4;0.6514657980456027
P69905;4;0.6514657980456027
Q99541;3;0.4885993485342019
P35908;3;0.4885993485342019
Q8N1N4;3;0.4885993485342019
P60709;3;0.4885993485342019
P13645;3;0.4885993485342019
P63261;3;0.4885993485342019
Q86Y46;3;0.4885993485342019
P01009;2;0.32573289902280134
P12035;2;0.32573289902280134
P08779;2;0.32573289902280134
P24821;2;0.32573289902280134
P02533;2;0.32573289902280134
P0CG38;2;0.32573289902280134
P15291;2;0.32573289902280134
P35527;2;0.32573289902280134
P68871;2;0.32573289902280134
P13647;2;0.32573289902280134
Q6S8J3;1;0.16286644951140067
P00739;1;0.16286644951140067
P01024;1;0.16286644951140067
Q7Z3Y7;1;0.16286644951140067
Q7Z3Y8;1;0.16286644951140067
P48668;1;0.16286644951140067
P19012;1;0.16286644951140067
Q99456;1;0.16286644951140067
Q04695;1;0.16286644951140067
P08727;1;0.16286644951140067
Q6WN34;1;0.16286644951140067
P02538;1;0.16286644951140067
P08571;1;0.16286644951140067
P00738;1;0.16286644951140067
A5A3E0;1;0.16286644951140067
Q2VPB7;1;0.16286644951140067
P69891;1;0.16286644951140067
Q99523;1;0.16286644951140067
P02042;1;0.16286644951140067
P69892;1;0.16286644951140067
P36575;1;0.16286644951140067
P07195;1;0.16286644951140067
Q01546;1;0.16286644951140067
Q562R1;1;0.16286644951140067
P16671;1;0.16286644951140067
P10451;1;0.16286644951140067
