Value;Count;Percentage
dHex(2) Hex(3) HexNAc(2);39;19.306930693069308
Hex Pent(2);14;6.9306930693069315
Hex HexNAc NeuAc(3);10;4.9504950495049505
dHex Hex(3) HexNAc(3);9;4.455445544554455
Hex2HexNAc2;8;3.9603960396039604
dHex Hex(2) HexNAc;8;3.9603960396039604
Phosphoglycosyl-D-mannose-1-phosphoryl;7;3.4653465346534658
HexNAc NeuAc;6;2.9702970297029703
Hex HexNAc(3) NeuGc;6;2.9702970297029703
Hexose;5;2.4752475247524752
dHex(2) Hex(3);5;2.4752475247524752
dHex Hex(2) HexNAc(2) Pent;4;1.9801980198019802
dHex(2) Hex(2) HexA HexNAc;4;1.9801980198019802
Pentose;4;1.9801980198019802
Hex(5);3;1.4851485148514851
O3S1HexNAc1;3;1.4851485148514851
Lactosylation;3;1.4851485148514851
dHex Hex(2) HexNAc(2) NeuGc;3;1.4851485148514851
Hex HexNAc(2) NeuAc(2);3;1.4851485148514851
Glycosyl-L-hydroxyproline;2;0.9900990099009901
Hex1HexNAc2dHex1;2;0.9900990099009901
Hex HexNAc(3) NeuAc;2;0.9900990099009901
HexNAc NeuGc;2;0.9900990099009901
dHex Hex(2) HexA HexNAc Sulf;2;0.9900990099009901
Hexose (NSY);2;0.9900990099009901
HexNAc(2) NeuAc;2;0.9900990099009901
Hex2HexNAc2dHex1;2;0.9900990099009901
Hex1HexNAc1;2;0.9900990099009901
Heptose;2;0.9900990099009901
Hex3;2;0.9900990099009901
Hex HexNAc NeuGc;2;0.9900990099009901
dHex Hex(3) HexNAc;2;0.9900990099009901
HexNAc(2) NeuGc;2;0.9900990099009901
Hex2HexNAc2Pent1;1;0.49504950495049505
Hex(4) HexNAc(4) NeuAc;1;0.49504950495049505
dHex(2) Hex(2) HexNAc(3);1;0.49504950495049505
dHex Hex(2) HexNAc Sulf;1;0.49504950495049505
Hex(2) HexNAc;1;0.49504950495049505
Hex NeuAc Pent;1;0.49504950495049505
dHex Hex(2) HexA HexNAc;1;0.49504950495049505
Hex1HexNAc2;1;0.49504950495049505
dHex Hex HexNAc(3);1;0.49504950495049505
Hex Pent;1;0.49504950495049505
dHex Hex HexNAc(2) NeuGc;1;0.49504950495049505
dHex(3) HexNAc(3) Kdn;1;0.49504950495049505
dHex(2) Hex HexNAc(2) NeuGc;1;0.49504950495049505
Hex(2) HexA HexNAc Sulf;1;0.49504950495049505
Fucose;1;0.49504950495049505
dHex Hex(2) HexA;1;0.49504950495049505
dHex(2) Hex(2) HexNAc(4);1;0.49504950495049505
dHex Hex HexNAc(2) Kdn;1;0.49504950495049505
dHex Hex HexNAc(2) NeuAc(2);1;0.49504950495049505
Gluconoylation;1;0.49504950495049505
Hex HexA HexNAc(2);1;0.49504950495049505
dHex Hex(2) HexNAc(2) Sulf;1;0.49504950495049505
Hex HexNAc Phos;1;0.49504950495049505
Hex(3) HexNAc;1;0.49504950495049505
Hexosamine;1;0.49504950495049505
Ac(2) Hex HexNAc NeuAc(2);1;0.49504950495049505
dHex Hex(3) HexA HexNAc(2) Sulf;1;0.49504950495049505
Hex HexA HexNAc;1;0.49504950495049505
Hex(5) Phos;1;0.49504950495049505
Hex(2) HexNAc NeuGc;1;0.49504950495049505
