Value;Count;Percentage
P05814;50;24.752475247524753
P47710;34;16.831683168316832
P60709;20;9.900990099009901
P60710;20;9.900990099009901
P63261;20;9.900990099009901
P02788;15;7.425742574257425
Q6WN34;11;5.445544554455446
P02768;8;3.9603960396039604
Q08431;5;2.4752475247524752
P04114;5;2.4752475247524752
P10909;3;1.4851485148514851
Q99541;2;0.9900990099009901
P0C0L5;1;0.49504950495049505
P01833;1;0.49504950495049505
Q99102;1;0.49504950495049505
Q16851;1;0.49504950495049505
P06858;1;0.49504950495049505
P0C0L4;1;0.49504950495049505
P04264;1;0.49504950495049505
Q13410;1;0.49504950495049505
P49327;1;0.49504950495049505
