Value;Count;Percentage
dHex(2) Hex(3) HexNAc(2);21;31.343283582089555
Hexose;3;4.477611940298507
Phosphoglycosyl-D-mannose-1-phosphoryl;3;4.477611940298507
Hex2HexNAc2;3;4.477611940298507
Hex Pent(2);3;4.477611940298507
dHex Hex(2) HexNAc(2) Pent;2;2.9850746268656714
dHex(2) Hex(3);2;2.9850746268656714
Glycosyl-L-hydroxyproline;2;2.9850746268656714
dHex Hex(2) HexNAc;2;2.9850746268656714
Hex3;2;2.9850746268656714
Hex HexNAc(3) NeuGc;2;2.9850746268656714
Hex(2) HexNAc NeuGc;1;1.4925373134328357
Hex(5);1;1.4925373134328357
Hex Pent;1;1.4925373134328357
HexNAc NeuAc;1;1.4925373134328357
Hex2HexNAc2Pent1;1;1.4925373134328357
HexNAc(2) NeuAc;1;1.4925373134328357
dHex Hex HexNAc(3);1;1.4925373134328357
HexNAc NeuGc;1;1.4925373134328357
dHex(2) Hex(2) HexA HexNAc;1;1.4925373134328357
Lactosylation;1;1.4925373134328357
Hex2HexNAc2dHex1;1;1.4925373134328357
dHex Hex HexNAc(2) NeuGc;1;1.4925373134328357
dHex(3) HexNAc(3) Kdn;1;1.4925373134328357
Hex1HexNAc2;1;1.4925373134328357
Hexose (NSY);1;1.4925373134328357
Hex NeuAc Pent;1;1.4925373134328357
Hex(2) HexNAc;1;1.4925373134328357
Hex HexNAc(3) NeuAc;1;1.4925373134328357
Hex HexNAc NeuAc(3);1;1.4925373134328357
Hex HexNAc(2) NeuAc(2);1;1.4925373134328357
Pentose;1;1.4925373134328357
Hex HexNAc NeuGc;1;1.4925373134328357
