Value;Count;Percentage
Hex HexNAc NeuAc(3);20;7.936507936507936
dHex Hex(2) HexNAc(2) Pent;18;7.142857142857142
Phosphoglycosyl-D-mannose-1-phosphoryl;14;5.555555555555555
Hex HexNAc(3) NeuGc;14;5.555555555555555
dHex Hex(2) HexNAc;13;5.158730158730158
Hex2HexNAc2;9;3.571428571428571
Hex(5);9;3.571428571428571
Hex HexNAc NeuAc NeuGc;8;3.1746031746031744
Hexosamine;7;2.7777777777777777
dHex(2) Hex(3);6;2.380952380952381
dHex Hex HexNAc(2) NeuAc(2);6;2.380952380952381
dHex(2) Hex(4);5;1.984126984126984
Hex HexNAc(2) NeuAc(2);5;1.984126984126984
Heptose;5;1.984126984126984
Hex1HexNAc1;5;1.984126984126984
Hex(2) HexNAc;5;1.984126984126984
Hex1HexNAc2dHex2;4;1.5873015873015872
Gluconoylation;4;1.5873015873015872
Hex(3) HexNAc(2) NeuAc(2);4;1.5873015873015872
Hex(3) HexNAc(5);4;1.5873015873015872
dHex(2) Hex(2) HexNAc(2) Sulf(2);3;1.1904761904761905
Hex(2) HexNAc NeuGc;3;1.1904761904761905
dHex HexNAc(3);3;1.1904761904761905
Hex(2) HexNAc Sulf;3;1.1904761904761905
Hex HexNAc(3) NeuAc(2);3;1.1904761904761905
HexNAc1dHex2;3;1.1904761904761905
dHex(2) Hex(2) HexNAc(2);3;1.1904761904761905
Hex HexNAc NeuGc;3;1.1904761904761905
dHex Hex(3) HexNAc;2;0.7936507936507936
Hex1HexNAc1NeuAc1;2;0.7936507936507936
HexNAc NeuAc;2;0.7936507936507936
Hex(4) Phos;2;0.7936507936507936
Hexose;2;0.7936507936507936
H1O3P1Hex2;2;0.7936507936507936
Hex HexNAc dHex Me;2;0.7936507936507936
dHex(2) Hex(2) HexA HexNAc;2;0.7936507936507936
Glycosyl-L-hydroxyproline;2;0.7936507936507936
Hex HexNAc Kdn Sulf;2;0.7936507936507936
dHex Hex HexNAc(3);2;0.7936507936507936
dHex(2) Hex(2) HexNAc(4);2;0.7936507936507936
Hex2HexNAc2dHex1;2;0.7936507936507936
dHex Hex HexNAc Kdn;2;0.7936507936507936
HexNAc NeuGc;2;0.7936507936507936
Hex2 dHex2;2;0.7936507936507936
HexNAc(2) NeuAc Sulf;2;0.7936507936507936
Hex(3) HexNAc;1;0.3968253968253968
HexNAcylation (ST);1;0.3968253968253968
Hex HexA HexNAc(2);1;0.3968253968253968
Hex HexNAc(2) NeuAc;1;0.3968253968253968
Hex(3) HexNAc(3) NeuAc Sulf;1;0.3968253968253968
dHex(3) Hex(2) HexNAc(3) Kdn;1;0.3968253968253968
Hex(5) Phos;1;0.3968253968253968
Hexose (NSY);1;0.3968253968253968
dHex Hex HexNAc(3) NeuAc;1;0.3968253968253968
Hex3;1;0.3968253968253968
Hex1HexNAc1dHex1;1;0.3968253968253968
Hex1HexNAc1NeuAc2;1;0.3968253968253968
Hex(4) HexNAc(4) NeuAc;1;0.3968253968253968
Fucose;1;0.3968253968253968
Hex(2) HexNAc Me;1;0.3968253968253968
dHex(2) Hex(2) HexA HexNAc(2) Sulf;1;0.3968253968253968
Hex2HexNAc2Pent1;1;0.3968253968253968
dHex(2) Hex HexNAc(2) NeuGc;1;0.3968253968253968
HexNAc(2) NeuAc;1;0.3968253968253968
Hex(2) NeuAc;1;0.3968253968253968
Pentose;1;0.3968253968253968
Hex(3) HexNAc Me;1;0.3968253968253968
Hex Pent(2);1;0.3968253968253968
dHex Hex HexNAc(3) NeuGc;1;0.3968253968253968
HexNAc2;1;0.3968253968253968
Hex HexNAc(3) NeuAc;1;0.3968253968253968
Hex Pent;1;0.3968253968253968
dHex Hex(3) HexNAc(2);1;0.3968253968253968
Fucosylated biantennary (-1 galactose);1;0.3968253968253968
