Value;Count;Percentage
dHex Hex(2) HexNAc(2) Pent;15;13.513513513513514
Hex HexNAc NeuAc(3);11;9.90990990990991
Hex HexNAc(3) NeuGc;6;5.405405405405405
Phosphoglycosyl-D-mannose-1-phosphoryl;6;5.405405405405405
Hex2HexNAc2;5;4.504504504504505
Hex1HexNAc2dHex2;4;3.6036036036036037
dHex Hex(2) HexNAc;4;3.6036036036036037
Heptose;4;3.6036036036036037
Hex HexNAc(2) NeuAc(2);3;2.7027027027027026
HexNAc1dHex2;3;2.7027027027027026
Hex(5);3;2.7027027027027026
Gluconoylation;2;1.8018018018018018
Hex HexNAc NeuGc;2;1.8018018018018018
dHex Hex HexNAc(2) NeuAc(2);2;1.8018018018018018
Hex(3) HexNAc(5);2;1.8018018018018018
Hex(2) HexNAc NeuGc;2;1.8018018018018018
dHex Hex HexNAc(3);2;1.8018018018018018
dHex(2) Hex(2) HexNAc(2);2;1.8018018018018018
HexNAc(2) NeuAc Sulf;2;1.8018018018018018
Hexosamine;2;1.8018018018018018
HexNAc NeuGc;2;1.8018018018018018
dHex(2) Hex(3);2;1.8018018018018018
Hex2HexNAc2dHex1;1;0.9009009009009009
Fucosylated biantennary (-1 galactose);1;0.9009009009009009
dHex HexNAc(3);1;0.9009009009009009
HexNAcylation (ST);1;0.9009009009009009
dHex Hex HexNAc(3) NeuAc;1;0.9009009009009009
Hex(3) HexNAc(3) NeuAc Sulf;1;0.9009009009009009
dHex(2) Hex(4);1;0.9009009009009009
Hex(3) HexNAc(2) NeuAc(2);1;0.9009009009009009
Hex(2) HexNAc Sulf;1;0.9009009009009009
Hex3;1;0.9009009009009009
Hex HexNAc Kdn Sulf;1;0.9009009009009009
HexNAc NeuAc;1;0.9009009009009009
Hex(2) HexNAc;1;0.9009009009009009
Hex1HexNAc1NeuAc1;1;0.9009009009009009
H1O3P1Hex2;1;0.9009009009009009
Hex HexNAc(3) NeuAc(2);1;0.9009009009009009
Hex HexNAc dHex Me;1;0.9009009009009009
Glycosyl-L-hydroxyproline;1;0.9009009009009009
Hex HexA HexNAc(2);1;0.9009009009009009
dHex(2) Hex(2) HexNAc(2) Sulf(2);1;0.9009009009009009
Hex1HexNAc1;1;0.9009009009009009
Hex(5) Phos;1;0.9009009009009009
dHex(3) Hex(2) HexNAc(3) Kdn;1;0.9009009009009009
Hex HexNAc NeuAc NeuGc;1;0.9009009009009009
dHex Hex(3) HexNAc;1;0.9009009009009009
