Value;Count;Percentage
Hex2HexNAc2;5;7.575757575757576
Phosphoglycosyl-D-mannose-1-phosphoryl;5;7.575757575757576
dHex Hex(2) HexNAc(2) Pent;4;6.0606060606060606
dHex Hex(2) HexNAc;4;6.0606060606060606
Hex(5);3;4.545454545454546
Hex Pent(2);3;4.545454545454546
Hex HexNAc(3) NeuGc;3;4.545454545454546
Hex3;3;4.545454545454546
Hex NeuAc;3;4.545454545454546
Hex HexNAc NeuAc(3);3;4.545454545454546
dHex(2) Hex(4);2;3.0303030303030303
Hex2HexNAc2dHex1;2;3.0303030303030303
Heptose;2;3.0303030303030303
dHex(2) Hex(3);2;3.0303030303030303
Pentose;1;1.5151515151515151
Fucose;1;1.5151515151515151
dHex Hex(3) HexNAc;1;1.5151515151515151
Hex(2) HexNAc NeuGc;1;1.5151515151515151
Gluconoylation;1;1.5151515151515151
Glycosyl-L-hydroxyproline;1;1.5151515151515151
dHex Hex(2) HexA;1;1.5151515151515151
Hex(4) HexNAc(3);1;1.5151515151515151
dHex Hex(4) HexA HexNAc(2);1;1.5151515151515151
Hex1HexNAc1dHex1;1;1.5151515151515151
Hexosamine;1;1.5151515151515151
HexNAc(2) NeuAc;1;1.5151515151515151
Hex(3) HexNAc(5);1;1.5151515151515151
Hex HexNAc NeuGc;1;1.5151515151515151
dHex Hex HexNAc(3);1;1.5151515151515151
Hex1HexNAc1NeuAc1;1;1.5151515151515151
Hex(2) HexNAc Sulf;1;1.5151515151515151
Hexose;1;1.5151515151515151
HexNAc NeuAc;1;1.5151515151515151
O3S1HexNAc1;1;1.5151515151515151
dHex(2) Hex(2) HexNAc(4);1;1.5151515151515151
Hex(2) HexNAc;1;1.5151515151515151
