Value;Count;Percentage
Hex1HexNAc1;15;10.869565217391305
Glycosyl-L-hydroxyproline;10;7.246376811594203
Fucose;5;3.6231884057971016
Hex3;4;2.898550724637681
Hex2HexNAc2;3;2.1739130434782608
HexNAc1dHex1;3;2.1739130434782608
N-glycoyl neuraminic acid;3;2.1739130434782608
Hex Pent;3;2.1739130434782608
Hex(2) HexNAc;3;2.1739130434782608
Heptose;2;1.4492753623188406
dHex Hex(2) HexA;2;1.4492753623188406
Gluconoylation;2;1.4492753623188406
Lactosylation;2;1.4492753623188406
Hex(2) HexNAc Me;2;1.4492753623188406
Hexosamine;2;1.4492753623188406
dHex Hex(3) HexNAc(3) Pent(2);2;1.4492753623188406
Phosphoglycosyl-D-mannose-1-phosphoryl;2;1.4492753623188406
Hex Pent(2);2;1.4492753623188406
Hex1HexNAc1dHex1;2;1.4492753623188406
Hex HexA HexNAc;2;1.4492753623188406
Hex HexNAc dHex Me;2;1.4492753623188406
dHex Hex(2) HexA HexNAc;2;1.4492753623188406
O3S1HexNAc1;2;1.4492753623188406
Hexuronic acid;2;1.4492753623188406
dHex Hex(5) HexNAc(4) NeuAc;2;1.4492753623188406
Hexose;2;1.4492753623188406
HexNAc2dHex1;2;1.4492753623188406
Pentose;2;1.4492753623188406
Hex1HexNAc2;2;1.4492753623188406
Hex(5) HexNAc(4) Sulf;1;0.7246376811594203
dHex HexNAc(3);1;0.7246376811594203
Hex(2) HexNAc(2) Sulf;1;0.7246376811594203
Hex NeuAc;1;0.7246376811594203
Hex HexNAc Phos;1;0.7246376811594203
dHex Hex(3) HexNAc(4) Pent(3);1;0.7246376811594203
dHex HexNAc(5);1;0.7246376811594203
Hex(4) HexNAc(4) Pent;1;0.7246376811594203
H1O3P1Hex2;1;0.7246376811594203
Hex(5) HexNAc;1;0.7246376811594203
dHex(2) Hex(2) HexNAc(2) NeuAc Sulf;1;0.7246376811594203
Hex(3) HexNAc(3) NeuAc;1;0.7246376811594203
dHex Hex(3) HexA HexNAc Sulf;1;0.7246376811594203
Hex HexNAc Sulf;1;0.7246376811594203
dHex(2) HexNAc(2) Kdn;1;0.7246376811594203
Hex(4) HexNAc(2) Pent;1;0.7246376811594203
Hex(5) HexNAc(5);1;0.7246376811594203
Hex HexNAc(2) NeuAc(2);1;0.7246376811594203
Hex(2) HexNAc(2) NeuAc(2);1;0.7246376811594203
dHex Hex(2) HexNAc;1;0.7246376811594203
dHex Hex(2) HexNAc(2) Sulf;1;0.7246376811594203
Hex1HexNAc2dHex1;1;0.7246376811594203
dHex(2) Hex(2) HexNAc(2) Sulf(2);1;0.7246376811594203
dHex(2) Hex(3) HexNAc(4) Pent(2);1;0.7246376811594203
Glucosylgalactosyl hydroxylysine;1;0.7246376811594203
dHex(2) Hex(2) HexA HexNAc;1;0.7246376811594203
Ac Hex HexNAc NeuAc;1;0.7246376811594203
HexNAc(2) NeuAc;1;0.7246376811594203
dHex(2) Hex(2) HexNAc;1;0.7246376811594203
Hex(3) HexNAc;1;0.7246376811594203
Hex(3) HexNAc(4) Sulf;1;0.7246376811594203
Hex(4) HexNAc(3) NeuAc;1;0.7246376811594203
Hex1HexNAc2dHex1Pent1;1;0.7246376811594203
dHex Hex(5) HexNAc(4) NeuAc(2);1;0.7246376811594203
dHex(4) Hex(3) HexNAc(3);1;0.7246376811594203
dHex(2) Hex HexNAc(2) NeuAc;1;0.7246376811594203
dHex Hex HexNAc(3) Sulf;1;0.7246376811594203
Fucosylated biantennary;1;0.7246376811594203
dHex(2) Hex(3) HexNAc(2) Sulf;1;0.7246376811594203
Hex(4) HexNAc(2);1;0.7246376811594203
dHex(2) Hex(5) HexNAc(4);1;0.7246376811594203
dHex Hex(6) HexNAc(2);1;0.7246376811594203
Hex1HexNAc2Pent1;1;0.7246376811594203
Biantennary;1;0.7246376811594203
N-acetylglucosamine-1-phosphoryl;1;0.7246376811594203
dHex Hex(2) HexNAc(2) NeuAc Sulf;1;0.7246376811594203
dHex HexNAc(4);1;0.7246376811594203
dHex Hex(5) HexNAc(5);1;0.7246376811594203
Hex(4) HexNAc;1;0.7246376811594203
