Value;Count;Percentage
P02788;58;42.028985507246375
P05814;34;24.637681159420293
P07498;10;7.246376811594203
P01833;6;4.3478260869565215
P02768;4;2.898550724637681
Q08431;2;1.4492753623188406
B9A064;2;1.4492753623188406
P47710;2;1.4492753623188406
P02787;1;0.7246376811594203
Q86Y46;1;0.7246376811594203
P07195;1;0.7246376811594203
P24821;1;0.7246376811594203
P36575;1;0.7246376811594203
P68032;1;0.7246376811594203
Q8N271;1;0.7246376811594203
P49327;1;0.7246376811594203
P0CG38;1;0.7246376811594203
P62736;1;0.7246376811594203
P63261;1;0.7246376811594203
A5A3E0;1;0.7246376811594203
P68133;1;0.7246376811594203
P63267;1;0.7246376811594203
Q6S8J3;1;0.7246376811594203
P60709;1;0.7246376811594203
Q15262;1;0.7246376811594203
Q562R1;1;0.7246376811594203
P47989;1;0.7246376811594203
Q13410;1;0.7246376811594203
