Value;Count;Percentage
P02788;15;28.846153846153843
P05814;14;26.923076923076923
P01833;3;5.769230769230769
P07498;3;5.769230769230769
P02768;2;3.8461538461538463
Q08431;2;3.8461538461538463
P47710;1;1.9230769230769231
Q562R1;1;1.9230769230769231
Q15262;1;1.9230769230769231
P47989;1;1.9230769230769231
P60709;1;1.9230769230769231
Q6S8J3;1;1.9230769230769231
P63267;1;1.9230769230769231
P68133;1;1.9230769230769231
P62736;1;1.9230769230769231
A5A3E0;1;1.9230769230769231
P63261;1;1.9230769230769231
P68032;1;1.9230769230769231
P0CG38;1;1.9230769230769231
