Value;Count;Percentage
Hex1HexNAc1;7;13.20754716981132
Hex3;2;3.7735849056603774
Hex Pent(2);2;3.7735849056603774
Phosphoglycosyl-D-mannose-1-phosphoryl;2;3.7735849056603774
dHex Hex(3) HexNAc(3) Pent(2);2;3.7735849056603774
N-glycoyl neuraminic acid;2;3.7735849056603774
dHex Hex(5) HexNAc(4) NeuAc(2);1;1.8867924528301887
dHex(2) Hex(2) HexA HexNAc;1;1.8867924528301887
Glycosyl-L-hydroxyproline;1;1.8867924528301887
Heptose;1;1.8867924528301887
dHex Hex(2) HexA;1;1.8867924528301887
Ac Hex HexNAc NeuAc;1;1.8867924528301887
Fucose;1;1.8867924528301887
Lactosylation;1;1.8867924528301887
dHex(2) HexNAc(2) Kdn;1;1.8867924528301887
Gluconoylation;1;1.8867924528301887
H1O3P1Hex2;1;1.8867924528301887
HexNAc1dHex1;1;1.8867924528301887
Hex(5) HexNAc(4) Sulf;1;1.8867924528301887
Hex(2) HexNAc;1;1.8867924528301887
dHex HexNAc(3);1;1.8867924528301887
Hex1HexNAc1dHex1;1;1.8867924528301887
dHex HexNAc(4);1;1.8867924528301887
dHex Hex(2) HexNAc(2) NeuAc Sulf;1;1.8867924528301887
Hexosamine;1;1.8867924528301887
dHex(4) Hex(3) HexNAc(3);1;1.8867924528301887
Hexose;1;1.8867924528301887
dHex(2) Hex HexNAc(2) NeuAc;1;1.8867924528301887
O3S1HexNAc1;1;1.8867924528301887
Fucosylated biantennary;1;1.8867924528301887
dHex(2) Hex(3) HexNAc(2) Sulf;1;1.8867924528301887
Hex1HexNAc2;1;1.8867924528301887
dHex(2) Hex(5) HexNAc(4);1;1.8867924528301887
dHex Hex(5) HexNAc(4) NeuAc;1;1.8867924528301887
Hex Pent;1;1.8867924528301887
HexNAc2dHex1;1;1.8867924528301887
Hex2HexNAc2;1;1.8867924528301887
dHex Hex(6) HexNAc(2);1;1.8867924528301887
Hexuronic acid;1;1.8867924528301887
Biantennary;1;1.8867924528301887
N-acetylglucosamine-1-phosphoryl;1;1.8867924528301887
Hex HexNAc Phos;1;1.8867924528301887
