Value;Count;Percentage
P02788;1836;9.182754826447935
P05814;1810;9.052715814744424
P49327;510;2.5507652295688708
P04114;438;2.1906571971591475
P02768;435;2.1756526958087425
P19835;431;2.1556466940082024
Q13410;398;1.9905971791537462
Q08431;376;1.8805641692507753
P01833;366;1.830549164749425
P47989;355;1.7755326597979393
P47710;312;1.5604681404421328
P10909-6;305;1.5254576372911874
P10909-4;302;1.5104531359407822
P10909-5;302;1.5104531359407822
P10909;302;1.5104531359407822
P10909-2;302;1.5104531359407822
P47710-3;252;1.2603781134340302
P07498;226;1.130339101730519
P01876;219;1.0953285985795738
Q16851;176;0.8802640792237671
Q6WN34-2;169;0.8452535760728219
P0C0L4;164;0.8202460738221466
P0C0L4-2;164;0.8202460738221466
Q08380;154;0.7702310693207963
Q6WN34;154;0.7702310693207963
P60709;132;0.6601980594178254
P60710;132;0.6601980594178254
P63261;132;0.6601980594178254
P06858;131;0.6551965589676902
P0C0L5;130;0.6501950585175552
P01024;125;0.62518755626688
Q99541;123;0.61518455536661
Q08431-2;117;0.5851755526657998
P04264;116;0.5801740522156646
A5A6M6;114;0.5701710513153946
P01877;113;0.5651695508652596
P00760;106;0.5301590477143143
P02649;94;0.4701410423126938
P01834;89;0.4451335400620186
P04004;86;0.43012903871161345
P07900-2;85;0.4251275382614784
P07900;84;0.4201260378113434
P22897;80;0.40012003601080326
P15311;80;0.40012003601080326
P00709;78;0.3901170351105332
P16671;76;0.3801140342102631
P16671-4;76;0.3801140342102631
P14625;73;0.3651095328598579
P0DOX2;73;0.3651095328598579
P13645;63;0.31509452835850754
P19823;61;0.3050915274582375
Q99102-13;60;0.30009002700810244
Q99102-10;60;0.30009002700810244
Q99102;60;0.30009002700810244
P06733;60;0.30009002700810244
P24821;60;0.30009002700810244
P24821-4;60;0.30009002700810244
O60664;60;0.30009002700810244
O60664-4;59;0.2950885265579674
P08238;58;0.2900870261078323
P11499;58;0.2900870261078323
P36578;58;0.2900870261078323
P35908;58;0.2900870261078323
P11021;55;0.2750825247574272
P05413;55;0.2750825247574272
P13987-2;54;0.2700810243072922
P13987;54;0.2700810243072922
P0DOY2;53;0.26507952385715716
P0DOY3;53;0.26507952385715716
P08571;45;0.22506752025607682
P06727;44;0.2200660198059418
P35579;44;0.2200660198059418
P53396;43;0.21506451935580673
P53396-2;43;0.21506451935580673
P07996;43;0.21506451935580673
P62424;43;0.21506451935580673
Q562R1;42;0.2100630189056717
P46777;42;0.2100630189056717
P26042;41;0.20506151845553666
P26038;41;0.20506151845553666
P10451-5;40;0.20006001800540163
P0DM91;40;0.20006001800540163
P02647;40;0.20006001800540163
B9A064;39;0.1950585175552666
P0DOX8;39;0.1950585175552666
P62281;38;0.19005701710513154
P61270;38;0.19005701710513154
P62280;38;0.19005701710513154
P31431;37;0.1850555166549965
P31431-2;37;0.1850555166549965
P11142;36;0.18005401620486144
P63017;36;0.18005401620486144
P62917;36;0.18005401620486144
Q9NP72;36;0.18005401620486144
P01591;35;0.1750525157547264
