Value;Count;Percentage
P02788;664;9.853093930850275
P05814;642;9.52663599940644
P04114;204;3.0271553642973736
P49327;173;2.567146460899243
P47989;153;2.2703665232230303
P19835;146;2.1664935450363556
Q13410;142;2.107137557501113
P02768;134;1.9884255824306276
Q08431;126;1.8697136073601424
P01833;125;1.8548746104763318
P10909-6;85;1.2613147351239058
P10909-2;84;1.2464757382400948
P10909-5;84;1.2464757382400948
P10909-4;84;1.2464757382400948
P10909;84;1.2464757382400948
P47710;82;1.2167977444724736
P07498;80;1.1871197507048523
P01876;67;0.9942127912153138
Q6WN34-2;66;0.9793737943315032
P47710-3;65;0.9645347974476924
Q6WN34;63;0.9348568036800712
Q16851;60;0.8903398130286393
P06858;45;0.6677548597714794
Q08380;45;0.6677548597714794
P04264;42;0.6232378691200474
Q99541;42;0.6232378691200474
A5A6M6;41;0.6083988722362368
P0C0L5;41;0.6083988722362368
P22897;40;0.5935598753524262
P01024;39;0.5787208784686155
P0C0L4;37;0.5490428847009943
P0C0L4-2;37;0.5490428847009943
P04004;34;0.5045258940495623
P07900-2;34;0.5045258940495623
P07900;33;0.4896868971657516
P14625;33;0.4896868971657516
P01877;33;0.4896868971657516
P60710;32;0.47484790028194096
P63261;32;0.47484790028194096
P0DOX2;32;0.47484790028194096
P60709;32;0.47484790028194096
P16671;31;0.4600089033981303
P16671-4;31;0.4600089033981303
P00760;30;0.44516990651431965
P35908;29;0.43033090963050896
P07996;29;0.43033090963050896
P19823;28;0.41549191274669833
P13645;28;0.41549191274669833
P24821;27;0.40065291586288765
P01834;27;0.40065291586288765
P24821-4;27;0.40065291586288765
P02649;26;0.385813918979077
Q99102-10;25;0.3709749220952664
Q99102;25;0.3709749220952664
Q99102-13;25;0.3709749220952664
P06733;24;0.3561359252114557
P15311;24;0.3561359252114557
P11499;22;0.3264579314438344
P00709;22;0.3264579314438344
P08238;22;0.3264579314438344
P10451-5;20;0.2967799376762131
P46777;19;0.2819409407924024
P13987-2;18;0.2671019439085918
P13987;18;0.2671019439085918
P53396-2;18;0.2671019439085918
P53396;18;0.2671019439085918
P05413;18;0.2671019439085918
P36578;17;0.25226294702478114
P53396-3;17;0.25226294702478114
P20029;17;0.25226294702478114
P11021;17;0.25226294702478114
P39023;16;0.23742395014097048
O60664-4;16;0.23742395014097048
P01871-2;16;0.23742395014097048
P01871;16;0.23742395014097048
