Value;Count;Percentage
Carbamidomethylation;677;94.68531468531468
"dHex Hex(2) HexA HexNAc Sulf; Carbamidomethylation";6;0.8391608391608392
Hexosamine;5;0.6993006993006993
"Heptose; HexNAc(3); Carbamidomethylation";4;0.5594405594405595
"Gluconoylation; HexNAc2; Carbamidomethylation";4;0.5594405594405595
Ac Hex HexNAc NeuAc;3;0.4195804195804196
"Hex(4); Carbamidomethylation";3;0.4195804195804196
HexNAc1dHex1;3;0.4195804195804196
"Hex(2) HexNAc Me; Carbamidomethylation";2;0.27972027972027974
"N-acetylglucosamine-1-phosphoryl; Carbamidomethylation";2;0.27972027972027974
"dHex Hex HexNAc NeuAc; Carbamidomethylation";2;0.27972027972027974
Hexose;1;0.13986013986013987
"Hexosamine; Lactosylation";1;0.13986013986013987
"dHex(3) Hex HexNAc(3) Kdn; Glycosyl-L-hydroxyproline; Carbamidomethylation";1;0.13986013986013987
"Gluconoylation; Carbamidomethylation";1;0.13986013986013987
