Value;Count;Percentage
P02788;478;13.042291950886767
P01876;212;5.784447476125512
P01833;179;4.884038199181446
P0DOX5;163;4.447476125511597
P01834;145;3.956343792633015
P0DOY2;138;3.7653478854024556
P0DOY3;138;3.7653478854024556
P01877;137;3.7380627557980897
P0DOX2;135;3.6834924965893587
P07498;133;3.6289222373806274
P0DOX7;120;3.2742155525238745
P01860;103;2.810368349249659
P0DOX8;100;2.728512960436562
P01859;90;2.455661664392906
P00760;84;2.291950886766712
A0A075;69;1.8826739427012278
P01861;65;1.7735334242837655
A0A0B4;53;1.446111869031378
P04264;50;1.364256480218281
P47710-2;47;1.2824010914051842
P47710;47;1.2824010914051842
P05814;44;1.2005457025920874
P01591;42;1.145975443383356
P47989;31;0.8458390177353342
P19835-2;29;0.7912687585266029
P19835;29;0.7912687585266029
P01871;28;0.7639836289222374
P35908;28;0.7639836289222374
P01871-2;28;0.7639836289222374
P13645;27;0.7366984993178717
P01614;26;0.7094133697135061
A0A087;26;0.7094133697135061
P01615;26;0.7094133697135061
A0A0C4;25;0.6821282401091405
P02768;25;0.6821282401091405
P36222;22;0.6002728512960437
A0A0G2;18;0.49113233287858116
P01619;18;0.49113233287858116
A0A0A0;18;0.49113233287858116
P06310;17;0.4638472032742156
P01780;16;0.43656207366984995
Q13410;15;0.4092769440654843
P01762;14;0.3819918144611187
P01763;14;0.3819918144611187
P04259;11;0.30013642564802184
P35527;11;0.30013642564802184
P48668;10;0.2728512960436562
Q08431;10;0.2728512960436562
Q08431-4;10;0.2728512960436562
Q08431-2;10;0.2728512960436562
A2NJV5;9;0.24556616643929058
P02538;9;0.24556616643929058
P55011;9;0.24556616643929058
P55011-3;9;0.24556616643929058
P04433;9;0.24556616643929058
P24821-4;9;0.24556616643929058
Q5SQN1-4;9;0.24556616643929058
Q5SQN1-2;9;0.24556616643929058
P24821;9;0.24556616643929058
P13647;8;0.21828103683492497
P01024;8;0.21828103683492497
Q4FZU2;7;0.19099590723055934
P24821-3;7;0.19099590723055934
P24821-2;7;0.19099590723055934
P24821-5;7;0.19099590723055934
P24821-6;7;0.19099590723055934
P63261;6;0.1637107776261937
P60710;6;0.1637107776261937
P04406;6;0.1637107776261937
P60709;6;0.1637107776261937
P10909;6;0.1637107776261937
P04406-2;6;0.1637107776261937
P61626;6;0.1637107776261937
P01700;6;0.1637107776261937
P10909-2;6;0.1637107776261937
P10909-5;6;0.1637107776261937
P10909-6;6;0.1637107776261937
P10909-4;6;0.1637107776261937
Q08380;6;0.1637107776261937
P80748;5;0.1364256480218281
P04211;5;0.1364256480218281
P01594;4;0.10914051841746249
P35579;4;0.10914051841746249
P55212;4;0.10914051841746249
P14625;4;0.10914051841746249
P01593;4;0.10914051841746249
P06396-4;3;0.08185538881309685
P23280;3;0.08185538881309685
P06396;3;0.08185538881309685
P06396-3;3;0.08185538881309685
P0C0L4-2;3;0.08185538881309685
P06396-2;3;0.08185538881309685
P23280-2;3;0.08185538881309685
P0C0L5;3;0.08185538881309685
P01717;3;0.08185538881309685
P0C0L4;3;0.08185538881309685
P01618;3;0.08185538881309685
Q99541;2;0.054570259208731244
Q96T37-4;2;0.054570259208731244
P01825;2;0.054570259208731244
P0DP08;2;0.054570259208731244
Q6FZM0;2;0.054570259208731244
Q6G3X4;2;0.054570259208731244
P0DP06;2;0.054570259208731244
P06331;2;0.054570259208731244
P01824;2;0.054570259208731244
P20305-2;2;0.054570259208731244
P20305;2;0.054570259208731244
P06312;2;0.054570259208731244
A2A884;2;0.054570259208731244
P62631;2;0.054570259208731244
P68104;2;0.054570259208731244
Q5VTE0;2;0.054570259208731244
P10126;2;0.054570259208731244
P0CN31;2;0.054570259208731244
P0CN30;2;0.054570259208731244
P62630;2;0.054570259208731244
Q05639;2;0.054570259208731244
P02994;2;0.054570259208731244
Q00080;2;0.054570259208731244
P14206;2;0.054570259208731244
P08865;2;0.054570259208731244
P01611;2;0.054570259208731244
P01597;2;0.054570259208731244
P04432;2;0.054570259208731244
P02649;1;0.027285129604365622
P02675;1;0.027285129604365622
P36578;1;0.027285129604365622
Q9GJU3;1;0.027285129604365622
P49788;1;0.027285129604365622
P18650;1;0.027285129604365622
P62263;1;0.027285129604365622
P35030;1;0.027285129604365622
P35030-4;1;0.027285129604365622
P35030-2;1;0.027285129604365622
P07478;1;0.027285129604365622
P35030-3;1;0.027285129604365622
P35030-5;1;0.027285129604365622
P49327;1;0.027285129604365622
P49788-2;1;0.027285129604365622
C0HKA0;1;0.027285129604365622
Q8NEY1-5;1;0.027285129604365622
Q8NEY1-7;1;0.027285129604365622
Q8NEY1-4;1;0.027285129604365622
Q8NEY1-2;1;0.027285129604365622
Q8NEY1-3;1;0.027285129604365622
P0DMM1;1;0.027285129604365622
