Value;Count;Percentage
Carbamidomethylation;1143;85.68215892053973
"dHex(2) Hex(2) HexA HexNAc(2) Sulf; Carbamidomethylation";15;1.1244377811094453
Hexosamine;10;0.7496251874062968
Phosphoglycosyl-D-mannose-1-phosphoryl;6;0.4497751124437781
Hex HexNAc NeuAc(3);6;0.4497751124437781
Hex HexNAc(3) NeuGc;6;0.4497751124437781
"Gluconoylation; HexNAcylation (N)";6;0.4497751124437781
"Gluconoylation; Heptose";6;0.4497751124437781
H1O3P1Hex2;5;0.3748125937031484
Hex2HexNAc2Pent1;5;0.3748125937031484
"dHex(2) Hex(3) HexA HexNAc Sulf; Carbamidomethylation";5;0.3748125937031484
dHex Hex(2) HexNAc;5;0.3748125937031484
"Hex Pent; Hexosamine; Carbamidomethylation";4;0.29985007496251875
Hex(3) HexNAc(2) NeuAc(2);4;0.29985007496251875
Hex(5);4;0.29985007496251875
Hex1HexNAc1;3;0.22488755622188905
"Hex(4); Glucosylgalactosyl hydroxylysine; Carbamidomethylation";3;0.22488755622188905
dHex(2) Hex(3);3;0.22488755622188905
HexNAc(2) NeuAc;2;0.14992503748125938
"Heptose; Hex1HexNAc2";2;0.14992503748125938
"dHex Hex(2) HexNAc Sulf; Heptose; Carbamidomethylation";2;0.14992503748125938
"dHex Hex HexNAc(3) NeuAc Sulf; Carbamidomethylation";2;0.14992503748125938
dHex(2) Hex(2) HexNAc(4);2;0.14992503748125938
Fucose;2;0.14992503748125938
"Hex1HexNAc2; Glycosyl-L-hydroxyproline; Carbamidomethylation";2;0.14992503748125938
Hex(2) HexNAc Me;2;0.14992503748125938
Gluconoylation;2;0.14992503748125938
"Heptose; Hex(2) NeuAc";2;0.14992503748125938
"Carbamidomethylation; Hex1HexNAc2dHex1Pent1";2;0.14992503748125938
Hex HexNAc NeuAc NeuGc;2;0.14992503748125938
dHex(2) Hex HexNAc(2) NeuGc;2;0.14992503748125938
dHex Hex(2) HexNAc(2) Pent;2;0.14992503748125938
Hexose;2;0.14992503748125938
Hex HexNAc(2) NeuAc(2);2;0.14992503748125938
"Carbamidomethylation; Hex2 dHex2";2;0.14992503748125938
"Glycosyl-L-hydroxyproline; Carbamidomethylation";2;0.14992503748125938
dHex(2) Hex(2) HexA HexNAc(2) Sulf;2;0.14992503748125938
"Carbamidomethylation; Hex HexNAc(3)";2;0.14992503748125938
Hex HexNAc dHex Me(2);2;0.14992503748125938
Hex HexNAc(3) NeuAc(2);2;0.14992503748125938
dHex Hex HexNAc(3) NeuGc;2;0.14992503748125938
dHex Hex HexNAc(2) NeuAc(2);2;0.14992503748125938
Hex(2) HexNAc Sulf;2;0.14992503748125938
dHex(2) Hex(4);2;0.14992503748125938
Hex HexNAc Kdn Sulf;1;0.07496251874062969
"Glycosyl-L-hydroxyproline; Hex2 dHex2";1;0.07496251874062969
"Hex2HexNAc2dHex1; Heptose; Carbamidomethylation";1;0.07496251874062969
"Carbamidomethylation; dHex(2) Hex(2) HexNAc(2) Sulf";1;0.07496251874062969
"Carbamidomethylation; dHex Hex(2) HexA";1;0.07496251874062969
Hex(2) NeuAc;1;0.07496251874062969
Pentose;1;0.07496251874062969
"HexNAc1dHex1; Carbamidomethylation";1;0.07496251874062969
"Hex NeuAc Pent; Glycosyl-L-hydroxyproline";1;0.07496251874062969
"Carbamidomethylation; Hexose (NSY)";1;0.07496251874062969
Hex(2) HexNAc NeuGc;1;0.07496251874062969
"Heptose; Hexosamine";1;0.07496251874062969
Hex(3) HexNAc Me;1;0.07496251874062969
Heptose;1;0.07496251874062969
dHex HexNAc(3);1;0.07496251874062969
"Heptose; Hex(3) HexNAc(3) Sulf; Carbamidomethylation";1;0.07496251874062969
"Gluconoylation; Hex(2) HexNAc";1;0.07496251874062969
"Gluconoylation; Hex(3) Phos";1;0.07496251874062969
"Hexosamine; Hex HexNAc Kdn Sulf; Carbamidomethylation";1;0.07496251874062969
"Hex(5); Heptose; Carbamidomethylation";1;0.07496251874062969
"Carbamidomethylation; Hex HexA HexNAc(2)";1;0.07496251874062969
"Carbamidomethylation; Heptose; Hex HexNAc Kdn Sulf";1;0.07496251874062969
"Hexuronic acid; dHex(2) Hex(4)";1;0.07496251874062969
"HexNAc2; Glycosyl-L-hydroxyproline; Carbamidomethylation";1;0.07496251874062969
"Gluconoylation; Glycosyl-L-hydroxyproline; Carbamidomethylation";1;0.07496251874062969
"Gluconoylation; Carbamidomethylation";1;0.07496251874062969
"Gluconoylation; Hex NeuAc Pent";1;0.07496251874062969
"dHex(2) Hex(2) HexNAc(2) NeuAc Sulf; Carbamidomethylation";1;0.07496251874062969
"Gluconoylation; Hex(5); Carbamidomethylation";1;0.07496251874062969
"Hex(5); Gluconoylation; Carbamidomethylation";1;0.07496251874062969
Hex Pent(2);1;0.07496251874062969
Hex2HexNAc2;1;0.07496251874062969
"Gluconoylation; Lactosylation";1;0.07496251874062969
Hex(3) HexNAc(5);1;0.07496251874062969
"Hexose; Heptose";1;0.07496251874062969
dHex Hex(3) HexNAc;1;0.07496251874062969
Glycosyl-L-hydroxyproline;1;0.07496251874062969
Hex(2) HexNAc;1;0.07496251874062969
Hex2HexNAc2dHex1;1;0.07496251874062969
"Hexose; Carbamidomethylation";1;0.07496251874062969
"Carbamidomethylation; dHex HexNAc(3)";1;0.07496251874062969
dHex Hex HexNAc Kdn;1;0.07496251874062969
HexNAc2;1;0.07496251874062969
