Value;Count;Percentage
P02788;646;13.545816733067728
P05814;482;10.106940658418957
P47710;281;5.892220591318935
P47710-3;228;4.780876494023905
P10909-6;153;3.208219752568673
P10909-4;151;3.1662822394632
P10909-2;150;3.1453134829104634
P10909;150;3.1453134829104634
P10909-5;150;3.1453134829104634
P07498;114;2.3904382470119523
P19835;105;2.2017194380373244
Q08380;91;1.9081568462990146
Q08431;83;1.740406793877123
Q6WN34-2;73;1.5307192283497588
Q6WN34;63;1.3210316628223946
A5A6M6;51;1.0694065841895575
P04264;51;1.0694065841895575
P61626;44;0.9226252883204026
P16671;43;0.9016565317676661
P16671-4;42;0.8806877752149297
Q99102-10;41;0.8597190186621932
Q99102;41;0.8597190186621932
Q99102-13;40;0.8387502621094569
P30086;37;0.7758439924512477
P01876;33;0.6919689662403019
P06858;33;0.6919689662403019
P49327;30;0.6290626965820927
P01833;29;0.6080939400293562
P15941;29;0.6080939400293562
P15941-11;29;0.6080939400293562
P15941-2;29;0.6080939400293562
P15941-3;29;0.6080939400293562
P15941-4;29;0.6080939400293562
P15941-8;29;0.6080939400293562
P15941-7;29;0.6080939400293562
P15941-17;29;0.6080939400293562
P02649;28;0.5871251834766198
P02647;26;0.545187670371147
P35908;26;0.545187670371147
P01834;25;0.5242189138184106
Q99541;25;0.5242189138184106
P00760;24;0.5032501572656741
O60664;23;0.4822814007129377
Q13410;22;0.4613126441602013
P01877;21;0.44034388760746485
P13645;21;0.44034388760746485
P47989;20;0.41937513105472846
O00300;17;0.3564688613965192
Q5SQN1-4;16;0.3355001048437828
P19440;16;0.3355001048437828
Q5SQN1-2;16;0.3355001048437828
Q5SQN1-3;16;0.3355001048437828
Q5SQN1;16;0.3355001048437828
P06727;16;0.3355001048437828
P63261;14;0.2935625917383099
P60710;14;0.2935625917383099
P23280-2;14;0.2935625917383099
P60709;14;0.2935625917383099
P13987-2;13;0.2725938351855735
P13987;13;0.2725938351855735
P08571;13;0.2725938351855735
P00709;13;0.2725938351855735
P62937;12;0.25162507863283706
P15328;12;0.25162507863283706
O75888-4;12;0.25162507863283706
O75888-2;12;0.25162507863283706
O75888;12;0.25162507863283706
O43508-2;12;0.25162507863283706
O75888-5;12;0.25162507863283706
Q9H4G4;10;0.20968756552736423
P02749;10;0.20968756552736423
P22079;9;0.1887188089746278
P35527;9;0.1887188089746278
P22079-2;9;0.1887188089746278
Q6X4U4;9;0.1887188089746278
P04004;8;0.1677500524218914
Q07969;8;0.1677500524218914
P23284;8;0.1677500524218914
Q16651;8;0.1677500524218914
P04104;8;0.1677500524218914
Q6UXI9-5;7;0.14678129586915495
Q6UXI9;7;0.14678129586915495
Q6UXI9-6;7;0.14678129586915495
Q6UXI9-2;7;0.14678129586915495
P04259;7;0.14678129586915495
P04406;7;0.14678129586915495
P0CN31;7;0.14678129586915495
P0DOY3;7;0.14678129586915495
P0CN30;7;0.14678129586915495
P0DOY2;7;0.14678129586915495
P26201;6;0.12581253931641853
P04406-2;6;0.12581253931641853
Q8NBJ7-2;6;0.12581253931641853
P08865;6;0.12581253931641853
P14206;6;0.12581253931641853
P02768;6;0.12581253931641853
Q8NBJ7;6;0.12581253931641853
A5A6M8;5;0.10484378276368211
P0DOX8;5;0.10484378276368211
P02994;5;0.10484378276368211
P02768-2;5;0.10484378276368211
B9A064;5;0.10484378276368211
P13647;5;0.10484378276368211
O00299;5;0.10484378276368211
Q8JPR1;4;0.0838750262109457
P08174-4;4;0.0838750262109457
Q7Z5P9;4;0.0838750262109457
P08174-3;4;0.0838750262109457
P08174-5;4;0.0838750262109457
P08174-2;4;0.0838750262109457
Q7Z5P9-2;4;0.0838750262109457
Q5TFQ8;4;0.0838750262109457
P08174-7;4;0.0838750262109457
Q5VTE0;4;0.0838750262109457
P10126;4;0.0838750262109457
P62630;4;0.0838750262109457
P68104;4;0.0838750262109457
Q05639;4;0.0838750262109457
P62631;4;0.0838750262109457
P78324-2;4;0.0838750262109457
P78324;4;0.0838750262109457
P78324-4;4;0.0838750262109457
P08174-6;4;0.0838750262109457
P08174;4;0.0838750262109457
P08779;4;0.0838750262109457
P63104;4;0.0838750262109457
P02533;4;0.0838750262109457
P02774-2;4;0.0838750262109457
P02774;4;0.0838750262109457
P02774-3;4;0.0838750262109457
P24821-4;4;0.0838750262109457
P24821;4;0.0838750262109457
