Value;Count;Percentage
P02788;429;9.023979806478755
P05814;242;5.090450147244425
P47710;226;4.753891459823307
P10909-6;197;4.143878838872529
P47710-3;193;4.0597391670172485
P10909-4;193;4.0597391670172485
P10909;193;4.0597391670172485
P10909-5;193;4.0597391670172485
P10909-2;193;4.0597391670172485
P19835;117;2.4610854017669332
P07498;99;2.0824568784181743
Q08431;87;1.8300378628523346
Q08380;87;1.8300378628523346
Q6WN34-2;75;1.5776188472864956
Q6WN34;63;1.3251998317206561
P01876;56;1.1779554059739168
P01833;52;1.093815734118637
A5A6M6;48;1.0096760622633572
P00760;48;1.0096760622633572
P04264;48;1.0096760622633572
P01834;46;0.9676062263357174
Q13410;45;0.9465713083718973
P06858;42;0.8834665544804375
P49327;37;0.7782919646613379
P02649;37;0.7782919646613379
P02647;35;0.736222128733698
P01877;33;0.6941522928060581
P0DOX2;32;0.6731173748422381
Q99541;31;0.6520824568784181
P16671;30;0.6310475389145982
P16671-4;30;0.6310475389145982
P15941-8;29;0.6100126209507782
P15941-11;29;0.6100126209507782
P15941-7;29;0.6100126209507782
P15941-4;29;0.6100126209507782
P15941-3;29;0.6100126209507782
P15941;29;0.6100126209507782
P15941-2;29;0.6100126209507782
P15941-17;28;0.5889777029869584
Q99102;26;0.5469078670593185
Q99102-13;26;0.5469078670593185
Q99102-10;26;0.5469078670593185
P23280;25;0.5258729490954985
P0DOX7;22;0.4627681952040387
P04114;21;0.44173327724021877
P61626;21;0.44173327724021877
P35908;20;0.4206983592763988
P13645;20;0.4206983592763988
P47989;20;0.4206983592763988
P0DOY2;19;0.39966344131257886
P08571;19;0.39966344131257886
P0DOY3;19;0.39966344131257886
P00709;18;0.37862852334875896
O60664;17;0.357593605384939
P06727;16;0.33655868742111905
P13987;15;0.3155237694572991
P60710;15;0.3155237694572991
P13987-2;15;0.3155237694572991
P60709;15;0.3155237694572991
P63261;15;0.3155237694572991
P35527;14;0.2944888514934792
P19440;12;0.2524190155658393
P04004;12;0.2524190155658393
Q6X4U4;11;0.23138409760201936
A6NGU5;11;0.23138409760201936
P0DOX8;10;0.2103491796381994
B9A064;10;0.2103491796381994
Q16851;10;0.2103491796381994
Q91ZJ5;10;0.2103491796381994
Q9BY76;10;0.2103491796381994
P15328;10;0.2103491796381994
O00300;9;0.18931426167437948
P24821-5;9;0.18931426167437948
Q5SQN1;9;0.18931426167437948
P24821-6;9;0.18931426167437948
P24821-2;9;0.18931426167437948
Q5SQN1-4;9;0.18931426167437948
Q5SQN1-2;9;0.18931426167437948
P24821-3;9;0.18931426167437948
Q6X4U4-2;9;0.18931426167437948
P24821;9;0.18931426167437948
P24821-4;9;0.18931426167437948
Q5SQN1-3;9;0.18931426167437948
Q91ZJ5-2;9;0.18931426167437948
Q16851-2;9;0.18931426167437948
P05090;9;0.18931426167437948
P01871;8;0.16827934371055953
P01871-2;8;0.16827934371055953
P14206;8;0.16827934371055953
P08865;8;0.16827934371055953
Q15323;7;0.1472444257467396
P02538;7;0.1472444257467396
O43490-4;7;0.1472444257467396
O43490-5;7;0.1472444257467396
O43490-3;7;0.1472444257467396
Q14525;7;0.1472444257467396
P05413;7;0.1472444257467396
A5A6M5;7;0.1472444257467396
P04104;7;0.1472444257467396
O43490-7;7;0.1472444257467396
P48668;7;0.1472444257467396
A5A6M8;7;0.1472444257467396
O43490-6;7;0.1472444257467396
P13647;7;0.1472444257467396
P02774;7;0.1472444257467396
O43490-2;7;0.1472444257467396
Q9H4G4;7;0.1472444257467396
O43490;7;0.1472444257467396
P02774-3;7;0.1472444257467396
O43790;6;0.12620950778291964
P78385;6;0.12620950778291964
Q14532;6;0.12620950778291964
P31431-2;6;0.12620950778291964
P31431;6;0.12620950778291964
Q14533;6;0.12620950778291964
P97861;6;0.12620950778291964
P21533;5;0.1051745898190997
P63104;5;0.1051745898190997
P04792;5;0.1051745898190997
P31977;5;0.1051745898190997
Q02878;5;0.1051745898190997
P15311;5;0.1051745898190997
P0CG48;5;0.1051745898190997
P0CG68;5;0.1051745898190997
P26040;5;0.1051745898190997
P50446;5;0.1051745898190997
Q4FZU2;5;0.1051745898190997
P05386;5;0.1051745898190997
Q6UXI9-6;4;0.08413967185527976
P0C0L4-2;4;0.08413967185527976
O75888;4;0.08413967185527976
P30050;4;0.08413967185527976
Q6UXI9;4;0.08413967185527976
P07477;4;0.08413967185527976
P01619;4;0.08413967185527976
O75888-2;4;0.08413967185527976
P0C0L5;4;0.08413967185527976
P0C0L4;4;0.08413967185527976
O43508-2;4;0.08413967185527976
O75888-4;4;0.08413967185527976
O75888-5;4;0.08413967185527976
P35241-5;4;0.08413967185527976
P01591;4;0.08413967185527976
F5B8W5;4;0.08413967185527976
Q8NBJ7-3;4;0.08413967185527976
Q8NBJ7;4;0.08413967185527976
P35542;4;0.08413967185527976
Q07020;4;0.08413967185527976
F5B8W0;4;0.08413967185527976
Q07020-2;4;0.08413967185527976
P26038;4;0.08413967185527976
P35241;4;0.08413967185527976
P01860;3;0.06310475389145982
P68433;3;0.06310475389145982
P68431;3;0.06310475389145982
O00299;3;0.06310475389145982
Q92485;3;0.06310475389145982
P62851;3;0.06310475389145982
Q1E225;3;0.06310475389145982
Q71DI3;3;0.06310475389145982
P0CO05;3;0.06310475389145982
P84243;3;0.06310475389145982
P84228;3;0.06310475389145982
Q16695;3;0.06310475389145982
P49908;3;0.06310475389145982
P35241-4;3;0.06310475389145982
P0CO04;3;0.06310475389145982
P26042;3;0.06310475389145982
P84244;3;0.06310475389145982
Q16651-2;3;0.06310475389145982
P01009;3;0.06310475389145982
P62937;3;0.06310475389145982
P15291-2;3;0.06310475389145982
P15291;3;0.06310475389145982
O00391-2;3;0.06310475389145982
O00391;3;0.06310475389145982
A8AZP4;3;0.06310475389145982
P62917;3;0.06310475389145982
Q16651;3;0.06310475389145982
O00560-3;3;0.06310475389145982
O00560-2;3;0.06310475389145982
Q96S86;3;0.06310475389145982
O00560;3;0.06310475389145982
A0A0A0;3;0.06310475389145982
P36578;3;0.06310475389145982
P04433;3;0.06310475389145982
Q6NXT2;2;0.04206983592763988
P39019;2;0.04206983592763988
Q9ES34;2;0.04206983592763988
P30086;2;0.04206983592763988
P35613-3;2;0.04206983592763988
Q9P225-2;2;0.04206983592763988
P35613-4;2;0.04206983592763988
Q1J5B4;2;0.04206983592763988
Q1JAC1;2;0.04206983592763988
Q5TEC6;2;0.04206983592763988
C0M8P7;2;0.04206983592763988
Q6G0P2;2;0.04206983592763988
P31947;2;0.04206983592763988
P31947-2;2;0.04206983592763988
P31946-2;2;0.04206983592763988
P27348;2;0.04206983592763988
Q7Z3V4;2;0.04206983592763988
Q04917;2;0.04206983592763988
P61981;2;0.04206983592763988
P31946;2;0.04206983592763988
P08311;2;0.04206983592763988
Q9P225;2;0.04206983592763988
F5B8V8;2;0.04206983592763988
Q8JGS9;2;0.04206983592763988
P01011;2;0.04206983592763988
P34096;2;0.04206983592763988
P02794;2;0.04206983592763988
P62753;2;0.04206983592763988
P62704;2;0.04206983592763988
P47836;2;0.04206983592763988
